"project_number","program_name","project_type","activity","contract_amount","organization","county","municipality","current_status","residential_units_existing","residential_units_new","civic_units_existing","civic_units_new","commercial_units_existing","commercial_units_new"
"20163101","ACSS","LPA","CNSTR/RHAB","0","GENESEE VALLEY RURAL PRESERVATION COUNCIL, INC.","MULTI-COUNTY",,"AWRD","8","0","0","0","0","0"
"20163095","REST","LPA","CNSTR/RHAB","0","CHEMUNG COUNTY HABITAT FOR HUMANITY","MULTI-COUNTY",,"AWRD","15","0","0","0","0","0"
"20163094","ACSV","LPA","CNSTR/RHAB","0","REBUILDING TOGETHER NYC","NYC","NEW YORK CITY","AWRD","25","0","0","0","0","0"
"20163092","ACSS","LPA","CNSTR/RHAB","0","REBUILDING TOGETHER NYC","NYC","NEW YORK CITY","AWRD","12","0","0","0","0","0"
"20163088","REST","LPA","CNSTR/RHAB","0","COMMUNITY LAND TRUST OF SCHENECTADY, INC.","SCHENECTADY","SCHENECTADY","AWRD","18","0","0","0","0","0"
"20163085","ACSV","LPA","CNSTR/RHAB","0","TOWN OF BROOKHAVEN","SUFFOLK","BROOKHAVEN","AWRD","5","0","0","0","0","0"
"20163075","ACSV","LPA","CNSTR/RHAB","0","BETTER NEIGHBORHOODS, INC.","SCHENECTADY","SCHENECTADY","AWRD","20","0","0","0","0","0"
"20163066","ACSV","LPA","CNSTR/RHAB","0","ORANGE COUNTY RURAL DEVELOPMENT ADVISORY CORP.","ORANGE","MULTI-MUNI","AWRD","12","0","0","0","0","0"
"20163064","ACSV","LPA","CNSTR/RHAB","0","THE ST. BERNARD PROJECT, INC","NYC","NEW YORK CITY","AWRD","15","0","0","0","0","0"
"20163060","ACSS","LPA","CNSTR/RHAB","0","WESTCHESTER RESIDENTIAL OPPORTUNITIES, INC.","MULTI-COUNTY",,"AWRD","10","0","0","0","0","0"
"20163059","ACSV","LPA","CNSTR/RHAB","0","COMMUNITY DEVELOPMENT CORPORATION OF LONG ISLAND, INC.","MULTI-COUNTY",,"AWRD","16","0","0","0","0","0"
"20163057","ACSS","LPA","CNSTR/RHAB","0","COMMUNITY DEVELOPMENT CORPORATION OF LONG ISLAND, INC.","MULTI-COUNTY",,"AWRD","8","0","0","0","0","0"
"20163053","ACSV","LPA","CNSTR/RHAB","0","REBUILDING TOGETHER SARATOGA COUNTY, INC.","MULTI-COUNTY",,"AWRD","15","0","0","0","0","0"
"20163051","ACSS","LPA","CNSTR/RHAB","0","BETTER HOUSING FOR TOMPKINS COUNTY INC.","TOMPKINS","MULTI-MUNI","AWRD","12","0","0","0","0","0"
"20163050","ACSS","LPA","CNSTR/RHAB","0","REBUILDING TOGETHER SARATOGA COUNTY, INC.","SARATOGA","MULTI-MUNI","AWRD","20","0","0","0","0","0"
"20163048","ACSV","LPA","CNSTR/RHAB","0","HOMEFRONT DEVELOPMENT CORP.","WASHINGTON","MULTI-MUNI","AWRD","14","0","0","0","0","0"
"20163047","REST","LPA","CNSTR/RHAB","0","CHAUTAUQUA HOME REHABILITATION AND IMPROVEMENT CORP.","CHAUTAUQUA","MULTI-MUNI","AWRD","7","0","0","0","0","0"
"20163044","REST","LPA","CNSTR/RHAB","0","NORTH COUNTRY AFFORDABLE HOUSING, INC.","JEFFERSON","MULTI-MUNI","AWRD","16","0","0","0","0","0"
"20163036","ACSV","LPA","CNSTR/RHAB","0","RUPCO, INC.","ULSTER","MULTI-MUNI","AWRD","8","0","0","0","0","0"
"20163029","REJP","LPA","CNSTR/RHAB","0","SCAP D/B/A ARBOR HOUSING & DEVELOPMENT","SCHUYLER","MULTI-MUNI","AWRD","15","0","0","0","0","0"
"20163026","REST","LPA","CNSTR/RHAB","0","SCAP D/B/A ARBOR HOUSING & DEVELOPMENT","STEUBEN","MULTI-MUNI","AWRD","15","0","0","0","0","0"
"20163025","ACSS","LPA","CNSTR/RHAB","0","SCAP D/B/A ARBOR HOUSING & DEVELOPMENT","SCHUYLER","MULTI-MUNI","AWRD","10","0","0","0","0","0"
"20163020","ACSV","LPA","CNSTR/RHAB","0","OTSEGO RURAL HOUSING ASSISTANCE, INC.","OTSEGO","MULTI-MUNI","AWRD","14","0","0","0","0","0"
"20163018","ACSV","LPA","CNSTR/RHAB","0","CITIZENS OPPORTUNITY FOR DEVELOPMENT & EQUALITY INC.","CHAUTAUQUA","MULTI-MUNI","AWRD","3","0","0","0","0","0"
"20163015","ACSS","LPA","CNSTR/RHAB","0","FRIENDS OF THE NORTH COUNTRY, INC.","FRANKLIN","MULTI-MUNI","AWRD","7","0","0","0","0","0"
"20163014","REST","LPA","CNSTR/RHAB","0","CAYUGA/SENECA COMMUNITY ACTION AGENCY, INC","CAYUGA","MULTI-MUNI","AWRD","15","0","0","0","0","0"
"20163010","ACSS","LPA","CNSTR/RHAB","0","BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.","MULTI-COUNTY",,"AWRD","8","0","0","0","0","0"
"20163008","REST","LPA","CNSTR/RHAB","0","BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.","WAYNE","MULTI-MUNI","AWRD","30","0","0","0","0","0"
"20163007","REST","LPA","CNSTR/RHAB","0","BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.","MULTI-COUNTY",,"AWRD","30","0","0","0","0","0"
"20163006","REJP","LPA","CNSTR/RHAB","0","RPC OF CLINTON COUNTY, INC","CLINTON","MULTI-MUNI","AWRD","8","0","0","0","0","0"
"20163002","ACSV","LPA","CNSTR/RHAB","0","CATTARAUGUS COMMUNITY ACTION, INC.","CATTARAUGUS","MULTI-MUNI","AWRD","20","0","0","0","0","0"
"20163001","REST","LPA","CNSTR/RHAB","0","STONELEIGH HOUSING, INC.","MADISON","MULTI-MUNI","AWRD","15","0","0","0","0","0"
"20160344","NYMS","LPA","CNSTR/RHAB","0","VILLAGE OF WELLSVILLE","ALLEGANY","WELLSVILLE","AWRD","12","0","0","0","3","0"
"20160343","NYMS","LPA","CNSTR/RHAB","0","SMITH CENTER FOR THE ARTS, INC.","ONTARIO","GENEVA","AWRD","0","0","1","0","0","0"
"20160326","NYMS","LPA","CNSTR/RHAB","0","VILLAGE OF BATH","STEUBEN","BATH","AWRD","28","0","1","0","13","0"
"20160318","NYMS","LPA","CNSTR/RHAB","250000","PITKIN AVENUE DISTRICT MANAGEMENT ASSOCIATION","KINGS","NEW YORK CITY","CONT","6","0","0","0","8","0"
"20160313","NYMS","LPA","CNSTR/RHAB","250000","PATCHOGUE BUSINESS IMPROVEMENT MANAGEMENT ASSOCIATION, INC.","SUFFOLK","PATCHOGUE","CONT","0","0","0","0","8","0"
"20160304","NYMS","LPA","CNSTR/RHAB","500000","VILLAGE OF GREENWICH","WASHINGTON","GREENWICH","CONT","0","0","0","0","1","0"
"20160302","NYMS","LPA","CNSTR/RHAB","500000","SAFE HARBORS OF THE HUDSON, INC.","ORANGE","NEWBURGH","CONT","0","0","1","0","0","0"
"20160301","NYMS","LPA","CNSTR/RHAB","323137","VILLAGE OF CLYDE","WAYNE","CLYDE","CONT","3","0","0","0","7","0"
"20160299","NYMS","LPA","CNSTR/RHAB","500000","COUNTY OF TIOGA","TIOGA","OWEGO","CONT","4","0","0","0","11","0"
"20160290","NYMS","LPA","CNSTR/RHAB","0","CITY OF ONEIDA","MADISON","ONEIDA","AWRD","6","0","0","0","8","0"
"20160287","NYMS","LPA","CNSTR/RHAB","0","VILLAGE OF HOMER","CORTLAND","HOMER","AWRD","3","0","0","0","2","0"
"20160283","NYMS","LPA","CNSTR/RHAB","500000","CITY OF WATERTOWN","JEFFERSON","WATERTOWN","CONT","0","0","0","0","2","0"
"20160281","NYMS","LPA","CNSTR/RHAB","0","BINGHAMTON LOCAL DEVELOPMENT CORP.","BROOME","BINGHAMTON","AWRD","76","0","0","0","16","0"
"20160274","NYMS","LPA","CNSTR/RHAB","242235","CHAUTAUQUA HOME REHABILITATION AND IMPROVEMENT CORP.","CHAUTAUQUA","BROCTON","CONT","2","0","0","0","5","0"
"20160272","NYMS","LPA","CNSTR/RHAB","0","CITY OF AMSTERDAM","MONTGOMERY","AMSTERDAM","AWRD","0","0","0","0","1","0"
"20160044","ACHT","LPA","ACQUIS","1000000","ADIRONDACK COMMUNITY HOUSING TRUST, INC","MULTI-COUNTY",,"CONT","15","0","0","0","0","0"
"20153135","HOME","LPA","CNSTR/RHAB","380000","REGIONAL ECONOMIC COMMUNITY ACTION PROGRAM, INC.","ORANGE","PORT JERVIS","CONT","10","0","0","0","0","0"
"20153132","HOME","LPA","MTGE ASST","200000","AMERICAN DEBT RESOURCES, INC.","SUFFOLK","MULTI-MUNI","CONT","8","0","0","0","0","0"
"20153130","HOME","LPA","MTGE ASST","200000","KEUKA HOUSING COUNCIL, INC.","YATES","MULTI-MUNI","CONT","8","0","0","0","0","0"
"20153128","HOME","LPA","MTGE ASST","300000","NEIGHBORHOOD HOUSING SERVICES OF QUEENS, CDC","QUEENS","NEW YORK CITY","CONT","19","0","0","0","0","0"
