"tax_year","credit_type","place_of_residence","county","size_of_earned_income","notes","number_of_claims_zero_qualifying_children","credit_amount_claimed_zero_qualifying_children_000","average_credit_zero_qualifying_children","number_of_claims_one_qualifying_child","credit_amount_claimed_one_qualifying_child_000","average_credit_one_qualifying_child","number_of_claims_more_than_one_qualifying_child","credit_amount_claimed_more_than_one_qualifying_child_000","average_credit_more_than_one_qualifying_child","number_of_claims_two_qualifying_children","credit_amount_claimed_two_qualifying_children_000","average_credit_two_qualifying_children","number_of_claims_more_than_two_qualifying_children","credit_amount_claimed_more_than_two_qualifying_children_000","average_credit_more_than_two_qualifying_children","number_of_claims_total","credit_amount_claimed_total_000","average_credit_total","place_of_residence_sort_order","earned_income_sort_order"
"2020","NYC EITC","New York City - Bronx","Bronx","$48,001 - $52,000",,"0","0","0","0","0","0",,,,"218","7.395","34","392","14.481","37","610","21.876","36","1","13"
"2020","NYC EITC","New York City - Bronx","Bronx","$56,001 AND OVER","a/","0","0","0","0","0","0",,,,"0","0","0","25","0.117","5","25","0.117","5","1","15"
"2020","NYC EITC","New York City - Bronx","Bronx","TOTAL",,"30770","471.924","15","69507","7315.254","105",,,,"39955","6774.047","170","14905","2918.283","196","155137","17479.508","113","1","16"
"2020","NYC EITC","New York City - Bronx","Bronx","$16,001 - $20,000",,"363","4.807","13","8377","1142.383","136",,,,"5681","1315.222","232","2106","563.811","268","16527","3026.223","183","1","5"
"2020","NYC EITC","New York City - Bronx","Bronx","$28,001 - $32,000",,"0","0","0","5582","493.484","88",,,,"3387","560.072","165","1241","247.55","199","10210","1301.106","127","1","8"
"2020","NYC EITC","New York City - Bronx","Bronx","$40,001 - $44,000",,"0","0","0","1724","23.37","14",,,,"2049","127.732","62","726","73.975","102","4499","225.077","50","1","11"
"2020","NYC EITC","New York City - Bronx","Bronx","$24,001 - $28,000","d/, a/",,,"141",,,"110",,,,"3868","747.531","193","1394","315.426","226","11348","1730.731","153","1","7"
"2020","NYC EITC","New York City - Bronx","Bronx","$4,001 - $8,000",,"8918","187.579","21","6840","653.832","96",,,,"2198","258.85","118","780","104.166","134","18736","1204.427","64","1","2"
"2020","NYC EITC","New York City - Bronx","Bronx","$12,001 - $16,000",,"5710","50.1","9","9848","1376.801","140",,,,"6213","1390.01","224","2104","539.864","257","23875","3356.775","141","1","4"
"2020","NYC EITC","New York City - Bronx","Bronx","$36,001 - $40,000",,"0","0","0","4383","142.852","33",,,,"2312","229.69","99","843","113.357","134","7538","485.899","64","1","10"
"2020","NYC EITC","New York City - Bronx","Bronx","$32,001 - $36,000",,"0","0","0","4959","306.865","62",,,,"2822","379.974","135","1046","176.147","168","8827","862.986","98","1","9"
"2020","NYC EITC","New York City - Bronx","Bronx","$52,001 - $56,000","a/","0","0","0","0","0","0",,,,"64","0.403","6","138","3.914","28","202","4.317","21","1","14"
"2020","NYC EITC","New York City - Bronx","Bronx","$0 - $4,000",,"8019","68.151","8","3166","118.926","38",,,,"1240","52.2","42","440","21.44","49","12865","260.717","20","1","1"
"2020","NYC EITC","New York City - Bronx","Bronx","$8,001 - $12,000",,"7611","160.663","21","11233","1495.268","133",,,,"3881","688.813","177","1276","254.42","199","24001","2599.164","108","1","3"
"2020","NYC EITC","New York City - Bronx","Bronx","$20,001 - $24,000","d/, a/",,,"3",,,"126",,,,"4583","976.416","213","1772","447.517","253","13586","2315.046","170","1","6"
