"api_wellno","cnty","coname","hole","sidetrck","completion","well_typ","field","wl_status","well_nm","town","prod_form","production","gas","water","oilprod","year","geocoded_column"
"31013126440000","Chautauqua","Demambro, Gene Brian","12644","00","00","GD","Lakeshore","AC","Demambro 1","Portland","Medina","12","234","0","0","2020","
Portland, NY 
(42.379838, -79.467344)"
"31029259150000","Erie","PPP Future Development Inc.","25915","00","00","GD","Brant-Eden","AC","Palleschi 1","Eden","Medina","12","729","0","0","2020","
Eden, NY 
(42.652413, -78.896936)"
"31003500040000","Allegany","Plants and Goodwin, Inc.","50004","00","00","OD","Richburg","IN","Green 1","Bolivar","Not Applicable","0","0","0","0","2019","
Bolivar, NY 
(42.066701, -78.167667)"
"31013130860000","Chautauqua","Empire Energy E&P LLC","13086","00","00","GD","Lakeshore","AC","Ellis 1","Ripley","Medina","12","1131","0","0","2020","
Ripley, NY 
(42.266859, -79.710476)"
"31003605850000","Allegany","Collins Oil Co.","60585","00","00","OD","Richburg","IN","Jones 9","Bolivar","Richburg","0","0","0","0","2019","
Bolivar, NY 
(42.066701, -78.167667)"
"31003676590000","Allegany","Collins Oil Co.","67659","00","00","OD","Richburg","IN","Coats 2","Wirt","Richburg","6",,,"3","2004","
Wirt, NY 
(42.137408, -78.150594)"
"31029192220000","Erie","Empire Energy E&P LLC","19222","00","00","GD","Sardinia","AC","Tuczapski, J 1","Sardinia","Medina","10","602","0","0","2018","
Sardinia, NY 
(42.541044, -78.508184)"
"31003663790000","Allegany","Crooks, John C","66379","00","00","OD","Richburg","IN","Childs 38","Genesee","Richburg","0","0","0","0","2018","
Genesee, NY 
(42.02693, -78.205893)"
"31009180930000","Cattaraugus","Empire Energy E&P LLC","18093","00","00","GD","Lakeshore","AC","P Hebner 1","Otto","Medina","12","923","0","0","2020","
Otto, NY 
(42.35589, -78.832619)"
"31003635950000","Allegany","J and R Oil Co.","63595","00","00","OD","Scio","IN","Harris - 010","Ward","Scio","0","0","0","0","2001","
Ward, NY 
(42.225739, -77.898903)"
"31029135940000","Erie","Stedman Energy, Inc.","13594","00","00","GD","Elma","AC","Boldt 1","Elma","Medina","5","27","0","0","2020","
Elma, NY 
(42.822476, -78.636722)"
"31003678170000","Allegany","Iron Dinosaur Oil","67817","00","00","OD","Browning","IN","Browning 13a","Scio","Scio","0","0",,"0","2004","
Scio, NY 
(42.171429, -77.97865)"
"31003555280000","Allegany","Ashe Oil Company","55528","00","00","IW","Richburg","IN","Central 076","Scio","Richburg","0","0","0","0","2020","
Scio, NY 
(42.171429, -77.97865)"
"31009241730000","Cattaraugus","Uhl, Stephen L.","24173","00","00","OD","Chipmunk","AC","Schnell 11","Allegany","Chipmunk","12","1","9","65","2019","
Allegany, NY 
(42.088061, -78.491258)"
