"county","provider","provider_business_phone","provider_business_phone_2","service_area","wap_services_and_provider_information","street_address","street_address_2","city","state","zip_code","website","email","location"
"Albany","Albany Community Action Partnership","(518) 463-3175 x123",,"City of Albany and Village of Menands ","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=3227","333 SHERIDAN AVE",,"Albany","NY","12206","http://www.albanycap.org/content.cfm?page=weatherization","info@albanycap.org","333 SHERIDAN AVE
Albany, NY 12206
(42.660894, -73.764637)"
"Albany","Albany County Cooperative Extension","(518) 765-3539",,"Albany County excluding the City of Albany and Village of Menands",,"24 MARTIN RD ",,"Voorheesville","NY ","12186","http://albany.cce.cornell.edu/energy/weatherization","esl11@cornell.edu","24 MARTIN RD
Voorheesville, NY 12186
(42.642785, -73.963553)"
"Alleghany","Cattaraugus Community Action","(716) 945-1041 x125",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=858","25 JEFFERSON ST",,"Salamanca   ","NY","14779","http://www.ccaction.org/programs/energy-services/","ktomczak@ccaction.org","25 JEFFERSON ST
Salamanca, NY 14779
(42.154257, -78.71704)"
"Bronx","Association for Energy Affordability","(718) 292-6733 x8212",,"Part of Bronx County ","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=3240","105 BRUCKNER BLVD",,"Bronx","NY","10454","http://aea.us.org/efficiency-programs/weatherization-assistance-program.html","frodriguez@aea.us.org","105 BRUCKNER BLVD
Bronx, NY 10454
(40.805093, -73.923328)"
"Bronx","Bronx Shepherds Restoration Corporation","(718) 299-0500",,"Part of Bronx County ","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=115","1590 E 172ND ST",,"Bronx","NY","10472","http://www.bronxshepherds.org/weatherization.html","info@bronxshepherds.org","1590 E 172ND ST
Bronx, NY 10472
(40.831609, -73.876345)"
"Bronx ","Northwest Bronx Community and Clergy Coalition","(718) 584-0515 x232",,"Part of Bronx County  ","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=202","103 E 196TH ST",,"Bronx","NY","10468","http://northwestbronx.org/","kati@northwestbronx.org","103 E 196TH ST
Bronx, NY 10468
(40.868312, -73.893968)"
"Broome","Tioga Opportunities","(607) 687-0944","1-877-786-2419","Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=354","9 SHELDON GUILE BLVD",,"Owego","NY","13827","http://www.tiogaopp.org/index.cfm?fuseaction=dep_intro&dept_id=5","aresue@tiogaopp.org","9 SHELDON GUILE BLVD
Owego, NY 13827
(42.116484, -76.273408)"
"Cattaraugus","Cattaraugus Community Action","(716) 945-1041 x125",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=858","25 JEFFERSON ST",,"Salamanca   ","NY","14779","http://www.ccaction.org/programs/energy-services/","ktomczak@ccaction.org","25 JEFFERSON ST
Salamanca, NY 14779
(42.154257, -78.71704)"
"Cayuga","Cayuga/Seneca Community Action Agency","(315) 255-1703",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=1739","89 YORK ST",,"Auburn","NY","13021","http://www.cscaa.com/energy_services.html","sbarnard@cscaa.com ","89 YORK ST
Auburn, NY 13021
(42.949354, -76.57524)"
"Chautauqua","Chautauqua Opportunities","(716) 661-9430 x2219",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=276","17 W COURTNEY ST",,"Dunkirk","NY","14048","http://www.chautauquaopportunities.com/District/Department/6-Housing-and-Community-Development/1340-Untitled.html","info@chautopp.org","17 W COURTNEY ST
Dunkirk, NY 14048
(42.480049, -79.321992)"
"Chemung","Economic Opportunity Program, Inc. of
Chemung and Schuyler Counties","(607) 734-0795",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=3228","650 BALDWIN ST",,"Elmira","NY","14901","http://www.cseop.org/#!energy-services/c1r2f","nhowland@cseop.org","650 BALDWIN ST
Elmira, NY 14901
(42.096959, -76.806727)"
"Chenango","Opportunities for Chenango","(607) 336-2101",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=865","44 W MAIN ST",,"Norwich","NY","13815","http://www.quarantahousing.org/wap.php","sbard@quarantahousing.org","44 W MAIN ST
Norwich, NY 13815
(42.530769, -75.527948)"
"Clinton","Joint Council for Economic Opportunity of Clinton and Franklin Counties","(518) 561-6310",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=3229","54 Margaret Street",,"Plattsburgh","NY","12901","http://www.jceo.org/get-help/energy-services/","parentbj@jceo.org","54 Margaret Street
Plattsburgh, NY 12901
(44.697018, -73.453135)"
"Columbia","Columbia Opportunities,","(518) 672-7268",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=3230","540 Columbia Street",,"Hudson","NY","12534","http://www.columbiaopportunities.org/index.cfm?fuseaction=dep_intro&dept_id=9","ksmith@columbiaopportunities.org","540 Columbia Street
Hudson, NY 12534
(42.249297, -73.784546)"
"Cortland","Cortland County Community Action Program","(607) 753-6781 x120",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=2570","32 N Main Street",,"Cortland","NY","13045","http://www.capco.org/index.php/energy-services","info@capco.org","32 N Main Street
Cortland, NY 13045
(42.6028, -76.180526)"
"Delaware","Delaware Opportunities","(607) 746-1690",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=286","35430 State Highway 10",,"Hamden","NY","13782","http://www.delawareopportunities.org/weatherization","delopp@delawareopportunities.org","35430 State Highway 10
Hamden, NY 13782
(42.188264, -74.999487)"
"Dutchess","Dutchess County Community Action Agency","(845) 452-5104 x127",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=3231","77 Cannon Street",,"Poughkeepsie","NY","12601","http://www.dutchesscap.org/programs_and_services/energy-conservation-programs/weatherization.html","plamoree@dutchesscap.org","77 Cannon Street
Poughkeepsie, NY 12601
(41.701719, -73.925732)"
"Erie","Lt. Colonel Matt Urban Human Services Center of Western NY","(716) 893-7222 x218",,"Part of East Side of City of Buffalo ","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=211","1081 Broadway",,"Buffalo","NY","14212","http://www.urbanctr.org/weatherization.html","info@urbanctr.org","1081 Broadway
Buffalo, NY 14212
(42.893952, -78.834783)"
"Erie","Neighborhood Housing Services of South Buffalo","(716) 837-0071",,"City of Buffalo excluding part of the East Side",,"135 Manhattan Avenue",,"Buffalo","NY","14215","http://www.nhssouthbuffalo.org/weatherization.html","info@nhssouthbuffalo.org","135 Manhattan Avenue
Buffalo, NY 14215
(42.936605, -78.828207)"
"Erie","Supportive Services Corp","(716) 685-6252",,"Erie County (excluding the City of Buffalo & Cattaraugus Reservation) ","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=3233","210 St. Mary's Street",,"Lancaster","NY","14086","http://www.supportiveservices.org/weather.html","wx@supportiveservices.org","210 St. Mary's Street
Lancaster, NY 14086
(42.904466, -78.681542)"
"Essex","Adirondack Community Action Program","(518) 873-3207","1-877- 873-2979","Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=1991","7572 Court Street",,"Elizabethtown","NY","12932","http://www.acapinc.org/programs1/weatherization/","ballen@acapinc.org","7572 Court Street
Elizabethtown, NY 12932
(44.214877, -73.593119)"
"Franklin","Joint Council for Economic Opportunity of Clinton and Franklin Counties,","(518) 561-6310",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=3229","54 Margaret Street",,"Plattsburgh","NY","12901","http://www.jceo.org/get-help/energy-services/","parentbj@jceo.org","54 Margaret Street
Plattsburgh, NY 12901
(44.697018, -73.453135)"
"Fulton","Fulmont Community Action Agency","(518) 853-8359",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=3234","20 Park Street",,"Fonda","NY","12068","http://www.fulmont.org/index.shtml","fulmontcommunity@hotmail.com","20 Park Street
Fonda, NY 12068
(42.953045, -74.373505)"
"Genesee","Community Action of Orleans and Genesee","(585) 343-7798 x113","1-888-871-9673","Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=2687","409 E. State Street",,"Albion","NY","14411","http://www.caoginc.org/programs/weatherization/","info@caoginc.org","409 E. State Street
Albion, NY 14411
(43.246571, -78.183392)"
"Greene","Community Action of Greene County","(518) 943-9205",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=3235","7856 US-9W",,"Catskill","NY","12414","http://cagcny.org/weatherization-assistance-program/","info@cagcny.org","7856 US-9W
Catskill, NY 12414
(42.229455, -73.869942)"
"Hamilton","Warren-Hamilton Counties ACEO","(518) 793-0636",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=3243","190 Maple Street",,"Glens Falls","NY","12801","http://wahacaa.org/?page_id=23","apritchardwx@aol.com","190 Maple Street
Glens Falls, NY 12801
(43.311919, -73.635872)"
"Herkimer","Mohawk Valley Community Action Agency","(315) 624-9930",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=304","9882 River Road",,"Utica","NY","13502","http://www.mvcaa.com/menus/weatherization-assistance-program.html","rsteinbach@mvcaa.com","9882 River Road
Utica, NY 13502
(43.12555, -75.23533)"
"Jefferson","Community Action Planning Council of Jefferson Count","(315) 788-4388",,"Entire county","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=882","518 Davidson Street",,"Watertown","NY","13601","http://www.capcjc.org/programs/housing-and-energy-services/weatherization-assistance-program/","kflint@capcjc.org","518 Davidson Street
Watertown, NY 13601
(43.980887, -75.909704)"
"Kings","Bedford-Stuyvesant Restoration Corporation","(718) 638-5705",,"Part of Kings County","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=108","1360 Fulton Street","2nd Floor","Brooklyn","NY","11216","http://www.restorationplaza.org/affordable-housing/energy-conservation","dwade@restorationplaza.org","1360 Fulton Street
Brooklyn, NY 11216
(40.680242, -73.946839)"
"Kings","Crown Heights Jewish Community Council","(718) 771-9000 x7717",,"Part of Kings County","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=22","392 Kingston Avenue",,"Brooklyn","NY","11225","http://www.chcentral.org/services/our-programs/weatherization/","Mail@chjcc.org","392 Kingston Avenue
Brooklyn, NY 11225
(40.665262, -73.942585)"
"Kings","ODA Community Development Corp.","(718) 855-8233",,"Part of Kings County","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=2639","12 Heyward Street","2nd Floor","Brooklyn","NY","11249","http://www.odabdc.org/weatherization","rsteinbach@mvcaa.com","12 Heyward Street
Brooklyn, NY 11249
(40.699789, -73.959056)"
"Kings","Sunset Park Redevelopment Committee","(718) 492-8580 x20",,"Part of Kings County","https://apps.hcr.ny.gov/LocalHousingOrgLists/Profile.aspx?applid=237","5101 4th Avenue","2nd Floor","Brooklyn","NY","11220","http://www.sprcinc.org/programs/weatherization-assistance-program/index.html","hosborne@sprcinc.org","5101 4th Avenue
Brooklyn, NY 11220
(40.64575, -74.013218)"
