"year","county_of_residence","gender","program_category","service_type","primary_substance_group","admissions"
"2007","Albany","Female","Crisis","Medical Managed Detoxification","Heroin","4"
"2007","Albany","Female","Crisis","Medical Managed Detoxification","Alcohol","31"
"2007","Albany","Female","Crisis","Medically Monitored Withdrawal","Alcohol","3"
"2007","Albany","Female","Crisis","Med Sup Withdrawal - Inpatient","Cocaine incl Crack","1"
"2007","Albany","Female","Crisis","Med Sup Withdrawal - Inpatient","Alcohol","2"
"2007","Albany","Female","Inpatient","Inpatient Rehabilitation","Cocaine incl Crack","2"
"2007","Albany","Female","Inpatient","Inpatient Rehabilitation","Other Opioids","1"
"2007","Albany","Female","Inpatient","Inpatient Rehabilitation","Heroin","1"
"2007","Albany","Female","Inpatient","Inpatient Rehabilitation","Alcohol","19"
"2007","Albany","Female","Residential","Supportive Living","Cocaine incl Crack","1"
"2007","Albany","Female","Outpatient","Outpatient Rehabilitation","Cocaine incl Crack","1"
"2007","Albany","Female","Outpatient","Outpatient Rehabilitation","Alcohol","1"
"2007","Albany","Female","Outpatient","Outpatient Clinic","Cocaine incl Crack","1"
"2007","Albany","Female","Outpatient","Outpatient Clinic","All Others","1"
"2007","Albany","Female","Outpatient","Outpatient Clinic","Other Opioids","2"
"2007","Albany","Female","Outpatient","Outpatient Clinic","Heroin","1"
"2007","Albany","Female","Outpatient","Outpatient Clinic","Alcohol","37"
"2007","Albany","Female","Specialized","Specialized Outpatient - TBI","Alcohol","1"
"2007","Albany","Male","Crisis","Medical Managed Detoxification","All Others","2"
"2007","Albany","Male","Crisis","Medical Managed Detoxification","Other Opioids","7"
"2007","Albany","Male","Crisis","Medical Managed Detoxification","Heroin","18"
"2007","Albany","Male","Crisis","Medical Managed Detoxification","Alcohol","149"
"2007","Albany","Male","Crisis","Medically Monitored Withdrawal","Marijuana incl Hashish","1"
"2007","Albany","Male","Crisis","Medically Monitored Withdrawal","All Others","5"
"2007","Albany","Male","Crisis","Medically Monitored Withdrawal","Alcohol","147"
"2007","Albany","Male","Crisis","Med Sup Withdrawal - Inpatient","Other Opioids","1"
"2007","Albany","Male","Crisis","Med Sup Withdrawal - Inpatient","Alcohol","8"
"2007","Albany","Male","Inpatient","Inpatient Rehabilitation","Cocaine incl Crack","9"
"2007","Albany","Male","Inpatient","Inpatient Rehabilitation","All Others","1"
"2007","Albany","Male","Inpatient","Inpatient Rehabilitation","Other Opioids","1"
"2007","Albany","Male","Inpatient","Inpatient Rehabilitation","Heroin","6"
"2007","Albany","Male","Inpatient","Inpatient Rehabilitation","Alcohol","65"
"2007","Albany","Male","Residential","Intensive Residential","Heroin","2"
"2007","Albany","Male","Residential","Intensive Residential","Alcohol","1"
"2007","Albany","Male","Residential","Community Residential","Cocaine incl Crack","1"
"2007","Albany","Male","Residential","Community Residential","Heroin","1"
"2007","Albany","Male","Residential","Community Residential","Alcohol","9"
"2007","Albany","Male","Residential","Supportive Living","Heroin","1"
"2007","Albany","Male","Residential","Supportive Living","Alcohol","3"
"2007","Albany","Male","Outpatient","Outpatient Rehabilitation","Cocaine incl Crack","4"
"2007","Albany","Male","Outpatient","Outpatient Rehabilitation","Heroin","2"
"2007","Albany","Male","Outpatient","Outpatient Rehabilitation","Alcohol","12"
"2007","Albany","Male","Outpatient","Outpatient Clinic","Marijuana incl Hashish","4"
"2007","Albany","Male","Outpatient","Outpatient Clinic","Cocaine incl Crack","12"
"2007","Albany","Male","Outpatient","Outpatient Clinic","Other Opioids","2"
"2007","Albany","Male","Outpatient","Outpatient Clinic","Heroin","9"
"2007","Albany","Male","Outpatient","Outpatient Clinic","Alcohol","84"
"2007","Albany","Male","Specialized","Specialized Outpatient - TBI","Cocaine incl Crack","1"
"2007","Albany","Male","Specialized","Specialized Outpatient - TBI","Other Opioids","1"
"2007","Albany","Male","Specialized","Specialized Outpatient - TBI","Alcohol","3"
"2007","Allegany","Female","Inpatient","Inpatient Rehabilitation","Alcohol","2"
"2007","Allegany","Female","Outpatient","Outpatient Clinic","Alcohol","3"
