"year","month","month_code","district_code","district","ta_client_req","ta_finance","ta_residence","ta_comp_employ","ta_comp_other","ta_other","fa_client_req","fa_finance","fa_residence","fa_comp_employ","fa_comp_other","fa_other","sna_client_req","sna_finance","sna_residence","sna_comp_employ","sna_comp_other","sna_other"
"2006","March","3","45","Seneca","8.00","0.00","0.00","0.00","4.00","0.00","3.00","0.00","0.00","0.00","2.00","0.00","5.00","0.00","0.00","0.00","2.00","0.00"
"2006","April","4","20","Hamilton","0.00","1.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00"
"2006","May","5","45","Seneca","3.00","8.00","3.00","0.00","2.00","0.00","3.00","4.00","2.00","0.00","0.00","0.00","0.00","4.00","1.00","0.00","2.00","0.00"
"2007","July","7","57","Yates","1.00","3.00","4.00","0.00","2.00","0.00","1.00","2.00","2.00","0.00","1.00","0.00","0.00","1.00","2.00","0.00","1.00","0.00"
"2007","October","10","20","Hamilton","0.00","1.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","1.00","0.00"
"2008","January","1","20","Hamilton","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00"
"2009","July","7","15","Essex","4.00","8.00","0.00","3.00","6.00","0.00","4.00","3.00","0.00","0.00","3.00","0.00","0.00","5.00","0.00","3.00","3.00","0.00"
"2010","June","6","20","Hamilton","1.00","3.00","1.00","0.00","1.00","0.00","1.00","2.00","0.00","0.00","1.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00"
"2011","March","3","20","Hamilton","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00"
"2013","May","5","20","Hamilton","0.00","2.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00"
"2013","July","7","37","Putnam","0.00","2.00","3.00","2.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","1.00","3.00","1.00","0.00","0.00"
"2015","March","3","20","Hamilton","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00"
"2017","January","1","38","Rensselaer","16","44","24","10","50","5","6","25","20","6","33","3","10","19","4","4","17","2"
"2017","January","1","14","Erie","154","185","107","96","323","21","32","72","28","20","121","6","122","113","79","76","202","15"
"2017","February","2","04","Cattaraugus","8","3","10","9","25","1","4","1","3","3","11","1","4","2","7","6","14","0"
"2017","January","1","12","Delaware","1","5","4","1","5","1","1","1","1","0","4","0","0","4","3","1","1","1"
"2017","January","1","50","Tompkins","8","17","10","8","56","2","4","3","0","0","13","0","4","14","10","8","43","2"
"2017","January","1","24","Livingston","9","10","5","2","18","3","4","4","1","1","5","1","5","6","4","1","13","2"
"2017","March","3","52","Warren","3","8","9","1","5","2","1","0","4","0","3","1","2","8","5","1","2","1"
"2017","January","1","04","Cattaraugus","5","6","7","10","32","1","2","3","2","0","9","1","3","3","5","10","23","0"
"2017","February","2","24","Livingston","6","11","6","4","30","7","0","5","3","1","8","1","6","6","3","3","22","6"
"2006","January","1","10","Columbia","11.00","22.00","13.00","5.00","20.00","0.00","6.00","12.00","2.00","1.00","7.00","0.00","5.00","10.00","11.00","4.00","13.00","0.00"
"2006","January","1","11","Cortland","5.00","10.00","4.00","2.00","1.00","1.00","1.00","5.00","1.00","0.00","0.00","1.00","4.00","5.00","3.00","2.00","1.00","0.00"
"2006","January","1","12","Delaware","1.00","2.00","4.00","1.00","25.00","1.00","0.00","1.00","3.00","1.00","15.00","1.00","1.00","1.00","1.00","0.00","10.00","0.00"
"2006","January","1","13","Dutchess","12.00","43.00","31.00","17.00","57.00","10.00","7.00","15.00","14.00","4.00","19.00","1.00","5.00","28.00","17.00","13.00","38.00","9.00"
"2006","January","1","14","Erie","150.00","188.00","139.00","118.00","342.00","21.00","50.00","79.00","44.00","26.00","114.00","11.00","100.00","109.00","95.00","92.00","228.00","10.00"
"2006","January","1","15","Essex","0.00","5.00","2.00","2.00","14.00","2.00","0.00","2.00","2.00","0.00","8.00","1.00","0.00","3.00","0.00","2.00","6.00","1.00"
