"naic","company_name","ratio","upheld_complaints","question_of_fact_complaints","not_upheld_complaints","total_complaints","premiums_written_in_millions","rank","filing_year"
"12583","Adirondack Insurance Exchange","0","0","7","13","20","107.123761","1","2020"
"10052","Chubb National Insurance Company","0","0","1","1","2","64.9934845","2","2020"
"15024","Preferred Mutual Insurance Company","0","0","3","10","13","63.5099855","3","2020"
"16233","Erie Insurance Company of New York","0","0","2","3","5","53.2119335","4","2020"
"13026","Main Street America Protection Insurance Company","0","0","0","0","0","43.801589","5","2020"
"36587","Plymouth Rock Assurance Preferred Corporation","0","0","1","3","4","42.8735195","6","2020"
"42919","Progressive Northwestern Insurance Company","0","0","2","3","5","35.9862175","7","2020"
"25674","Travelers Property Casualty Company of America","0","0","1","4","5","28.2031405","8","2020"
"19402","AIG Property Casualty Company","0","0","2","1","3","26.590202","9","2020"
"10791","Palisades Insurance Company","0","0","1","4","5","23.890451","10","2020"
"11252","Encompass Home and Auto Insurance Company","0","0","2","1","3","20.3060325","11","2020"
"13803","Farm Family Casualty Insurance Company","0","0","1","6","7","19.305065","12","2020"
"12901","Merchants Preferred Insurance Company","0","0","1","1","2","18.3868215","13","2020"
"11215","SAFECO Insurance Company of Indiana","0","0","0","1","1","17.15712","14","2020"
"40231","Old Dominion Insurance Company","0","0","2","4","6","16.0530235","15","2020"
"18279","Bankers Standard Insurance Company","0","0","0","0","0","15.5099905","16","2020"
"20303","Great Northern Insurance Company","0","0","0","0","0","13.6137485","17","2020"
"19070","Standard Fire Insurance Company","0","0","0","3","3","11.226249","18","2020"
"23582","Harleysville Insurance Company","0","0","1","2","3","11.0777555","19","2020"
"36137","Travelers Commercial Insurance Company","0","0","0","0","0","9.885307","20","2020"
"37478","Hartford Insurance Company of the Midwest","0","0","0","0","0","8.9115745","21","2020"
"33588","First Liberty Insurance Corporation","0","0","0","0","0","8.7379615","22","2020"
"21261","Electric Insurance Company","0","0","0","3","3","8.704822","23","2020"
"29068","AMERICAN FAMILY CONNECT PROPERTY AND CASUALTY INSURANCE COMPANY","0","0","1","0","1","7.7504055","24","2020"
"29939","Main Street America Assurance Company","0","0","1","3","4","7.272463","25","2020"
"40649","Economy Premier Assurance Company","0","0","0","1","1","7.065025","26","2020"
"12777","Chubb Indemnity Insurance Company","0","0","1","1","2","7.032204","27","2020"
"10022","Countryway Insurance Company","0","0","0","1","1","6.6569525","28","2020"
"20230","Central Mutual Insurance Company","0","0","1","1","2","6.5643975","29","2020"
"25909","Unitrin Preferred Insurance Company","0","0","0","1","1","6.0413785","30","2020"
"23469","American Modern Home Insurance Company","0","0","0","0","0","5.916627","31","2020"
"25623","Phoenix Insurance Company","0","0","0","0","0","5.6310925","32","2020"
"16063","Unitrin Auto and Home Insurance Company","0","0","0","0","0","5.557147","33","2020"
"10226","Unitrin Direct Insurance Company","0","0","0","0","0","5.546356","34","2020"
