Sub Grantee Name,Street Address,City,State,Zip,Phone Number,Website,Services Provided,Population Served,CACG Recipient Headcount,Area Served,Award Period,Award Amount,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
"Bottom Line, Inc.",44 Court Street Suite 300,Brooklyn,N.Y.,11201,347-889-7627,http://bottomline.org,Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance  - Mentoring - College Completion Services,High School Students - Parents - College Students,450,11201,Academic Year 2015-2016 ,200000,"44 Court Street Suite 300
N Y 11201
(40.692622, -73.990945)",894,880,2090
City University of New York,East 80th Street,New York,N.Y.,10075,646-664-8764,http://cuny.edu,"Outreach and information on the benefits of postsecondary education -  Academic Enrichment, Tutoring - Mentoring - College Completion Services",College Students,50,11235 - 11101 - 10007,Academic Year 2015-2016 ,202676,"East 80th Street
New York, N.Y. 10075
(40.77366163900007, -73.95369587399995)",749,,2095
Commission on Independent Colleges and Universities,17 Elk Street ,Albany,N.Y.,12224,518-436-4781,http://cicu.org,Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - College Visits - College Fairs -Professional Development for School Counselors ,High School Students - Middle School Students ? Parents - Professional Staff,3100,10040 - 11203 - 10463 - 10029 - 14760 - 14880 - 14895,Academic Year 2015-2016 ,400000,"17 Elk Street
N Y 12224
(42.653378, -73.755021)",814,44,2030
Cypress Hills Local Development Corp.,"999 Jamaica Avenue, Success Center Room B29",Brooklyn,N.Y.,11208,718-647-2100,http://cypresshills.org,"Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance - Academic Enrichment, Tutoring and SAT / ACT preparation services  - Mentoring - College Completion Services",Middle School Students - High School Students - Parents - College Students,645,11208,Academic Year 2015-2016 ,75000,"999 Jamaica Avenue
Brooklyn, N.Y. 11208
(40.69114396200007, -73.86842605699997)",894,886,2137
D'Youville College,320 Porter Avenue,Buffalo,N.Y.,14201,716-829-7731,http://dyc.edu,Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance ,High School Students - Parents,300,14202 - 14209 - 14201 - 14213,Academic Year 2015-2016 ,72811,"320 Porter Avenue
N Y 14201
(42.90222, -78.890419)",300,69,2041
Farmingdale State College,2350 Broad Hollow Road,Farmingdale ,N.Y.,11735,516-909-1874,http://farmingdale.edu,"Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance - Academic Enrichment, Tutoring and SAT / ACT preparation services - College Visits - Mentoring  ",High School Students - Middle School Students ? Parents ,315,11701 - 11550 - 11201,Academic Year 2015-2016 ,270000,"2350 Broad Hollow Road
N Y 11735
(40.75378, -73.422278)",1023,1115,2179
Good Shepherd Services,692 Blake Avenue,Brooklyn,N.Y.,11207,718-483-9057,http://goodshepherds.org,"Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - Academic Enrichment, Tutoring and SAT / ACT preparation services - College Visits - College Fairs ",Middle School Students - High School Students ,105,11239 - 11207 - 11213 - 11212,Academic Year 2015-2016 ,94500,"692 Blake Avenue
N Y 11207
(40.668119, -73.89304)",894,885,2090
Good Shepherd Services,305 Seventh Avenue,New York,N.Y.,10021,212-243-7070,http://goodshepherds.org,Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance - Academic Enrichment - College Visits - College Fairs ,High School Students  ? Parents ,80,11231 - 11201 ,Academic Year 2015-2016 ,119400,"305 Seventh Avenue
N Y, New York 10021
(40.746771, -73.993676)",749,717,2095
Harlem Center for Education,1 East 104th Street ,New York,N.Y.,10029,212-348-9200      ,http://harlemctred.com,"Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance - Academic Enrichment, Tutoring and SAT / ACT preparation services - College Visits - Mentoring  ",High School Students - Middle School Students ? Parents ,350,10034,Academic Year 2015-2016 ,74897,"1 East 104th Street
N Y, New York 10029
(40.792983, -73.952068)",749,756,2095
Henry Street Settlement,265 Henry Street,New York ,N.Y.,10002,212-766-9200,http://henrystreet.org,Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance - College Visits - Mentoring,High School Students - Parents,75,10007,Academic Year 2015-2016 ,85000,"265 Henry Street
N Y, New York 10002
(40.713872, -73.984347)",749,718,2095
