"year","county_of_program_location","program_category","service_type","age_group","primary_substance_group","admissions"
"2007","Albany","Crisis","Medical Managed Detoxification","Under 18","Heroin","4"
"2007","Albany","Crisis","Medical Managed Detoxification","55 and Older","Alcohol","192"
"2007","Albany","Crisis","Medical Managed Detoxification","55 and Older","All Others","1"
"2007","Albany","Crisis","Medical Managed Detoxification","55 and Older","Heroin","30"
"2007","Albany","Crisis","Medical Managed Detoxification","55 and Older","Other Opioids","4"
"2007","Albany","Crisis","Medical Managed Detoxification","45 thru 54","Alcohol","402"
"2007","Albany","Crisis","Medical Managed Detoxification","45 thru 54","All Others","6"
"2007","Albany","Crisis","Medical Managed Detoxification","45 thru 54","Heroin","152"
"2007","Albany","Crisis","Medical Managed Detoxification","45 thru 54","Other Opioids","14"
"2007","Albany","Crisis","Medical Managed Detoxification","35 thru 44","Alcohol","376"
"2007","Albany","Crisis","Medical Managed Detoxification","35 thru 44","All Others","11"
"2007","Albany","Crisis","Medical Managed Detoxification","35 thru 44","Heroin","196"
"2007","Albany","Crisis","Medical Managed Detoxification","35 thru 44","Other Opioids","15"
"2007","Albany","Crisis","Medical Managed Detoxification","25 thru 34","Alcohol","135"
"2007","Albany","Crisis","Medical Managed Detoxification","25 thru 34","All Others","8"
"2007","Albany","Crisis","Medical Managed Detoxification","25 thru 34","Cocaine incl Crack","1"
"2007","Albany","Crisis","Medical Managed Detoxification","25 thru 34","Heroin","276"
"2007","Albany","Crisis","Medical Managed Detoxification","25 thru 34","Other Opioids","11"
"2007","Albany","Crisis","Medical Managed Detoxification","18 thru 24","Alcohol","35"
"2007","Albany","Crisis","Medical Managed Detoxification","18 thru 24","All Others","2"
"2007","Albany","Crisis","Medical Managed Detoxification","18 thru 24","Heroin","132"
"2007","Albany","Crisis","Medical Managed Detoxification","18 thru 24","Other Opioids","6"
"2007","Albany","Crisis","Medically Monitored Withdrawal","55 and Older","Alcohol","150"
"2007","Albany","Crisis","Medically Monitored Withdrawal","55 and Older","All Others","5"
"2007","Albany","Crisis","Medically Monitored Withdrawal","55 and Older","Marijuana incl Hashish","1"
"2007","Albany","Crisis","Medically Monitored Withdrawal","45 thru 54","Alcohol","661"
"2007","Albany","Crisis","Medically Monitored Withdrawal","45 thru 54","All Others","26"
"2007","Albany","Crisis","Medically Monitored Withdrawal","45 thru 54","Cocaine incl Crack","37"
"2007","Albany","Crisis","Medically Monitored Withdrawal","45 thru 54","Heroin","5"
"2007","Albany","Crisis","Medically Monitored Withdrawal","45 thru 54","Marijuana incl Hashish","8"
"2007","Albany","Crisis","Medically Monitored Withdrawal","45 thru 54","Other Opioids","1"
"2007","Albany","Crisis","Medically Monitored Withdrawal","35 thru 44","Alcohol","592"
"2007","Albany","Crisis","Medically Monitored Withdrawal","35 thru 44","All Others","22"
"2007","Albany","Crisis","Medically Monitored Withdrawal","35 thru 44","Cocaine incl Crack","102"
"2007","Albany","Crisis","Medically Monitored Withdrawal","35 thru 44","Heroin","9"
"2007","Albany","Crisis","Medically Monitored Withdrawal","35 thru 44","Marijuana incl Hashish","27"
"2007","Albany","Crisis","Medically Monitored Withdrawal","35 thru 44","Other Opioids","2"
"2007","Albany","Crisis","Medically Monitored Withdrawal","25 thru 34","Alcohol","135"
"2007","Albany","Crisis","Medically Monitored Withdrawal","25 thru 34","All Others","2"
"2007","Albany","Crisis","Medically Monitored Withdrawal","25 thru 34","Cocaine incl Crack","40"
"2007","Albany","Crisis","Medically Monitored Withdrawal","25 thru 34","Heroin","6"
"2007","Albany","Crisis","Medically Monitored Withdrawal","25 thru 34","Marijuana incl Hashish","11"
"2007","Albany","Crisis","Medically Monitored Withdrawal","25 thru 34","Other Opioids","1"
