"type_of_insurer","company_name","year","assets","liabilities","premium_written"
"A&H","Accendo Insurance Company","2020","86264666","59412381","$812"
"HMO","Aetna Health Inc.","2020","164454530","53595015","$250,434,553"
"A&H","Aetna Health Insurance Company of New York","2020","10778238","6484","$21,615"
"MCH","Allegany-Cattaraugus Schools Medical Health Plan","2020","39579684","17776761","$49,651,108"
"A&H","American Independent Network Insurance Company of New York","2020","20767098","60371923","$1,553,310"
"A&H","Anthem Ins Co Inc","2020","4205777426","2779856702","$123,044,592"
"A&H","Bright Hlth Ins Co of NY","2020","20024041","4919215","$7,971,836"
"HMO","Capital District Physicians Health Plan","2020","670118348","293059171","$1,742,108,726"
"A&H","Care Improvement Plus of South Central Insurance Company","2020","924457147","340071867","$32,859,857"
"A&H","CareConnect Insurance Company, Inc. (formerly North Shore LIJ CareConnect Insurance Company)","2020","92965539","3557728","$0"
"HMO","Catholic Special Needs Plan, LLC","2020","17028541","10875215","$48,602,380"
"MCH","Catskill Area Schools Employees Benefit Plan","2020","42424156","5759815","$36,259,787"
"MCH","Cayuga-Onondaga Area School Employees' Healthcare Plan","2020","37472205","6423218","$26,377,741"
"A43","CDPHP Universal Benefits, Inc.","2020","266404322","77178505","$620,151,518"
"MCH","Chautauqua County School Districts' Medical Health Plan","2020","50815014","10435639","$58,670,029"
"SHIP","Cornell University Student Health Insurance Plan","2020","41203721","32297838","$41,806,708"
"A&H","Crystal Run Health Insurance Company, Inc.","2020","6817159","4276040","$2,965,094"
"HMO","Crystal Run Health Plan, LLC","2020","4207055","3272356","$520,777"
"A&H","Delta Dental Insurance Company","2020","440950493","240624880","$22,406,413"
"A43","Delta Dental of New York, Inc.","2020","161084386","52675489","$190,785,283"
"A43","Dentcare Delivery Systems, Inc.","2020","22268133","9353355","$58,834,797"
"A43","Eastern Vision Service Plan, Inc.","2020","43574870","23407358","$86,747,658"
"HMO","Elderplan, Inc.","2020","372715352","172525219","$1,182,619,540"
"A&H","EmblemHealth Insurance Company","2020","59212126","22370918","$74,195,733"
"A43","EmblemHealth Plan, Inc.","2020","633364183","386220518","$751,675,371"
"A&H","Empire HealthChoice Assurance, Inc.","2020","2426118232","1459756904","$2,932,396,000"
"HMO","Empire HealthChoice HMO, Inc.","2020","425392401","245190660","$897,155,745"
"A&H","Envision Insurance Company","2020","551003295","476062704","$43,502,378"
"A43","Excellus Health Plan, Inc.","2020","3659349458","2481737816","$6,202,850,419"
"A&H","Freelancers Insurance Company, Inc.","2020","2439799","269226","$0"
"HMO","Fresenius Health Plans of New York Inc","2020","1410727","612558","$17,000"
"MCH","Greater Tompkins County Municipal Health Insurance Consortium","2020","33511789","7511609","$48,189,940"
"A&H","Hallmark Life Insurance Company","2020","282479840","124530201","$0"
"HMO","Hamaspik, Inc","2020","9602597","1645962","$210,510"
"A&H","Health Insurance Company of America, Inc.","2020","290294","7250","$0"
"A43","Health Insurance Plan of Greater New York","2020","1557966202","1169229138","$5,305,473,613"
"HMO","Health Pointe of New York, LLC","2020","5248950","360934","$1,940,825"
"HMO","Healthfirst Health Plan, Inc. (formerly Managed Health, Inc.)","2020","1137496933","700625311","$3,443,685,897"
"A&H","Healthfirst Insurance Company, Inc.","2020","56737882","38814314","$66,463,350"
"A43","HealthNow New York Inc.","2020","1277481481","610844825","$2,906,961,364"
"A&H","Healthplex Insurance Company","2020","6632287","989766","$8,554,067"
"A&H","HealthSpring Life & Health Insurance Company, Inc.","2020","1201702035","640732117","$0"
"HMO","Humana Health Company of New York, Inc.","2020","212106325","146365812","$432,107,481"
"A&H","Humana Insurance Company of New York","2020","261105189","120044855","$613,602,468"
"HMO","iCircle Services of the Finger Lakes Inc","2020","20686240","39753816","$185,201,321"
"HMO","Independent Health Association, Inc.","2020","789608994","268711585","$1,431,300,720"
"A43","Independent Health Benefits Corporation","2020","277455226","150175795","$515,517,056"
"MCH","Jefferson-Lewis et. al. School Employees Healthcare Plan","2020","57618386","12691203","$75,556,792"
"HMO","Longevity Hlt Plan of NY, Inc.","2020","6972436","4374324","$18,897,226"
"A&H","MedAmerica Insurance Company of New York","2020","1062345498","1035688272","$45,532,976"
"A&H","Medco Containment Insurance Company of New York","2020","56213157","13685798","$86,660,220"
"A&H","Merit Health Insurance Company","2020","67642195","17821849","$23,071,746"
"HMO","Mount Carmel Health Plan of New York, Inc.","2020","22077068","1470","$0"
"A&H","Mutual of Omaha Insurance Company","2020","9440459254","5817005778","$86,795,743"
"A&H","MVP Health Insurance Company","2020","5855901","599895","($199,552)"
"HMO","MVP Health Plan, Inc.","2020","826240842","408328240","$2,526,784,851"
"A43","MVP Health Services Corp.","2020","203669304","88425578","$711,810,681"
"A&H","Northwestern Long Term Care Insurance Company","2020","293285635","98280863","$44,426,987"
"MCH","Orange-Ulster School Districts Plan","2020","131129286","39017870","$157,605,309"
"HMO","Oscar Health Plan of New York, Inc.","2020","24291542","19930046","$11,403,578"
"A&H","Oscar Insurance Corporation","2020","229025075","183680779","$242,696,392"
"A&H","Oxford Health Insurance, Inc.","2020","3280658858","1555353996","$6,444,098,304"
"HMO","Oxford Health Plans (NY), Inc.","2020","362618673","124350687","$618,318,919"
"A&H","Physicians Mutual Insurance Company","2020","2599100676","1497026696","$5,136,277"
"A43","Pupil Benefits Plan, Inc.","2020","18721796","6001203","$8,111,723"
"MCH","Putnam/Northern Westchester Health Benefits Consortium","2020","97866737","33686362","$122,422,715"
"MCH","Rochester Area School Health Plan II Municipal Cooperative Health Benefit Plan","2020","133132463","35122152","$268,528,230"
"HMO","Senior Whole Health of New York, Inc.","2020","262022121","127121605","$756,404,880"
"A&H","Sierra Health and Life Insurance Co, Inc.","2020","6117201902","2784813726","$718,243,167"
"A&H","SilverScript Insurance Company","2020","2862292203","1855572700","$213,638,639"
"A&H","Solstice Health Insurance Company","2020","15063375","7268304","$7,024,429"
"HMO","SPARTAN Plan NY, Inc.","2020","1736130","974603","$2,099,824"
"MCH","St. Lawrence-Lewis Counties School Districts Employees Medical Plan","2020","26093711","11357715","$69,861,553"
"MCH","State-Wide Schools Cooperative Health Plan","2020","123633317","53827428","$209,171,739"
"MCH","Steuben Area School Employees' Benefit Plan","2020","14320032","2191410","$13,271,075"
"A&H","Trustmark Insurance Company","2020","1742368925","1427959969","$9,356,126"
"A&H","Tufts Insurance Company","2020","136337588","66660418","$0"
"A&H","United Concordia Insurance Company of New York","2020","5207142","1710601","$3,820,570"
"A&H","UnitedHealthcare Insurance Company of New York","2020","1615385959","836610931","$3,610,922,088"
"HMO","Unitedhealthcare of New York, Inc.","2020","1621859735","993804157","$4,957,070,546"
"SHIP","University of Rochester Student Health Insurance Plan","2020","10057369","7342931","$12,291,002"
"A&H","WellCare Health Insurance of New York, Inc.","2020","6219774","428866","$1,295,025"
"A&H","WellCare Prescription Insurance, Inc.","2020","2184542139","1840595296","$98,147,124"
"A&H","Accendo Insurance Company","2019","66072310","28512602","$0"
"HMO","Aetna Health Inc.","2019","194057873","116841077","$229,599,648"
"A&H","Aetna Health Insurance Company of New York","2019","10638672","6741","$0"
