"facility_name","location_address","location_address2","city","state","zip_code","county","region","phone_number","owner_name","owner_type","activity_desc","activity_number","active","east_coordinate","north_coordinate","accuracy_code","waste_types","authorization_number","authorization_issue_date","expiration_date","georeference"
"Albany YW Compost Facility","One Richard J. Connors Blvd.",,"Albany","NY","12204","Albany","4",,"City Of Albany Dept of General Services","Municipal","Composting - yard waste - permit","[01Y02]","Yes","603760","4725329","1 - No accuracy stated","Yard Waste","4-0101-00188/00003","2007-06-25T00:00:00.000","2027-06-27T00:00:00.000",
"Arcade Composting","7589 Hurdville Rd.",,"Arcade","NY","14009","Wyoming","9","5854921111","Village of Arcade","Municipal","Composting/other processing - biosolids/other","[61C03]","Yes","218718","4714797","4.3 - Utilization of Digital Orthophoto Quads",,"9.562E+14","2016-10-18T00:00:00.000","2026-10-17T00:00:00.000","7589 Hurdville Rd.
Arcade, NY 14009
(42.535697, -78.45811)"
"Ben Weitsman of Syracuse; LLC","333 Bridge Sreet",,"Solvay","NY","13209","Onondaga","7","3154883171","Ben Weitsman of Syracuse; LLC","Private","VDF - large - registration","[34V50005]","Yes","400882","4768935",,,"34V50005","2018-06-28T00:00:00.000","2023-06-28T00:00:00.000",
"Biomass Recycling","9831 NYS Route 23",,"Davenport","NY","13820","Delaware","4","6074340074","Michael Scarimbolo","Private","C&D processing - registration","[13W13]","Yes","504341","4698583",,"Wood (Clean);Wood (Chips)","13W13",,,
"Cheever Pit (Reale) LCD LF","NYS Route 9N","Mile Marker 1228","Moriah","NY","12960","Essex","5","5185856782","Anthony Reale","Private","Landfill - land clearing debris","[16D13]","Yes","623349","4857770","1 - No accuracy stated",,"16D13","2011-05-18T00:00:00.000",,
"Colonie (T) SWMF","4 Arrowhead Lane",,"Colonie","NY","12047","Albany","4","5187832827","Town of Colonie","Municipal","RHRF - permit","[01M26]","Yes","603570","4740311",,,"4-0126-00033/00001","2018-04-05T00:00:00.000","2028-04-04T00:00:00.000","4 Arrowhead Lane
Colonie, NY 12047
(42.801704, -73.730765)"
"Copart","4 West Ave",,"Leroy","NY","14482","Genesee","8","5857688160","Copart Inc","Private","VDF - small - registration","[7094487]","Yes","255100","4763158",,,,,,"4 West Ave
Leroy, NY 14482
(42.980989, -78.003142)"
"County Waste - 865 S. Pearl St; Albany","865-877 S. Pearl Street",,"Albany","NY","12202","Albany","4","5184330200","County Waste","Private","RHRF - registration","[01M18]","Yes","601591","4720434","4.2 - Utilization of GIS and existing spatial data",,,,,"865-877 S. Pearl Street
Albany, NY 12202
(42.623845, -73.768371)"
"Davis Auto Salvage","7534 Tilton Road",,"Bristol","NY","14469","Ontario","8","5856573202","Robert Davis","Private","Vehicle Dismantling Facility","[35J]","Yes","299924","4745486",,,,,,"7534 Tilton Road
Bristol, NY 14469
(42.835494, -77.447866)"
"Delaware County SWMF","32230 NYS Route 10",,"Walton","NY","13856","Delaware","4","6077462128","Delaware County","County","Landfill - C&DD - permit","[13D01]","Yes","495542","4667569","1.1 - Obtained from original submission and unverified process","Construction & Demolition Debris","4-1256-00040/00004","2019-07-22T00:00:00.000","2024-06-01T00:00:00.000",
