SOURCE,STATUS,PROGRAM YEAR,ID,DIVISION,DESCRIPTION,ESTIMATED LETTING DATE,LETTING DATE,ESTIMATED COMPLETION DATE,COMPLETION DATE,CONTRACTOR,CONTRACT NO.,LOW BID AMOUNT,APPROVED CONSTRUCTION AMOUNT,CONSTRUCTION AMOUNT,Latitude,Longitude,Location 1,NYS Municipal Boundaries,New York Zip Codes,Counties
compl2005,COMPLETED,2005,B912.1,New York,I-95 Thruway: Bridge Washing - 2010,,11/18/2009,,04/24/2010,"Dandrow's Painting, Inc.",TANE 09-61B/D213920,,,511860.00,,,,,,
compl2005,COMPLETED,2005,H1050.4,Syracuse,Syracuse Division: Pavement Striping - 2010,,10/21/2009,,07/28/2010,"Straight Line Industries, Inc.",TAS 09-45/D213901,,,451726.79,,,,,,
compl2005,COMPLETED,2005,I99.1,Buffalo,"Installation of Fiber Optic Line along I-190 and 2 Dynamic Message Signs, 16 TRANSMIT and 15 Closed Circut TV Cameras along I-90 and I-190",,11/12/2008,,07/27/2011,Concrete Applied Technologies Corporation,TAB 08-29I/D213789,,,0.00,,,,,,
compl2005,COMPLETED,2005,H1021.2,New York,MP 45.03: Woodbury Toll Barrier - Reconstruction for Highway Speed E-ZPass (Phase II),,12/19/2007,,08/18/2010,"Yonkers Contracting Company, Inc.",TANY 07-59/D213735,,,79140830.03,,,,,,
compl2005,COMPLETED,2005,C67.1,Albany,"Crescent: Lock E-6 - Rehabilitation, Saratoga County",,06/11/2008,,04/15/2011,Kubricky Construction Corporation,TAA 08-35C/D213750,,,0.00,42.802866999999999,-73.701738000000006,"(42.802867, -73.701738)",992,18,2141
compl2005,COMPLETED,2005,B556.2,Buffalo,MP N14.99: South Grand Island Bridge Southbound - Repair/Replace Sidewalk,,04/18/2007,,10/16/2007,"Oakgrove Construction, Inc.",TAN 07-11B/D213642,,,1316794.60,43.000894000000002,-78.940905000000001,"(43.000894, -78.940905)",290,526,2041
compl2005,COMPLETED,2005,H911.2,Syracuse,"Electronics Parkway (Exit 37, MP 284.1) to I-690 (Exit 39, MP 289.3): Pavement Resurfacing",,07/20/2011,,11/20/2012,"Villager Construction, Inc.",TAS 11-46/D214106,,,0.00,43.118116999999998,-76.233374999999995,"(43.118117, -76.233375)",690,637,2132
compl2005,COMPLETED,2005,B432.1,Buffalo,MP 362.12 to MP 434.85: Install Protective Screening on 10 Bridges in Buffalo Division,,07/27/2005,,01/20/2006,"Rommel Fence, LLC",TAB 05-12B/D213392,,,281297.47,,,,,,
compl2005,COMPLETED,2005,T29.1,Syracuse,"Canastota to Erie Canal Village:  Canalway Trail, Madison/Oneida Counties",,08/05/2009,,11/12/2010,"Dolomite Products, Inc./dba Ulster Paving Company",TAS 09-38C/D213415,,,2081010.59,,,,,,
compl2005,COMPLETED,2005,H1034.5,Albany,MP 103.00: Malden Service Area - Commercial Truck Parking Expansion,,07/21/2010,,05/17/2011,"Rifenburg Construction, Inc.",TAA 10-27/D213971,,,1595343.58,,,,,,
compl2005,COMPLETED,2005,H2171.1,Syracuse,"Geneva (Exit 42, MP 327.58) to Canandaigua (Exit 44, MP 347.10): Pavement Resurfacing and Safety Upgrades",,12/16/2009,,08/18/2011,"Villager Construction, Inc.",TAS 09-22/D213861,,,14973227.66,42.973787000000002,-77.177735999999996,"(42.973787, -77.177736)",805,405,2133
compl2005,COMPLETED,2005,B151.1,Albany,MP BS24.09: Route 102 Bridge over Berkshire Thruway - Replacement,,10/31/2007,,11/26/2008,"Bette & Cring, LLC",TABS 07-56B/D213238,,,6380594.67,,,,,,
compl2005,COMPLETED,2005,B905.1,New York,MP 14.67: Tappan Zee Bridge - Rehabilitation of Deck and Substructure & Replacement of Electrical Transfer Switch,,12/14/2005,,07/14/2011,"Perini Corporation/Tutor-Saliba, JV",TANY 05-31B/D213533,,,0.00,41.070115999999999,-73.893334999999993,"(41.070116, -73.893335)",974,,2185
compl2005,COMPLETED,2005,C224.1,Albany,"Tribes Hill: Movable Dam 8 at Lock E-12 - Painting, Montgomery County",,09/23/2009,,08/31/2012,Erie Painting and Maintenance,TAA 09-50C/D213748,,,4228856.45,42.944817999999998,-74.288374000000005,"(42.944818, -74.288374)",484,10,624
compl2005,COMPLETED,2005,H867.1,Albany,"Rotterdam (Exit 26, MP 163.3) to East of Amsterdam (MP 170.0): Pavement Resurfacing (including Pattersonville Service Area Ramps) and Safety Upgrades",,08/31/2005,,08/09/2006,"Callanan Industries, Inc.",TAA 05-5/D213504,,,3402110.93,42.883758999999998,-74.073404999999994,"(42.883759, -74.073405)",105,1304,2142
