"month","year","company_name","company_id","residential_customers","residential_customers_with_arrears_greater_than_60_days","residential_final_termination_notices","residential_accounts_terminated","residential_accounts_terminated_percentage","residential_active_payment_arrangements","residential_uncollectables","residential_sales","residential_arrears_greater_than_60_days_sales","residential_final_termination_notices_issued_sales","residential_accounts_terminated_sales","residential_average_sales","residential_active_payment_arrangements_sales","residential_uncollectables_sales"
"3","2010","CE","1002","2829157.00","240652.00","217374.00","6501.00","22.00","151139.00","4620.00","319127203.39","169882346.00","67955839.79","5141000.00","112.80","67150403.00","2587980.92"
"3","2010","CH","1001","255049.00","25443.00","23451.00","405.00","15.00","3901.00","1240.00","40075500.00","13275546.00","12445547.00","435029.00","157.13","5938077.00","797018.00"
"3","2010","NGrid-LI","1003","502515.00","60900.00","2482.00","682.00","13.00","22316.00","988.00","97927089.00","34632112.00","2014369.00","1306504.00","194.87","22594116.00","739646.00"
"3","2010","NGrid-NY","3010","991957.00","152994.00","53625.00","2906.03","29.00","27600.00","5823.00","154932336.82","72410628.00","53510901.76","2650053.58","156.19","21469205.86","1061036.51"
"3","2010","NGrid-Upstate","1004","1456407.05","229712.00","98771.00","2606.00","17.00","98461.00","6750.00","241478704.49","201131792.00","71007501.77","4131403.92","165.80","91586516.75","1188377.13"
"3","2010","NFG","3120","464366.00","27734.00","23420.00","367.00","7.00","23968.00","1650.00","54704512.26","23808365.50","13718972.31","603293.96","117.80","19213564.93","871883.27"
"3","2010","NYSEG","1005","987584.00","78033.00","93142.00","2456.00","24.00","38714.00","2893.00","85999760.00","23072327.92","23495541.46","1171960.77","87.08","24409713.53","-215946.94"
"3","2010","OR","1006","194579.00","17063.00","16534.00","374.00","19.00","6893.00","-2.00","54876383.14","8007441.22","6648191.00","426882.75","282.03","7292365.00","116841.56"
"3","2010","RG&E","1007","602542.00","51343.00","51212.00","2058.00","34.00","29531.00","1816.00","55002456.00","35861518.17","21150965.88","2520067.36","91.28","29323677.00","-582346.47"
"6","2010","CE","1002","2830745.00","231598.00","232701.00","9434.00","33.00","148648.00","5462.00","337962469.49","170962135.00","70849431.14","8077000.00","119.39","71890249.00","3037699.30"
"6","2010","CH","1001","240901.00","24729.00","22160.00","1545.00","64.00","4095.00","897.00","25925575.00","13727427.00","9811088.00","1501711.00","107.62","7516364.00","405996.00"
"6","2010","NGrid-LI","1003","504382.00","67377.00","2341.00","1562.00","30.00","25045.00","889.00","28968360.00","39029377.00","2002443.00","2350717.00","57.43","25320921.00","751076.00"
"6","2010","NGrid-NY","3010","980540.00","169550.00","57019.00","5973.65","60.00","34588.00","6156.00","48313463.53","77511428.00","47650155.87","7323381.25","49.27","28740107.73","1921042.60"
"6","2010","NGrid-Upstate","1004","1456972.60","242193.00","98985.00","8990.00","61.00","111099.00","6994.00","153397077.00","225893798.00","73079065.78","12780274.13","105.28","102656177.80","5116593.69"
"6","2010","NFG","3120","461277.00","28892.00","18518.00","3769.00","81.00","26146.00","3247.00","17422324.35","19320855.83","8729341.67","3066734.95","37.77","17691846.90","3338770.03"
