"tax_year","credit_type","place_of_residence","size_of_earned_income","notes","number_of_claims_zero_qualifying_children","credit_amount_claimed_zero_qualifying_children_000","average_credit_zero_qualifying_children","number_of_claims_one_qualifying_child","credit_amount_claimed_one_qualifying_child_000","average_credit_one_qualifying_child","number_of_claims_more_than_one_qualifying_child","credit_amount_claimed_more_than_one_qualifying_child_000","average_credit_more_than_one_qualifying_child","number_of_claims_two_qualifying_children","credit_amount_claimed_two_qualifying_children_000","average_credit_two_qualifying_children","number_of_claims_more_than_two_qualifying_children","credit_amount_claimed_more_than_two_qualifying_children_000","average_credit_more_than_two_qualifying_children","number_of_claims_total","credit_amount_claimed_total_000","average_credit_total","place_of_residence_sort_order","earned_income_sort_order"
"2020","NYS EITC","Total, New York City Counties","$0 - $4,000",,"41378","1945.112","47","12092","2463.792","204",,,,"4263","1020.12","239","1539","420.313","273","59272","5849.337","99","6","1"
"2020","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"52566","6749.919","128","25519","13823.245","542",,,,"8497","5703.77","671","3145","2395.483","762","89727","28672.417","320","6","2"
"2020","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"46761","4710.305","101","39476","30541.885","774",,,,"14356","14690.187","1023","5231","6141.451","1174","105824","56083.828","530","6","3"
"2020","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"20138","1071.27","53","34822","28277.156","812",,,,"21158","27507.475","1300","8765","13129.606","1498","84883","69985.507","824","6","4"
"2020","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"2508","157.527","63","30071","23567.531","784",,,,"20958","28174.914","1344","8849","13615.737","1539","62386","65515.709","1050","6","5"
"2020","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"122","2.353","19","25727","18686.88","726",,,,"18135","22770.731","1256","8250","12121.119","1469","52234","53581.083","1026","6","6"
"2020","NYS EITC","Total, New York City Counties","$24,001 - $28,000","d/",,,"785","22478","14291.183","636",,,,,,"1145","7014","9610.651","1370","44866","41497.256","925","6","7"
"2020","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","20406","10653.864","522",,,,"13484","13440.375","997","6205","7574.939","1221","40095","31669.178","790","6","8"
"2020","NYS EITC","Total, New York City Counties","$32,001 - $36,000",,"0","0","0","18102","6895.892","381",,,,"11217","9319.725","831","4888","5110.011","1045","34207","21325.628","623","6","9"
"2020","NYS EITC","Total, New York City Counties","$36,001 - $40,000",,"0","0","0","15744","3283.648","209",,,,"8802","5477.985","622","3860","3288.248","852","28406","12049.881","424","6","10"
"2020","NYS EITC","Total, New York City Counties","$40,001 - $44,000",,"0","0","0","6927","682.938","99",,,,"7631","3079.255","404","3176","2091.985","659","17734","5854.178","330","6","11"
"2020","NYS EITC","Total, New York City Counties","$44,001 - $48,000",,"0","0","0","1288","107.966","84",,,,"5577","1130.783","203","2521","1132.18","449","9386","2370.929","253","6","12"
