"company","electric_gas","case","date_effective","change_millions_of_dollars","change_percent","comment"
"Consolidated Edison","Electric","CASE 19-E-0065","2022-01-01T00:00:00.000","326.4","570","Increase in delivery rates"
"Consolidated Edison","Gas","CASE 19-G-0066","2022-01-01T00:00:00.000","170.3","1580","Increase in delivery rates"
"Central Hudson","Electric","CASE 20-E-0428","2021-07-01T00:00:00.000","-1.1","-20","Decrease in delivery rates"
"Central Hudson","Gas","CASE 20-G-0429","2021-07-01T00:00:00.000","3.9","190","Increase in delivery rates"
"New York State Electric and Gas","Electric","CASE 19-E-0378","2021-05-01T00:00:00.000","45.6","590","Increase in delivery rates"
"New York State Electric and Gas","Gas","CASE 19-G-0379","2021-05-01T00:00:00.000","3.4","170","Increase in delivery rates"
"Rochester Gas & Electric","Electric","CASE 19-E-0380","2021-05-01T00:00:00.000","13.9","310","Increase in delivery rates"
"Rochester Gas & Electric","Gas","CASE 19-G-0381","2021-05-01T00:00:00.000","0.9","50","Increase in delivery rates"
"KeySpan Long Island (KEDLI)","Gas","CASE 19-G-0310","2021-04-01T00:00:00.000","0","0","No increase or decrease in delivery rates"
"KeySpan New York (KEDNY)","Gas","CASE 19-G-0309","2021-04-01T00:00:00.000","0","0","No increase or decrease in delivery rates"
"Consolidated Edison","Electric","CASE 19-E-0065","2021-01-01T00:00:00.000","370.3","650","Increase in delivery rates"
"Consolidated Edison","Gas","CASE 19-G-0066","2021-01-01T00:00:00.000","176.3","1640","Increase in delivery rates"
"Orange & Rockland","Electric","CASE 18-E-0067","2021-01-01T00:00:00.000","12.2","240","Increase in delivery rates"
"Orange & Rockland","Gas","CASE 18-G-0068","2021-01-01T00:00:00.000","1","0","Increase in delivery rates"
"Central Hudson","Electric","CASE 17-E-0459","2020-07-01T00:00:00.000","23.1","660","Increase in delivery rates"
"Central Hudson","Gas","CASE 17-G-0460","2020-07-01T00:00:00.000","8.2","740","Increase in delivery rates"
"New York State Electric and Gas","Electric","CASE 19-E-0378","2020-05-01T00:00:00.000","45.6","590","Increase in delivery rates"
"New York State Electric and Gas","Gas","CASE 19-G-0379","2020-05-01T00:00:00.000","3.4","170","Increase in delivery rates"
"Rochester Gas & Electric","Electric","CASE 19-E-0380","2020-05-01T00:00:00.000","13.9","310","Increase in delivery rates"
"Rochester Gas & Electric","Gas","CASE 19-G-0381","2020-05-01T00:00:00.000","0.9","50","Increase in delivery rates"
"Niagara Mohawk Power Corp.","Electric","CASE 17-E-0238","2020-04-01T00:00:00.000","89.6","340","Increase in delivery rates"
"Niagara Mohawk Power Corp.","Gas","CASE 17-G-0239","2020-04-01T00:00:00.000","21.5","350","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 19-E-0065","2020-01-01T00:00:00.000","113.3","200","Increase in delivery rates"
"Consolidated Edison","Gas","CASE 19-G-0066","2020-01-01T00:00:00.000","47.2","440","Increase in delivery rates"
"Orange & Rockland","Electric","CASE 18-E-0067","2020-01-01T00:00:00.000","12.1","250","Increase in delivery rates"
"Orange & Rockland","Gas","CASE 18-G-0068","2020-01-01T00:00:00.000","1","0","Increase in delivery rates"
"Central Hudson","Electric","CASE 17-E-0459","2019-07-01T00:00:00.000","15.6","470","Increase in delivery rates"
"Central Hudson","Gas","CASE 17-G-0460","2019-07-01T00:00:00.000","6.2","610","Increase in delivery rates"
"Niagara Mohawk Power Corp.","Electric","CASE 17-E-0238","2019-04-01T00:00:00.000","88.6","340","Increase in delivery rates"
"Niagara Mohawk Power Corp.","Gas","CASE 17-G-0239","2019-04-01T00:00:00.000","20.7","350","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 16-E-0060","2019-01-01T00:00:00.000","155.2","270","Increase in delivery rates  (Levelized to $199.0 million)"
"Consolidated Edison","Gas","CASE 16-G-0061","2019-01-01T00:00:00.000","89.5","830","Increase in delivery rates"
"KeySpan Long Island (KEDLI)","Gas","CASE 16-G-0058","2019-01-01T00:00:00.000","27","450","Increase in delivery rates  (Levelized to a 5.1% annual increase)"
"KeySpan New York (KEDNY)","Gas","CASE 16-G-0059","2019-01-01T00:00:00.000","48.9","480","Increase in delivery rates  (Levelized to a 9.3% annual increase)"
"Orange & Rockland","Electric","CASE 18-E-0067","2019-01-01T00:00:00.000","8.6","180","Increase in delivery rates"
"Orange & Rockland","Gas","CASE 18-G-0068","2019-01-01T00:00:00.000","-5.9","0","Decrease in delivery rates"
"Central Hudson","Electric","CASE 17-E-0459","2018-07-01T00:00:00.000","13.7","440","Increase in delivery rates"
"Central Hudson","Gas","CASE 17-G-0460","2018-07-01T00:00:00.000","3.2","330","Increase in delivery rates"
"New York State Electric and Gas","Electric","CASE 15-E-0283","2018-05-01T00:00:00.000","30.3","410","Increase in delivery rates"
"New York State Electric and Gas","Gas","CASE 15-G-0284","2018-05-01T00:00:00.000","14.8","730","Increase in delivery rates"
"Rochester Gas & Electric","Electric","CASE 15-E-0285","2018-05-01T00:00:00.000","25.9","570","Increase in delivery rates"
"Rochester Gas & Electric","Gas","CASE15-G-0286","2018-05-01T00:00:00.000","9.5","520","Increase in delivery rates"
"Niagara Mohawk Power Corp.","Electric","CASE 17-E-0238","2018-04-01T00:00:00.000","43.1","170","Increase in delivery rates"
"Niagara Mohawk Power Corp.","Gas","CASE 17-G-0239","2018-04-01T00:00:00.000","13.2","240","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 16-E-0060","2018-01-01T00:00:00.000","155.3","280","Increase in delivery rates  (Levelized to $199.0 million)"
"Consolidated Edison","Gas","CASE 16-G-0061","2018-01-01T00:00:00.000","92.3","940","Increase in delivery rates"
"KeySpan Long Island (KEDLI)","Gas","CASE 16-G-0058","2018-01-01T00:00:00.000","19.6","260","Increase in delivery rates  (Levelized to a 5.1% annual increase)"
"KeySpan New York (KEDNY)","Gas","CASE 16-G-0059","2018-01-01T00:00:00.000","41","350","Increase in delivery rates  (Levelized to a 9.3% annual increase)"
"Orange & Rockland","Gas","CASE 14-G-0494","2017-11-01T00:00:00.000","16.4","1090.00","Increase in delivery rates"
"Central Hudson","Electric","CASE 14-E-0318","2017-07-01T00:00:00.000","24.1","770","Increase in delivery rates"
"Central Hudson","Gas","CASE 14-G-0319","2017-07-01T00:00:00.000","6.1","630","Increase in delivery rates"
