"waterway","mile","shore","name","launch_type","latitude","longitude","parking","overnight_parking","camping","day_use_amenities","portage_distance","potable_water","restrooms","georeference","itsuid"
"Oswego Canal / Lake Ontario","23.71","west","Wright's Landing Boat Ramp","Ramp","43.46282","-76.51865","Cars (50) / Cars with Trailer (50)","No","No","Picnicking, Pavilion, Hibachi(s), Fishing","20' +/-","Yes","Yes (Flush)","POINT (-76.51865 43.46282)","Wright's Landing Boat Ramp"
"Erie Canal","228.78","south","Widewaters Canal Park Boat Ramp","Ramp","43.05086","-77.1315","Cars (15) / Cars with Trailer (5)","No","No","Picnicking, Hibachi(s), Fishing","20' +/-","No","Yes (Flush)","POINT (-77.1315 43.05086)","Widewaters Canal Park Boat Ramp"
"Champlain Canal","60.28","west","Whitehall Harbor Boat Ramp","Ramp","43.5508","-73.40234","Cars (10) / Cars with Trailer (5)","Yes","No","Picnicking, Hibachi(s), Pavilion, Gazebo, Fishing","20' +/-","Yes","Yes (Flush)","POINT (-73.40234 43.5508)","Whitehall Harbor Boat Ramp"
"Erie Canal","147.98","north","West Monroe Kayak Launch","Car Top - Beach Landing","43.24159","-76.08723","Cars (15)",,"No","Fishing","35' +/-","No","No","POINT (-76.08723 43.24159)","West Monroe Kayak Launch"
"Erie Canal","333.36","north","West Canal Marina Boat Ramp","Ramp","43.05196","-78.82185","Cars (50) / Cars with Trailer (20)","Yes, call (716) 694-4630","No","Picnicking, Pavilions, Hibachi(s), Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Northern  Pike, Walleye, Carp)","20' +/-","Yes","Yes (Flush)","POINT (-78.82185 43.05196)","West Canal Marina Boat Ramp"
"Erie / Champlain Confluence","0.28","north","Waterford Point Boat Ramp","Ramp","42.78554","-73.67745","Cars (10) / Cars with Trailer (5)","Yes","No","Picnicking, Historic, Showers, Storage Rack, Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","20' +/-","Yes","Yes (Flush)","POINT (-73.67745 42.78554)","Waterford Point Boat Ramp"
"Seneca Lake","51.41","west","Village Marina Boat Ramp","Ramp","42.384268","-76.871846","Cars (40) / Cars with Trailer (25)","Yes","No","$4 Fee (honor box), Restaurant, Picnicking, Fishing","20' +/-","Yes (Restaurant)","Yes (Flush)","POINT (-76.871846 42.384268)","Village Marina Boat Ramp"
"Erie Canal","129.19","south","Verona Beach Kayak Launch","Car Top - Beach Landing","43.19482","-75.72857","Cars (5)",,"No","Fishing","20' +/-","No","No","POINT (-75.72857 43.19482)","Verona Beach Kayak Launch"
"Erie Canal","338.33","south","Tonawanda Wall Kayak Launch","Car Top - Dock","43.02127","-78.87584","Cars (10)",,"No","Picnicking, Historic, Fishing","150' +/-","No","No","POINT (-78.87584 43.02127)","Tonawanda Wall Kayak Launch"
"Cayuga Lake","33.65","west","Taughannock Falls State Park Boat Ramp","Ramp","42.547192","-76.597639","Cars (25) / Cars with Trailer (20)","Yes","Yes","Picnicking, Pavilion, Swimming, Walking Trails, Concessions","20' +/-","Yes","Yes (Flush)","POINT (-76.597639 42.547192)","Taughannock Falls State Park Boat Ramp"
"Oswego Canal","9.38","east","Stop 28 Boat Ramp","Ramp","43.2953","-76.38645","Cars (10) / Cars with Trailer (10)",,"No","Fishing","20' +/-","No","No","POINT (-76.38645 43.2953)","Stop 28 Boat Ramp"
"Erie Canal","69.48","north","St. Johnsville Municipal Marina Boat Ramp","Ramp","42.99473","-74.67842","Cars (5)","Yes","Yes","Fishing, Picnicking","100' +/-","Yes","Yes","POINT (-74.67842 42.99473)","St. Johnsville Municipal Marina Boat Ramp"
"Champlain Canal","17.21","west","Stillwater Riverfront Park Kayak Launch","Car Top - Beach Landing","42.994087","-73.609277","Cars (10)",,"No","1/2 mile nature trail loop, Pavilion, Picnicking, Hibachi(s), Fishing","200' +/-","No","No","POINT (-73.609277 42.994087)","Stillwater Riverfront Park Kayak Launch"
"Seneca_Lake","43.86","east","Smith Memorial Park Boat Ramp","Ramp","42.48906","-76.88627","Cars (2) / Cars with Trailer (2)","Yes","Yes","Hiking, Fishing, Picnicing, Swimming","20 +/-","Yes","Yes","POINT (-76.88627 42.48906)","Smith Memorial Park Boat Ramp"
"Glens Falls Feeder Canal","5.66","north","Shermantown Road Kayak Launch","Car Top - Dock","43.30813","-73.62623","Cars (4)",,"No","Trail, Fishing","50 +/-","No","No","POINT (-73.62623 43.30813)","Shermantown Road Kayak Launch"
"Seneca Lake","17.10","west","Seneca Lake State Park Boat Ramp","Ramp","42.872","-76.94238","Cars (100) / Cars with Trailer (50)","Yes","No","Picnicking, Pavilion, Hibachi(s), Walking Trails, Swimming, Fishing","20' +/-","Yes","Yes (Flush)","POINT (-76.94238 42.872)","Seneca Lake State Park Boat Ramp"
"Cayuga-Seneca Canal","8.99","west","Seneca Falls Boat Ramp","Ramp","42.909603","-76.802605","Cars (20) / Cars with Trailer (10)",,"No","Skateboard Park","20' +/-","Yes (Canal Harbor .3 miles away)","Yes (Canal Harbor .3 miles away)","POINT (-76.802605 42.909603)","Seneca Falls Boat Ramp"
"Champlain Canal","25.42","west","Schuylerville Boat Ramp","Ramp","43.101937","-73.575279","Cars (15) / Cars with Trailer (5)","Yes","No","Bike path, Fishing","20' +/-","No","No","POINT (-73.575279 43.101937)","Schuylerville Boat Ramp"
"Erie Canal","43.90","south","Schoharie Crossing Boat Ramp","Ramp","42.9396","-74.28998","Cars (20) / Cars with Trailer (20)","No","No","$5 Fee (honor box), Picnicking, Fishing (Smallmouth Bass, Walleye, Carp)","20' +/-","No","Yes (Portable toilet)","POINT (-74.28998 42.9396)","Schoharie Crossing Boat Ramp"
"Champlain Canal","1.51","east","Schaghticoke Boat Ramp","Ramp","42.79946","-73.66625","Cars (2)",,"No","Fishing","200' +/-","No","No","POINT (-73.66625 42.79946)","Schaghticoke Boat Ramp"
"Champlain Canal","20.37","west","Saratoga Boat Ramp","Ramp","43.03613","-73.59223","Cars (5) / Cars with Trailer (2)",,"No","Fishing","20' +/-","No","No","POINT (-73.59223 43.03613)","Saratoga Boat Ramp"
"Erie Canal","282.10","north","San Soucie Park Boat Ramp","Ramp","43.22175","-77.99687","Cars (20) / Cars with Trailer (10)","Yes","No","Canalway Trail, Picnicking, Hibachi(s), Pavilion, Fishing","20' +/-","No","Yes (Portable toilet)","POINT (-77.99687 43.22175)","San Soucie Park Boat Ramp"
"Seneca Lake","27.79","east","Sampson State Park Boat Ramp","Ramp","42.725183","-76.912780","Cars (30) / Cars with Trailer (20)","Yes","Yes","Picnicking, Hibachi(s), Museum, Showers, Walking Trails, Fishing","20' +/-","Yes","Yes (Flush)","POINT (-76.91278 42.725183)","Sampson State Park Boat Ramp"
"Champlain Canal","30.48","east","Route 4 Rest Stop Kayak Launch","Car Top - Beach Landing","43.16994","-73.57937","Cars (10)",,"No","Picnicking","150' +/-","No","No","POINT (-73.57937 43.16994)","Route 4 Rest Stop Kayak Launch"
"Erie Canal","114.70","north","Rome City Boat Ramp","Ramp","43.202478","-75.447440","Cars (20) / Cars with Trailer (10)",,"No","Fishing, Picnicking","200' +/-","No","No","POINT (-75.44744 43.202478)","Rome City Boat Ramp"
"Erie Canal","116.30","north","Rome Boat Ramp","Ramp","43.20289","-75.47796","Cars (20) / Cars with Trailer (10)","Yes, 24 hour limit","No","Fishing (DEC Access Site), Picnicking","20' +/-","No","No","POINT (-75.47796 43.20289)","Rome Boat Ramp"
"Oswego River","18.20","west","Riverview Park Boat Ramp","Ramp","43.39676","-76.47188","Cars (5)","Yes, but limited parking","No","Showers, Picnicking, Fishing","20' +/-","Yes","Yes (Flush)","POINT (-76.47188 43.39676)","Riverview Park Boat Ramp"
"Hudson River (tidal)","146.84","east","Rensselaer Boat Ramp","Ramp","42.65882","-73.734801","Cars (10) / Cars with Trailer (10)","No","No","Picnicking, Fishing","100' +/-","No","No","POINT (-73.734801 42.65882)","Rensselaer Boat Ramp"
"Erie Canal","328.88","south","Ransom Creek Kayak Launch","Car Top - Beach Landing","43.069264","-78.750255","Cars (12)",,"No","Canalway Trail, Picnicking, Fire Pits, Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Northern  Pike, Walleye, Carp)","150' +/-","No","No","POINT (-78.750255 43.069264)","Ransom Creek Kayak Launch"
"Erie Canal","235.03","south","Port of Palmyra Kayak Launch","Car Top - Terraced Steps","43.066510","-77.228788","Cars (30)",,"No","Picnicking, Restaurant, Fishing","350' +/-","Yes","Yes (Flush)","POINT (-77.228788 43.06651)","Port of Palmyra Kayak Launch"
"Erie Canal","38.50","south","Port Jackson Boat Ramp","Ramp","42.938680","-74.199906","Cars(15) / Cars with Trailer (5)","Yes, 24 hour limit","No","Fishing","20' +/-","No","No","POINT (-74.199906 42.93868)","Port Jackson Boat Ramp"
