"public_authority_type","public_authority_name","address_line_1","city","state","zip","website"
"Local","Harrison Parking Authority","1 Heineman Place","HARRISON","NY","10528",
"Local","Upper Mohawk Valley Regional Water Board","1 Kennedy Plaza","UTICA","NY","13502","http://www.mvwa.us"
"Local","Upper Mohawk Valley Regional Water Finance Authority","1 Kennedy Plaza","UTICA","NY","13502","http://www.mvwa.us"
"Local","Utica Urban Renewal Agency","1 Kennedy Plaza","UTICA","NY","13502",
"Local","Dutchess County Water and Wastewater Authority","1 LaGrange Avenue","POUGHKEEPSIE","NY","12603","http://www.co.dutchess.ny.us/CountyGov/Departments/WaterandWaste/WRIndex.htm"
"Local","Yonkers Community Development Agency","1 Larkin Center","YONKERS","NY","10701","http://www.cityofyonkers"
"Local","Trust for Cultural Resources of the City of New York","1 Liberty Plaza","NEW YORK","NY","10006","http://www.tcrnyc.org"
"Local","Nassau County Sewer and Storm Water Finance Authority","1 WEST STREET","MINEOLA","NY","11501","http://www.nassaucountyny.gov/540/Sewer-Storm-Water-Finance-Authority"
"Local","Albany Municipal Water Finance Authority","10 N. Enterprise Ln","ALBANY","NY","12204","http://www.albanyny.gov/Government/CityOfficials/BoardsAndCommissions/AlbanyMunicipalWaterFinanceAuthority.aspx"
"Local","Albany Water Board","10 North Enterprise Drive","ALBANY","NY","12204","http://www.albanyny.gov/Government/CityOfficials/BoardsAndCommissions/AlbanyWaterBoard.aspx"
"Local","Onondaga County Resource Recovery Agency","100 Elwood Davis Rd.","N SYRACUSE","NY","13212-4312",
"Local","Huntington Community Development Agency","100 Main Street","HUNTINGTON","NY","11743","http://huntingtonny.gov"
"Local","Olean Urban Renewal Agency","101 East State Street","OLEAN","NY","14760",
"Local","Buffalo Sewer Authority","1038 City Hall","BUFFALO","NY","14202-3378","https://buffalosewer.org/"
"Local","Albany Port District Commission","106 Smith Blvd.","ALBANY","NY","12202","http://www.portofalbany.us"
"Local","Ithaca Urban Renewal Agency","108 East Green Street","ITHACA","NY","14850","http://www.cityofithaca.org/290/Ithaca-Urban-Renewal-Agency"
"Local","Freeport Community Development Agency","11 Richmond Street","FREEPORT","NY","11520","https://www.freeportny.gov/20/Community-Development-Agency"
"Local","New York City Housing Development Corporation","110 William Street","NEW YORK","NY","10038","http://www.nychdc.com"
"Local","Town of Erwin Urban Renewal Agency","117 West Water Street","PAINTED POST","NY","14870","http://www.erwinny.org"
"Local","Monroe County Airport Authority","1200 Brooks Avenue","ROCHESTER","NY","14624",
"Local","Orange County Water Authority","124 Main Street","GOSHEN","NY","10924","http://waterauthority.orangecountygov.com"
"Local","City of Fulton Community Development Agency","125 West Broadway","FULTON","NY","13069","http://www.fultoncda.com"
"Local","Village of Patchogue Community Development Agency","14 Baker Street","PATCHOGUE","NY","11772","http://www.patchoguevillage.org/commdev.htm"
