SOURCE,STATUS,PROGRAM YEAR,ID,DIVISION,DESCRIPTION,ESTIMATED LETTING DATE,LETTING DATE,ESTIMATED COMPLETION DATE,COMPLETION DATE,CONTRACTOR,CONTRACT NO.,LOW BID AMOUNT,APPROVED CONSTRUCTION AMOUNT,CONSTRUCTION AMOUNT,Latitude,Longitude,Location 1,NYS Municipal Boundaries,New York Zip Codes,Counties
plan2012,PLANNED,2012,B973.1,Buffalo,Buffalo Division: On-Demand Repair Contract - 2015-2016,2015,,,,,,,2000000.00,,,,,,,
plan2012,PLANNED,2012,C172.1,Albany,"Amsterdam: Movable Dam 7 at Lock E-11 - Rehabilitation, Montgomery County",2013,,,,,,,30000000.00,,42.946016,-74.211061999999998,"(42.946016, -74.211062)",497,1143,624
plan2012,PLANNED,2012,T13.1,Buffalo,"Amherst: Canalway Trail Repairs, Erie County",2014,,,,,,,400000.00,,,,,,,
plan2012,PLANNED,2012,H1118.1,Syracuse,"Waterloo (Exit 41, MP 320.70) to Geneva (Exit 42, MP 327.54): Pavement Resurfacing",2015,,,,,,,3500000.00,,42.958033999999998,-76.924232000000003,"(42.958034, -76.924232)",581,701,2144
plan2012,PLANNED,2012,A3.1,New York,Ardsley Service Area (MP 6.0 NB): Replace Aging Water Supply Main and Demolition of Obsolete Fire Water Supply System,2014,,,,,,,1700000.00,,40.983997000000002,-73.852874,"(40.983997, -73.852874)",974,1445,2185
plan2012,PLANNED,2012,C78.1,Buffalo,"Lockport: Wall - Rehabilitation, Niagara County",2014,,,,,,,3000000.00,,,,,,,
plan2012,PLANNED,2012,H1140.1,Buffalo,Buffalo Division Culvert Repairs,2015,,,,,,,3000000.00,,,,,,,
plan2012,PLANNED,2012,A842.1,New York,Sloatsburg Service Area (MP 33.0) and Modena Service Area (MP 66.0): Replacement of Deteriorated Roofs,2013,,,,,,,1000000.00,,41.147114000000002,-74.186171999999999,"(41.147114, -74.186172)",529,1510,628
plan2012,PLANNED,2012,H508.3,Buffalo,"LeRoy (Exit 47, MP 378.2) to west of Batavia (MP 393.7): Pavement Resurfacing",2013,,,,,,,25000000.00,,43.014772000000001,-78.109239000000002,"(43.014772, -78.109239)",784,6,2086
plan2012,PLANNED,2012,A866.2,Syracuse,"MP's 227 WB, 280 EB, 292 WB and 310 EB: Replacement of Deteriorated Flat Roofs at the Schuyler, DeWitt, Warners and Port Byron Service Areas",2015,,,,,,,1600000.00,,,,,,,
plan2012,PLANNED,2012,B957.1,Albany,MP 111.13 & 113.22: Thruway Bridges over Kaaterskill Creek and Catskill Creek: Railing/Fascia Repairs,2013,,,,,,,2200000.00,,42.231471999999997,-73.905440999999996,"(42.231472, -73.905441)",760,89,2087
plan2012,PLANNED,2012,T6.1,Syracuse,"Gryziec Park to Stanwix: Canalway Trail, Oneida County (funded with 2005 Transportation Bond Act funds)",2013,,,,,,,1925000.00,,,,,,,
plan2012,PLANNED,2012,B658.1,Syracuse,MP 276.58: I-481/Collamer Interchange (Exit 34A) Bridge - Rehabilitation,2014,,,,,,,2000000.00,,43.094743000000001,-76.043924000000004,"(43.094743, -76.043924)",702,426,2132
plan2012,PLANNED,2012,B49.1,New York,MP 26.37: College Road (Almshouse Road) Bridge over Thruway - Rehabilitation,2014,,,,,,,1500000.00,,41.111252,-74.089921000000004,"(41.111252, -74.089921)",529,1543,628
plan2012,PLANNED,2012,B628.1,Albany,Paint 8 Albany Division Bridges with Poor Paint Condition Ratings,2015,,,,,,,3000000.00,,,,,,,
plan2012,PLANNED,2012,B510.1,Buffalo,"West Seneca (Exit 54, MP 427.9) to Lackawanna Barrier (MP 430.6): Pavement Resurfacing and Replacement of Thruway Bridge over NYCRR/Penn RR (MP 430.05) and Rehabilitate Four Other Bridges",2015,,,,,,,20000000.00,,42.818330000000003,-78.791267000000005,"(42.81833, -78.791267)",276,107,2041
plan2012,PLANNED,2012,B946.1,New York,MP 14.67: Tappan Zee Bridge - Repair Gusset Plates,,,,,,,,2000000.00,,41.070115999999999,-73.893334999999993,"(41.070116, -73.893335)",974,,2185
plan2012,PLANNED,2012,B148.1,Albany,MP 816.26: Route 295 Bridge over Berkshire Thruway - Rehabilitation,2014,,,,,,,3000000.00,,42.408647000000002,-73.530895999999998,"(42.408647, -73.530896)",524,1185,619
plan2012,PLANNED,2012,H1130.1,New York,New York Division: Pavement Safety Striping - 2016,2015,,,,,,,700000.00,,,,,,,
plan2012,PLANNED,2012,H908.1,Syracuse,"Verona (Exit 33, MP 253.0) to Canastota (Exit 34, MP 262.0): Pavement Resurfacing and Safety Upgrades",2013,,,,,,,12000000.00,,43.108283,-75.672263000000001,"(43.108283, -75.672263)",122,1280,2092
plan2012,PLANNED,2012,B441.1,Buffalo,MP 380.57: West Bergen Road Bridge over Thruway - Replacement,2014,,,,,,,5200000.00,,43.029831000000001,-78.006967000000003,"(43.029831, -78.006967)",787,311,2086
plan2012,PLANNED,2012,B88.1,Albany,MP 91.88: Sawkill Road (County Route 42) Bridge over Thruway - Replacement,2015,,,,,,,4000000.00,,41.952919000000001,-74.020030000000006,"(41.952919, -74.02003)",408,79,2182
plan2012,PLANNED,2012,H1082.4,Buffalo,"Buffalo Division Culverts: Remove Sediment, Restore Capacity and Inspect for Needed Repairs",2013,,,,,,,250000.00,,,,,,,
