"title","highlight","blurb","indicator"
"T9 4.	SR-92 in San Mateo County has the most unreliable PM peak travel times of any highway in the region","SR-92","in San Mateo County has the most unreliable PM peak travel times of any highway in the region","Travel Time Reliability"
"T9 3.	SR-242 in Contra Costa County has the most unreliable AM peak travel times of any highway in the region","SR-242","in Contra Costa County has the most unreliable AM peak travel times of any highway in the region","Travel Time Reliability"
"T9 2.	2.	0.40 PM peak-period travel on regional freeways had a buffer time index of 0.40 in 2016","0.4","PM peak-period travel on regional freeways had a buffer time index of 0.40 in 2016","Travel Time Reliability"
"T9 1.	0.35 AM peak-period travel on regional freeways had a buffer time index of 0.35 in 2016","0.35","AM peak-period travel on regional freeways had a buffer time index of 0.35 in 2016","Travel Time Reliability"
"T8 5.","<1%","of miles driven in Sonoma, Solano and Napa counties were affected by congestion in 2016","Miles Traveled in Congestion"
"T8 4.	#1 San Francisco County ranks #1 for the share of miles driven in congestion","#1","San Francisco County ranks #1 for the share of miles driven in congestion","Miles Traveled in Congestion"
"T8 3.	6% of miles driven were affected by congested conditions in 2016","6%","of miles driven were affected by congested conditions in 2016","Miles Traveled in Congestion"
"T8 2.	3% of miles driven were in congested conditions in 2004","3%","of miles driven were in congested conditions in 2004","Miles Traveled in Congestion"
"T8 1.	2x The share of miles driven in congested conditions has nearly doubled since 2004","2x","The share of miles driven in congested conditions has nearly doubled since 2004","Miles Traveled in Congestion"
"T7 2 - 	#1 US-101/I-80 from Cesar Chavez to Treasure Island ranks as the most-congested segment during the PM peak period","#1","US-101/I-80 from Cesar Chavez to Treasure Island ranks as the most-congested segment during the PM peak period","Time Spent in Congestion"
"T7 1 - 1.5x Time spent in congestion increased 1.6 times faster than population growth since 2000","1.5x","Time spent in congestion increased 1.5 times faster than population growth since 2000","Time Spent in Congestion"
"T7 3 - 5	1% of all congested delay occurs in Alameda and Contra Costa counties","51%","of all congested delay occurs in Alameda and Contra Costa counties","Time Spent in Congestion"
"T7 4 - 3.6 minutes of congested freeway delay is experienced each day by the average commuter","3.6","minutes of congested freeway delay is experienced each day by the average commuter","Time Spent in Congestion"
"T6.3.	2017 was the highest year on record for traffic volumes at regional gateways, exceeding the previous 2006 peak","2017","was the highest year on record for traffic volumes at regional gateways, exceeding the previous 2006 peak","Traffic Volumes at Regional Gateways"
"T6. 6.	#1  Interstate 80 connecting Solano and Yolo counties is the busiest regional gateway based on traffic volumes","#1","Interstate 80 connecting Solano and Yolo counties is the busiest regional gateway based on traffic volumes","Traffic Volumes at Regional Gateways"
"T6. 5.	46%  The Central Valley accounts for 46 percent of all interregional traffic","46%","The Central Valley accounts for 46 percent of all interregional traffic","Traffic Volumes at Regional Gateways"
"T6. 4.	38% The Sacramento area accounts for 38 percent of all interregional traffic entering and exiting the Bay Area","38%","The Sacramento area accounts for 38 percent of all interregional traffic entering and exiting the Bay Area","Traffic Volumes at Regional Gateways"
"T6. 2.	660,000 vehicles entered or exited the region on a typical day in 2017","660,000","vehicles entered or exited the region on a typical day in 2017","Traffic Volumes at Regional Gateways"
"T6. 1.	+50%  Traffic volumes at regional gateways have climbed by more than 50 percent since 1992","50%","Traffic volumes at regional gateways have climbed by more than 50 percent since 1992","Traffic Volumes at Regional Gateways"
"T19 4.80% of BART vehicles are past their useful life benchmark, the highest of all large operators","80%","of BART vehicles are past their useful life benchmark, the highest of all large operators","Transit Asset Condition"
"T19 3. 0% of the Bay Area's light rail vehicles have eclipsed their useful life benchmark","0%","of the Bay Area's light rail vehicles have eclipsed their useful life benchmark","Transit Asset Condition"
"T19 2. 1.5% of the region's rail mileage has speed restrictions due to poor asset condition","1.50%","of the region's rail mileage has speed restrictions due to poor asset condition","Transit Asset Condition"
"T19 1. 37% of Bay Area transit assets were past their useful life in 2017","37%","of Bay Area transit assets were past their useful life in 2017","Transit Asset Condition"
"T18. 4.	14% of bridge and overpass deck area in Napa is structurally deficient, the worst of any county","14%","of bridge and overpass deck area in Napa is structurally deficient, the worst of any county","Bridge Condition"
"T18. 3.	#1  The Bay Area ranks #1 for the largest reduction in the share of structurally deficient bridges of any major metro area","#1","The Bay Area ranks #1 for the largest reduction in the share of structurally deficient bridges of any major metro area","Bridge Condition"
"T18. 2.	2004 was the region's worst year for bridge condition, with an improving trend ever since","2004","was the region's worst year for bridge condition, with an improving trend ever since","Bridge Condition"
"T18. 1.	7% of Bay Area bridges and overpasses are considered structurally deficient, the best performance in the past 24 years","7%","of Bay Area bridges and overpasses are considered structurally deficient, the best performance in the past 24 years","Bridge Condition"
"T17. 6.	+10% The distressed share of highway lane-miles in Alameda County has increased 10 percentage points since 2013","10%","The distressed share of highway lane-miles in Alameda County has increased 10 percentage points since 2013","Highway Pavement Condition"
"T17. 5.	I-80 has the smoothest pavement of any major freeway in the Bay Area","I-80","has the smoothest pavement of any major freeway in the Bay Area","Highway Pavement Condition"
"T17. 4.	58% of the pavement on El Camino Real (State Route-82) is in distressed condition","58%","of the pavement on El Camino Real (State Route-82) is in distressed condition","Highway Pavement Condition"
"T17. 3.	12% of Contra Costa County highway lane-miles are in distressed condition (the best in the region)","12%","of Contra Costa County highway lane-miles are in distressed condition (the best in the region)","Highway Pavement Condition"
"T17. 2.	39% of San Francisco highway lane-miles are in distressed condition (the worst in the region)","39%","of San Francisco highway lane-miles are in distressed condition (the worst in the region)","Highway Pavement Condition"
"T17. 1.	25% of Bay Area highway lane-miles are in distressed condition as of 2015","25%","of Bay Area highway lane-miles are in distressed condition as of 2015","Highway Pavement Condition"
"T16. 3. Dublin has the region's smoothest streets, at a PCI of 85","86","Dublin has the region's smoothest streets, at a PCI of 86","Street Pavement Condition"
"T16. 2.	+4 San Francisco County had the biggest improvement in PCI since 2010, gaining four points","+8","San Francisco County had the biggest improvement in PCI of any county since 2010, gaining eight points","Street Pavement Condition"
"T16. 1.	67  Bay Area streets have an average PCI of 67, indicating fair regional pavement conditions overall","67","Bay Area streets have an average PCI of 67, indicating fair regional pavement conditions overall","Street Pavement Condition"
"T16.","+19","Orinda had the region's greatest improvement in pavemetn quality over the last three years, gaining 19 points","Street Pavement Condition"
"T14-15. 4. #5  Among major metros, the Bay Area has the fifth-lowest number of per-capita miles driven each day","#5","Among major metros, the Bay Area has the fifth-lowest number of per-capita miles driven each day","Daily Miles Traveled"
"T14-15. 3.	2005 Per-capita miles driven in the Bay Area have remained relatively stable since 2005","2005","Per-capita miles driven in the Bay Area have remained relatively stable since 2005","Daily Miles Traveled"
"T14-15. 2.	172 million miles were driven by Bay Area residents each weekday in 2015","172 million","miles were driven by Bay Area residents each weekday in 2015","Daily Miles Traveled"
"T14-15. 1.	23 miles The typical Bay Area resident drove 23 miles per day in 2015","23","The typical Bay Area resident drove 23 miles per day in 2015","Daily Miles Traveled"
"T13 6.	12% of VTA operating funds came from fares in 2015, the lowest of any major operator","12%","of VTA operating funds came from fares in 2015, the lowest of any major operator","Transit Cost-Effectiveness"
"T13 5.	70% of all Caltrain operating funds came from fares in 2015","70%","of all Caltrain operating funds came from fares in 2015","Transit Cost-Effectiveness"
"T13 4.	80% of all BART operating funds came from fares in 2015","80%","of all BART operating funds came from fares in 2015","Transit Cost-Effectiveness"
"T13 3.	#1 Of all major operators, Golden Gate Transit has the highest total and net operating costs","#1","Of all major operators, Golden Gate Transit has the highest total and net operating costs","Transit Cost-Effectiveness"
"T13 2.	#1 BART has the lowest net cost per boarding of any Bay Area transit system","#1","BART has the lowest net cost per boarding of any Bay Area transit system","Transit Cost-Effectiveness"
"T13	1.	#1 Muni has the lowest total cost per boarding of any Bay Area transit system","#1","Muni has the lowest total cost per boarding of any Bay Area transit system","Transit Cost-Effectiveness"
"T11 7.	3x Caltrain ridership has tripled since 1991","3x","Caltrain ridership has tripled since 1991","Transit Ridership"
"T11 6.	1/3 Per-capita bus boardings have declined nearly one-third since 1991","1/3","Per-capita bus boardings have declined nearly one-third since 1991","Transit Ridership"
"T11 5.	#3 The Bay Area ranks 3rd for per-capita transit ridership among the 10 largest metro areas","#3","The Bay Area ranks 3rd for per-capita transit ridership among the 10 largest metro areas","Transit Ridership"
"T11 4.	70 public transit trips are taken by an average Bay Area resident every year","70","public transit trips are taken by an average Bay Area resident every year","Transit Ridership"
"T11 3.	44% of all transit trips in the region are served by San Francisco Muni","44%","of all transit trips in the region are served by San Francisco Muni","Transit Ridership"
"T11 2.	+2% Weekday transit ridership grew by 2% in 2016, a faster rate than population growth","2%","Weekday transit ridership grew by 2% in 2016, a faster rate than population growth","Transit Ridership"
"T11 1.	-11% Per-capita, transit ridership has declined by 11% since 1991","-11%","Per-capita, transit ridership has declined by 11% since 1991","Transit Ridership"
"T1-2. 4.	60% Approximately 6 of every 10 people who either live or work in San Francisco commute without a car","60%","Approximately 6 of every 10 people who either live or work in San Francisco commute without a car","Commute Mode Choice"
"T05 87% of Santa Clara County's employed residents work in the county (highest in the region)","87%","of Santa Clara County's employed residents work in the county (highest in the region)","Commute Patterns"
"T05 57% of Contra Costa County employed residents commute to jobs in the county (lowest in the region)","57%","of Contra Costa County employed residents commute to jobs in the county (lowest in the region)","Commute Patterns"
"T05 3x More than 3 times as many workers commute into the region as out each day","3x","More than 3 times as many workers commute into the region as out each day","Commute Patterns"
"T05 120,000 workers commute into the Bay Area from outside the region each day","120,000","workers commute into the Bay Area from outside the region each day","Commute Patterns"
"T05 57% of Bay Area workers  live and work in same county","57%","of Bay Area workers  live and work in same county","Commute Patterns"
"0","3,700","acres of natural land per year were urbanized between 2000 and 2016","Greenfield Development"
"0","5%","Marin County accounted for just 5% of Bay Area greenfield development from 2000 to 2016","Greenfield Development"
"0","24%","of the region's greenfield development from 2010 to 2016 occurred in Santa Clara County","Greenfield Development"
"0","#10","The Bay Area consumed the fewest greenfield acres among the nation's largest 10 metro areas over the last 15 years","Greenfield Development"
"0","59,300","greenfield acres around the Bay Area were developed between 2000 and 2016","Greenfield Development"
"0","1,000","Alameda and San Francisco counties each issued permits for more than 1,000 affordable units in 2017",
"0","76%","of permits issued in 2017 were for multi-family units","Housing Permits"
"0","+1,000","San Jose issued 1,000 more permits in 2017 than in 2016","Housing Permits"
"0","2x","Permits nearly doubled in Alameda County from 2016 to 2017","Housing Permits"
"0","14%","of units permitted in 2017 will be affordable to low- and very-low income households","Housing Permits"
"0","27,000","units were permitted in the Bay Area in 2017","Housing Permits"
"0","+35%","The number of jobs in our region increased by 35 percent from 1990 through 2018","Jobs"
"0","60%","of the job growth since 2010 has occurred in Santa Clara and San Francisco counties","Jobs"
"0","#1","Bay Area employment numbers grew faster than any other major metro area between 2010 and 2018","Jobs"
"0","+27%","The number of jobs in our region increased by 27% from 2010 through 2018","Jobs"
"0","4 million","Bay Area employment peaked in 2018 at over 4 million jobs","Jobs"
"0","30%","of Bay Area residents live in the three most populous cities (San Jose, San Francisco and Oakland)","Population"
"0","29%","Dublin has the fastest growing population since 2010","Population"
"0","25%","of our region's population lives in Santa Clara County","Population"
"0","5x","more people live in San Jose today than in 1960","Population"
"0","7.8","million people live in the nine-county San Francisco Bay Area","Population"
"EQ6 - 5.	13 years The difference between highest and lowest life expectancy for Bay Area ZIP Codes was over 13 years","13","The difference between highest and lowest life expectancy for Bay Area ZIP Codes was over 13 years","Life Expectancy"
"EQ6 - 4.	73.4 years ZIP Code 94103, representing SOMA in San Francisco, had the lowest life expectancy in the region at 73.4 years","73.4","ZIP Code 94103, representing SOMA in San Francisco, had the lowest life expectancy in the region at 73.4 years","Life Expectancy"
"EQ6 - 3.	10.4 years Life expectancy in San Francisco improved 10.4 years from 1990 to 2013, largely due to better treatment and prevention of HIV/AIDS","10.4","Life expectancy in San Francisco improved 10.4 years from 1990 to 2013, largely due to better treatment and prevention of HIV/AIDS","Life Expectancy"
"EQ6 - 2.	79.6 years Life expectancy in Solano County was 79.6 years, lowest among Bay Area counties","79.6","Life expectancy in Solano County was 79.6 years, lowest among Bay Area counties","Life Expectancy"
"EQ6 - 1.	#1 San Mateo County has the highest life expectancy in the region at 83.7 years","#1","San Mateo County has the highest life expectancy in the region at 83.7 years","Life Expectancy"
"EQ5 - 5.	1/5 of our region's population lives in households with incomes below 200% of the poverty line","1/5","of our region's population lives in households with incomes below 200% of the poverty line","Poverty"
"EQ5 - 4.	#9 Our region's poverty rate was second-lowest of the nation's 10 largest metros, without accounting for cost of living","#9","Our region's poverty rate was second-lowest of the nation's 10 largest metros, without accounting for cost of living","Poverty"
"EQ5 - 3.	#1Rohnert Park saw the greatest percentage point increase in poverty of any Bay Area city from 2000 to 2015","#1","Rohnert Park saw the greatest percentage point increase in poverty of any Bay Area city from 2000 to 2017","Poverty"
"EQ5 - 2.	#101 Atherton had the lowest poverty rate of any Bay Area city in 2017 at 5%","#101","Atherton had the lowest poverty rate of any Bay Area city in 2017 at 5%","Poverty"
"EQ5 - 1.	#1 San Pablo had the highest poverty rate of any Bay Area city in 2017 at 41%","#1","San Pablo had the highest poverty rate of any Bay Area city in 2017 at 47%","Poverty"
"EQ4 - 7.	-34,000 The New York metro area sees a net migration of approximately 34,000 residents to Florida each year","-34,000","The New York metro area sees a net migration of approximately 34,000 residents to Florida each year","Migration"
"EQ4 - 6.	#1 Houston has the largest positive net migration of any major U.S. metro area","#1","Houston has the largest positive net migration of any major U.S. metro area","Migration"
"EQ4 - 5.	5000 more San Francisco residents moved to Alameda County in2015 than moved in the other direction","5,800","more San Francisco residents moved to Alameda County in 2015 than moved in the other direction","Migration"
"EQ4 - 4.+6000 Contra Costa County saw a net migration of 6,500 former Alameda County residents in 2015","6,500","Contra Costa County saw a net migration of 6,500 former Alameda County residents in 2014","Migration"
"EQ4 - 3.	+8,000 The Bay Area experienced a net in-migration of nearly 8,000 people from Southern California in 2015","8,000","The Bay Area experienced a net in-migration of nearly 8,000 people from Southern California in 2015","Migration"
"EQ4 - 2.	86,000 immigrants from other countries moved to the Bay Area in 2014","86,000","immigrants from other countries moved to the Bay Area in 2015","Migration"
"EQ4 - 1.-13,000 Over 13,000 more people chose to leave the nine-county Bay Area in 2015 than moved in, before accounting for immigration from abroad","-13,000","Over 13,000 more people chose to leave the nine-county Bay Area in 2015 than moved in, before accounting for immigration from abroad","Migration"
"EQ3 - 5.#2 The Bay Area ranks second among major metros for the share of lower-income residents at risk of displacement","#2","The Bay Area ranks second among major metros for the share of lower-income residents at risk of displacement","Displacement Risk"
