"shortcode","indicator","title","headline","summary","bonus"
"EC13A","Economic Output","Regional Performance","The Bay Area economy has grown by 59 percent since the ""dot-com"" bust in 2001.","The Bay Area economy, $900 billion strong, has fared well in the first two decades of the 21st century. Notwithstanding two significant recessions - in 2001-2002 and in 2007-2009 - the region boosted its inflation-adjusted economic output by 59 percent from 2001 to 2017. While a growing population explains some of this growth, the region's economy has still grown by 40 percent since 2001 when evaluated on a per capita basis. Since 2009, the low point of the recent downturn, the region has added $257 billion to its GRP, an average of nearly 5 percent growth each year.","It's worth noting that the Bay Area's impressive growth in output since 2001 has not been accompanied by a proportional growth in overall employment. The number of jobs in the region grew 11 percent over this period, moving from 3.5 million in 2001 to 3.9 million in 2017. Much of the region's economic growth comes from the job growth in high-productivity sectors such as electronic component manufacturing, computer software design, and scientific research and development services."
"EN2C","Ozone Concentrations","National Context","Despite significant improvements in air quality over the past half-century, Los Angeles still has the highest ozone levels of any major U.S. metro area.","California's stringent motor vehicle emissions standards have played a key role in reducing ozone levels in our state over the past half-century. Although ozone levels vary annually based on weather conditions, Bay Area ozone levels have generally been lower than most major metro areas in recent years. While emissions standards have greatly improved conditions in the City of Angels as well, Los Angeles still has the highest ozone concentrations of any major American metropolis. This is a result of its mountainous terrain, which trap air pollution in the Los Angeles basin. This topography contributes to the creation of smog, but at levels significantly lower than in decades past.",
"EQ2D","Housing Affordability","National Context","Despite having some of the nation's highest housing costs, the Bay Area actually falls in the middle of the pack for affordability, thanks to higher regional incomes.","Despite our very high housing prices, the Bay Area remarkably does not top the list for unaffordability. The region ranks fourth after Los Angeles, Miami and New York. Housing costs are above average in all four of these metro areas, but higher median incomes in the Bay Area mean the average resident here finds it easier to pay the higher housing costs. Meanwhile, Dallas, Atlanta and Washington have the lowest share of excessively-burdened residents among the 10 largest metro areas, led in part by higher incomes in Washington and lower housing costs in the southern metros.",
"EC13B","Economic Output","Local Focus","All Bay Area subregions have seen positive trends for economic output, but Silicon Valley is powering the region's economic surge.","Riding a technology boom, the per capita economic output of Silicon Valley nearly doubled between 2001 and 2017, growing over 40 percent faster than the regional growth rate after adjusting for inflation. While the San Francisco-Oakland subregion still accounts for almost 60 percent of the Bay Area economy, San Jose and other Silicon Valley cities contribute almost 35 percent of our region's economic output.","In the North Bay, Napa, Solano and Sonoma counties account for only 7 percent of the Bay Area's overall economic output. However, on a per capita basis, Napa and Solano counties have experienced economic growth at a rate only slightly lower than that of San Francisco since 2001. Meanwhile, Sonoma County has the smallest long-term growth in per capita GRP since 2001 at 10 percent, due in part to a concentration of jobs in lower-value sectors like agriculture."
"EC13C","Economic Output","National Context","When it comes to economic output, the Bay Area is growing faster than any of its peer metro areas.","The Bay Area's economy has been the nation's best performer since 2001, with its 40 percent per capita GRP growth outpacing other major metro areas by a wide margin. Prior to the Great Recession, our region's economy was also one of the faster-growing in the nation, along with those of Los Angeles, Miami, Washington and New York. Since the Great Recession, however, these other large metro areas have seen little-to-no growth in per capita GRP - while the Bay Area economy has continued its upward trend. Our region's 2017 per capita GRP also topped the list of its big-city peers, outperforming the nation's energy, political and financial hubs (Houston, Washington and New York, respectively) by at least $30,000 per person.",
"EC17A","Airport Activity","Regional Performance","Passenger travel at Bay Area airports has steadily grown over time, primarily at San Francisco International Airport.","Passenger boardings at Bay Area airports have outpaced population growth, increasing nearly 41 percent since 2001 to a total of almost 40 million in 2017. This reflects growing air travel demand from Bay Area residents and increases in passengers arriving in the Bay Area for work, tourism or connecting flights. San Francisco International Airport (SFO) has seen particularly robust growth. With almost 70 percent of our region's total passenger boardings, SFO is clearly the Bay Area's busiest airport, accounting for all net regional passenger growth in the region since 2001. Despite recent investments, passenger levels at both Oakland International Airport (OAK) and San Jose International Airport (SJC) have yet to recover from recession-era airline service cuts to midsize airports.","Sonoma County Airport (STS) in Santa Rosa recorded just 195,000 boardings in 2017, 0.5 percent of the regional total. With terminal expansion underway, the airport has provided a valuable alternative for North Bay residents traveling to select West Coast cities. If regional demand for air travel continues to increase over the coming years, excess capacity in Santa Rosa, Oakland and San Jose may provide relief to SFO, the region's primary passenger hub."
"EC17B","Airport Activity","Local Focus","Bay Area airport freight levels have not fully bounced back from the Great Recession.","Most of the region's domestic air cargo activity occurs at Oakland International Airport (OAK), a regional hub for FedEx. OAK saw a 24 percent drop in air cargo tonnage during the Great Recession, and freight volumes at the airport have remained lower ever since. While tonnage has slowly grown in the last eight years, shifts in the freight industry toward more efficient ground transportation are a challenge for attracting air cargo business, including at OAK.","Other Bay Area airports experienced even steeper reductions than OAK in cargo volumes. San Francisco International Airport (SFO) saw a 40 percent decline and San Jose International Airport (SJC) saw a 50 percent drop in tonnage from 2007 to 2017. SFO and SJC were particularly impacted by shifts in demand that occurred during the Great Recession, and both airports have been slow to fully recover. As an international freight hub, SFO has also endured declining cargo volumes due to shifting trade routes, resulting in goods from Asia bypassing the Bay Area via more direct routing through Alaska."
"EC17C","Airport Activity","National Context","Over the past decade, the strong California economy has spurred substantial growth in boardings at Los Angeles and Bay Area airports.","Most major metro areas across the country have seen growth in passenger boardings in recent years, and the booming California economy has powered substantial growth at airports in Los Angeles and the Bay Area. Since 2009, passenger traffic in these two metro areas has grown by over 40 percent each. Los Angeles is now the nation's second-busiest region with around 50 million boardings per year, while in 2017, the Bay Area surpassed Dallas and Miami to become the fifth-busiest region at 40 million boardings per year.",
"EC18A","Seaport Activity","Regional Performance","Cargo activity at the Port of Oakland is at an all-time high.","The Port of Oakland, the region's primary cargo seaport, has seen a gradual increase in the number of containers processed over the past decade, leading to record-high traffic in 2018. While container volumes dipped during the Great Recession and again in 2015 due to a labor dispute, a strong global economy has resulted in slow but steady growth in traffic in recent years.",
"EC18B","Seaport Activity","National Context","The Port of Oakland is one of the nation's largest ports, although it moves significantly less cargo than either Los Angeles-Long Beach and New York-New Jersey.","The Ports of Los Angeles and Long Beach stand head and shoulders above all competitors when measured by the number of containers moving through the ports. These adjacent ports serve as the nation's primary seaport, benefiting from proximity to major domestic West Coast markets and shorter shipping routes to Asia. On the East Coast, the Port of New York and New Jersey serves as the largest seaport - benefiting from the same advantages as our peers in Southern California. As a result, a large share of goods destined for the Bay Area arrive in Los Angeles and are transported to the Bay Area by truck or by rail.","Since the turn of the 21st century, the Port of Oakland fell from the fifth busiest port in the nation to the eighth. Oakland was surpassed by Savannah, Georgia in 2006, by Hampton Roads, Virginia in 2014, and by Houston in 2017. Lower labor costs combined with proximity to fast-growing markets have resulted in rapid growth at these southern ports."
