"basisid","socrata_id","data_category","data_subcategory","data_set","description","data_steward","jurisdiction_contact","primary_uses","format","unit_of_analysis","principal_use","source","data_collection_phase","category_search","geojson","geometry","dataurl","data_steward_notes","publishing_status","downloadurl","date_added","date_published","sharing_permissions","update_frequency","in_review","basis_url"
"db70af1a-7741-11e9-8f9e-2a86e4085a59",,"Policy","Regional Policies","Transit Priority Areas","Areas that are within 1/2 mile of a Major Transit stop , defined as any of the following:- Existing rail stations- Planned rail stations in an adopted RTP- Existing ferry terminals with bus or rail service- Planned ferry terminals with bus or rail service in an adopted RTP- Intersection of at least two existing or planned bus routes with headways of 15 minutes or better during both the morning and evening peak periods","Dave Vautin",,"UrbanSim Modeling; Regional Growth Framework; Plan Bay Area","geo","sub city areas","TBD","MTC/ABAG","1","Policy","https://opendata.arcgis.com/datasets/d97b4f72543a40b2b85d59ac085e01a0_0.geojson","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=d97b4f72543a40b2b85d59ac085e01a0#visualize",,"Authoritative","https://opendata.arcgis.com/datasets/d97b4f72543a40b2b85d59ac085e01a0_0.zip",,"2017","Public",,,
"db70a286-7741-11e9-8f9e-2a86e4085a59",,"Land & People","Development","Accessory Dwelling Units","These are secondary housing units that are built on an existing single family residential lot.  These units are attached (owned) by the same property owner of the single family dwelling. (Can be calculated based upon jurisdiction housing policies).","Gillian Adams",,"Housing Program; Residential Development Tracking; CASA","table","parcel","TBD","Jurisdiction","1","Land_and_People",,,,,"Not yet collected",,,,,,,
"db70a77c-7741-11e9-8f9e-2a86e4085a59",,"Land & People","Development","Residential Building Permits (attributes)","The location, and affordability restrictions if applicable, of housing developments for which permits have been issued, for 2014 through 2017, in order to track progress toward housing production goals and to support analysis and policy development. This data contains the building permit attributes. The features (point) need to be downloaded separately. These attributes will need to be joined to the features for mapping and spatial analysis.","Gillian Adams",,"Housing Program; Residential Development Tracking; CASA","table","parcel","TBD","Jurisdiction","1","Land_and_People","https://opendata.arcgis.com/datasets/92a2e55f00c94295adf9feac3d695f1e_0.geojson","Point","https://mtc.maps.arcgis.com/home/item.html?id=92a2e55f00c94295adf9feac3d695f1e#data",,"Authoritative","https://opendata.arcgis.com/datasets/92a2e55f00c94295adf9feac3d695f1e_0.csv",,"2018","Public",,,
"db70a8a8-7741-11e9-8f9e-2a86e4085a59",,"Land & People","Housing","Bay Area Housing Opportunity Sites (2007-2023)","Tracks potential or designated locations where future housing may be built.  These locations are designated by local jurisdictions and collected by the housing team to track Regional Housing Need Assessment (RHNA) progress.

The site list was compiled from the housing opportunity sites inventories prepared by each of the region’s 101 cities and nine counties as part of the 2007-2014 and 2015-2023 RHNA housing element cycles.","Gillian Adams",,"Housing Program; Residential Development Tracking; CASA","geo","parcel","TBD","MTC/ABAG","1","Land_and_People","https://opendata.arcgis.com/datasets/da0765ab82ae475d985688e140f931bd_0.geojson","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=da0765ab82ae475d985688e140f931bd#visualize",,"Authoritative","https://opendata.arcgis.com/datasets/da0765ab82ae475d985688e140f931bd_0.zip",,"2015","Public",,,
"db70bb7c-7741-11e9-8f9e-2a86e4085a59",,"Policy","Housing","Housing Policy Toolkit","An inventory of housing related policies adopted by local jurisdictions.","Gillian Adams",,"Housing Program; Residential Development Tracking; CASA","table","jurisdiction","TBD","Jurisdiction","1","Policy","https://services3.arcgis.com/i2dkYWmb4wHvYPda/ArcGIS/rest/services/Housing_Policy_Toolkit_7_20_18/FeatureServer/0/query?where=1%3D1&objectIds=&time=&resultType=standard&outFields=*&returnIdsOnly=false&returnUniqueIdsOnly=false&returnCountOnly=false&returnDistinctValues=false&orderByFields=&groupByFieldsForStatistics=&outStatistics=&having=&resultOffset=&resultRecordCount=&sqlFormat=none&f=pjson&token=",,"https://mtc.maps.arcgis.com/home/item.html?id=bdcb075e375f4daeb20000d0ebd41053#data",,"Collected","https://open-data-demo.mtc.ca.gov/api/views/njhj-i9e8/rows.csv?accessType=DOWNLOAD&bom=true&format=true",,,"Public",,,
"db709656-7741-11e9-8f9e-2a86e4085a59",,"Policy","Housing","Housing Preservation Units","Units designated for preservation by local jurisdictions.","Gillian Adams",,"Housing Program; Residential Development Tracking; CASA","table","parcel","TBD","Jurisdiction","1","Policy",,,,,"Not yet collected",,,,,,,
"db709516-7741-11e9-8f9e-2a86e4085a59",,"Policy","Development","Deed Restricted Units","This represents affordable housing units, it includes a database of current housing with low income residency requirements.","Gillian Adams/ Michael Reilly",,"Used as an input to UrbanSim; reflected in land use forecasts and used in travel forecasts for the RTP/SCS, TIP, STIP, etc.","table","parcel","TBD","Jurisdiction","1","Policy",,,,,"Not yet collected",,,,,,,
"db70adda-7741-11e9-8f9e-2a86e4085a59",,"Policy","Regional Policies","Priority Development Areas (current)","Commonly known as PDAs, these are the current areas, within existing communities, that local jurisdictions have identified and approved for future housing and job growth in the community.  These areas form the foundation for sustainable growth for Plan Bay Area.","Mark Shorett",,"UrbanSim Modeling; Regional Growth Framework; Plan Bay Area","geo","sub city areas","TBD","MTC/ABAG","1","Policy","https://opendata.arcgis.com/datasets/36dd7a36576f42d4a3d6b0708e3982f4_0.geojson","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=36dd7a36576f42d4a3d6b0708e3982f4#visualize",,"Authoritative","https://opendata.arcgis.com/datasets/36dd7a36576f42d4a3d6b0708e3982f4_0.zip","19Mar2020","2020","Public","As needed",,
"db70b910-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Alquist-Priolo Earthquake Fault Zones","This feature set contains the Alquist-Priolo Earthquake Fault Zones and fault traces, as shown on the Revised Official Alquist-Priolo Earthquake Fault Zones Map, for the San Francisco Bay Region.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","California Geological Survey (CGS)","2","Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/cgs_alquist_priolo_zones/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=a1f74ce1577e4e98854df287d2e84b9d#visualize",,"Authoritative",,,"2018","Public",,,
"21c09c97-9ed5-436b-bc58-b274c365e39d",,"Environment","Natural Hazards","CalFire Fire Severity Zones","Features represent Fire Hazard Severity Zones, in State Responsibility Areas, developed by the California Department of Forestry and Fire Protection (Cal Fire). The features are a subset of a statewide feature set that was clipped to the San Francisco Bay Region. It was used for hazard analysis conducted for the Plan Bay Area 2040 Environmental Impact Report.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo",,"Plan Bay Area 2040 EIR","California Department of Forestry and Fire Protection (CAL FIRE)",,"Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/calfire_fire_severity_zones/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=aad45f4d2ede4dbc87fcfede728430a4#visualize",,"Deprecated",,,"2007","Internal",,,
