"start_date","job_title","department","department_code","job_term","list_type","req_number","appointment_type"
"2020-01-13T06:00:00.000","OFFICE ASSISTANT, TRAINEE (CLASS CODE 0020)","Office Of Community Development","719","Probationary","Regular and Promotional","2019-02185","New Hire/Rehire"
"2020-02-23T00:00:00.000","OFFICE ASSISTANT, TRAINEE (CLASS CODE 0020)","Property Management","450","Probationary","Regular and Promotional","2020-00541","New Hire/Rehire"
"2020-01-19T00:00:00.000","POLICE AIDE (CLASS CODE 7105)","Police Department","270","Probationary","Regular","2020-00088","New Hire/Rehire"
"2020-03-01T00:00:00.000","POLICE AIDE (CLASS CODE 7105)","Police Department","270","Provisional","Regular","2020-00628","New Hire/Rehire"
"2020-03-15T00:00:00.000","POLICE AIDE (CLASS CODE 7105)","Police Department","270","Provisional","Regular","2020-00645","New Hire/Rehire"
"2020-01-12T00:00:00.000","LABORER (CLASS CODE 1510)","Sanitation Department","300","Probationary","Regular","2019-03391","New Hire/Rehire"
"2020-01-12T00:00:00.000","LABORER (CLASS CODE 1510)","Sanitation Department","300","Probationary","Regular","2019-03425","New Hire/Rehire"
"2020-01-12T00:00:00.000","LABORER (CLASS CODE 1510)","Sanitation Department","300","Probationary","Regular","2019-03426","New Hire/Rehire"
"2020-02-17T00:00:00.000","LABORER (CLASS CODE 1510)","Parks & Parkways","620","Probationary","Regular","2020-00156","New Hire/Rehire"
"2020-02-03T00:00:00.000","LABORER (CLASS CODE 1510)","Sewerage and Water Board of New Orleans","010D","Probationary","Regular and Promotional","2020-00139","New Hire/Rehire"
"2020-04-19T00:00:00.000","POLICE AIDE (CLASS CODE 7105)","Police Department","270","Provisional","Regular","2020-00976","New Hire/Rehire"
"2020-04-26T00:00:00.000","POLICE AIDE (CLASS CODE 7105)","Police Department","270","Provisional","Regular","2020-01022","New Hire/Rehire"
"2020-04-26T00:00:00.000","POLICE AIDE (CLASS CODE 7105)","Police Department","270","Provisional","Regular","2020-01023","New Hire/Rehire"
