"the_geom","objectid","businessaddress","businessname","businessphone","businessstartdate","businesstype","businesslicensenumber","city","ownername","state","streetdirection","streetname","streetnumber","streetsuffix","suite","zip","locationx","locationy"
"POINT (-90.040495089397 29.945326564599)","9075","1600 NEWTON ST","NEWTON CORNER MART",,"2017-08-15","1106 - GROCERY (EXC CONVENIENCE) STORES","288487","NEW ORLEANS","KHP,LLC","LA",,"NEWTON","1600","ST",,"70114","3690275.31068","527917.667135"
"POINT (-90.113065863217 29.946318146988)","13","6221 S CLAIBORNE AVE","SMOOTHIE KING",,"1991-02-10","2064 - SNACK & NONALCOHOLIC BEVERAGE BARS","282214","NEW ORLEANS","SMOOTHIE KING","LA","S","CLAIBORNE","6221","AVE",,"70125","3667289.30106","528026.216383"
"POINT (-90.033606593077 29.965625339)","216","4131 ST CLAUDE AVE","MAGNOLIA SUPERMARKET # 3","5049482224","1995-03-01","1101 - CONVENIENCE STORES","277494","NEW ORLEANS","ALLADDIN ENTERPRISES, INC.","LA",,"ST CLAUDE","4131","AVE",,"70117-5336","3692373.06774","535323.702214"
"POINT (-90.076989294557 29.951922709288)","5788","575 CONVENTION CENTER BLVD","GRAND ISLE PARTNERS","5045208530","2007-06-07","1105 - FULL SVC RESTAURANTS (TABLE SERVICE)","279160","NEW ORLEANS","GRAND ISLE PARTNERS LLC","LA",,"CONVENTION CENTER","575","BLVD",,"70130","3678691.8167","530187.70942"
"POINT (-89.928465344125 30.032007406628)","6581","4646 MICHOUD BLVD","MICHOUD PHARMACY",,"2017-06-09","1120 - PHARMACIES & DRUG STORES","282705","NEW ORLEANS","VOTRAN RX,LLC","LA",,"MICHOUD","4646","BLVD","STE #D5","70129","3725366.81145","559855.355485"
"POINT (-90.129023568191 29.941607235655)","6520","7621 MAPLE ST","JIMMY JOHNS","2196881728","2013-08-14","1105 - FULL SVC RESTAURANTS (TABLE SERVICE)","282356","NEW ORLEANS","BLUE BOILER CATS II LLC","LA",,"MAPLE","7621","ST",,"70118","3662253.74848","526259.68243"
"POINT (-90.021282113665 29.928784332278)","8890","3520 GENERAL DE GAULLE DR","NEW ORLEANS PSYXHOTHERAPY",,"2014-09-05","0177 - OFF OF PHYSICIAN, MNTL HLTH SPECIALST","286915","NEW ORLEANS","NEW ORLEANS PSYXHOTHERAPY,LLC","LA",,"GENERAL DE GAULLE","3520","DR","4098","70114","3696428.6488","521971.50585"
"POINT (-90.058371519924 30.000629252308)","9361","3239 GENTILLY BLVD","INK BUSINESS",,"2017-09-12","3803 - PERSONAL SERVICES, ALL OTHER","280096","NEW ORLEANS","DOMINIC ALEXANDER","LA",,"GENTILLY","3239","BLVD",,"70122","3684390.34172","547964.356882"
"POINT (-89.945891108565 30.070642705564)","6427","7843 BUFFALO ST","P R MANAGEMENT PROPERTY",,"2017-01-06","1212 - HOME BASED-OFFICE USE ONLY","287119","NEW ORLEANS","PERKINS ENTERPRISES INC.","LA",,"BUFFALO","7843","ST",,"70128","3719683.06437","573837.422314"
"POINT (-90.058261981415 29.959854190398)","8702","1200 N PETERS ST","EDWIN JOCOM","3129279412","2011-04-21","0151 - FLEA MARKET","278011","NEW ORLEANS","EDWIN JOCOM","LA","N","PETERS","1200","ST",,"70116","3684590.00828","533137.391684"
"POINT (-90.09125142254 29.922367053695)","2722","3517 MAGAZINE ST","CLK HAIR SALON","5042691400","1997-01-30","3338 - BEAUTY SALONS","285384","NEW ORLEANS","LINDA CLAYTON","LA",,"MAGAZINE","3517","ST",,"70115","3674291.9938","519390.950903"
"POINT (-90.076759867432 29.97662504846)","4593","2520 BAYOU RD","HAMZA BEKAR",,"2020-01-21","2003 - LIMOUSINE SERVICE","290071","NEW ORLEANS","HAMZA BEKAR","LA",,"BAYOU","2520","RD",,"70119","3678665.96053","539171.20385"
"POINT (-90.076989294557 29.951922709288)","3533","1451 RIVER OAKS WEST","SYSCO NEW ORLEANS","5047311015","2013-04-22","1169 - MISC STORE RTLERS (EX TOBAC), ALL OTH","282626","HARAHAN","SYSCO USA II, LLC","LA",,"RIVER OAKS WEST","1451",,,"70123","3678691.8167","530187.70942"
"POINT (-90.035045746223 30.02507255295)","7160","6001 FRANCE RD","ABH LICENSING, LLC","2039422745","2021-06-10","1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES)","286125","NEW ORLEANS","PONTCHARTRAIN LANDING","LA",,"FRANCE","6001","RD",,"70126","3691672.46832","556935.786202"
"POINT (-90.076989294557 29.951922709288)","162","511 GRAVIER ST","DORSEY & CO INC",,"1997-01-01","3301 - OPEN-END INVESTMENT FUNDS","285851","NEW ORLEANS","DORSEY & CO INC","LA",,"GRAVIER","511","ST",,"70130","3678691.8167","530187.70942"
"POINT (-90.059011955353 29.990122565734)","5070","3102 ELYSIAN FIELDS AVE","BURGER KING #5888","5049495100","1988-02-10","2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC)","283528","NEW ORLEANS","BROOKS RESTAURANTS INC","LA",,"ELYSIAN FIELDS","3102","AVE",,"70122","3684230.12796","544141.465486"
"POINT (-90.076989294557 29.951922709288)","934","725 JOSEPH ST","WILLIAMSON BROTHERS REALTY","5048912070","2012-09-13","0501 - REAL ESTATE AGENTS AND BROKERS","284594","NEW ORLEANS","WILLIAMSON BROTHERS LLC","LA",,"JOSEPH","725","ST",,"70115","3678691.8167","530187.70942"
"POINT (-90.088143963504 29.923436841086)","5419","3315 MAGAZINE ST","MAGAZINE PAWN SHOP","5048911332","1998-08-01","0801 - PAWNSHOPS","285276","NEW ORLEANS","SEVON INC","LA",,"MAGAZINE","3315","ST",,"70115","3675272.08366","519790.647224"
"POINT (-90.071941135825 29.940024118353)","8802","1160 CAMP ST","THE COURTYARD BREWERY",,"2014-10-20","2802 - BREWERIES","277650","NEW ORLEANS","THE COURTYARD BREWERY LLC","LA",,"CAMP","1160","ST",,"70130","3680338.02453","525878.510717"
