"nearestfu","mdate","neighborhood","segmentid","councildistrict","crewname","reason","lineflushed","gisid","cbmaintid","y","x","worktype","location"
"2500 Madrid Street",,"Milneburg","2520048","D",,,,"402-494-0400",,"30.0212832968","-90.0538455414",,"(30.0212832968, -90.0538455414)"
"2416 Louisa Street",,"Florida Area","2514003","D",,,,"408-480-0292",,"29.9810359679","-90.0383290551",,"(29.9810359679, -90.0383290551)"
"6746 Vicksburg Street",,"Lakeview North","2508013","A",,,,"387-490-0320",,"30.0130687293","-90.1058369737",,"(30.0130687293, -90.1058369737)"
"1238 Broadway Street",,"Audubon","2500863","A",,,,"381-466-9007",,"29.9429205042144","-90.122489735962",,"(29.9429205042144, -90.122489735962)"
"8838 Willow Street",,"Leonidas","2500164","A",,,,"378-470-9005",,"29.953989","-90.13498794",,"(29.953989, -90.13498794)"
,,,"2507148",,,,,"381-494-0031",,"30.0241749945","-90.1207664961",,"(30.0241749945, -90.1207664961)"
"1021 Marigny Street",,"Marigny","2514195","C",,,,"402-474-0457",,"29.9681458306","-90.0554383119",,"(29.9681458306, -90.0554383119)"
"2701 Mexico Street",,"Milneburg","2520035","D",,,,"405-494-0418",,"30.0239877514","-90.0496669946",,"(30.0239877514, -90.0496669946)"
"600 Louisa Street",,"Bywater","2514765","C",,,,"408-472-0470",,"29.962190101","-90.0441202015",,"(29.962190101, -90.0441202015)"
,"2020-04-16T00:00:00.000","Fairgrounds","2511069","D","PWD3718","311Case","30","396-482-0386","37153","29.9885678597","-90.0749962817","Cleaned","(29.9885678597, -90.0749962817)"
"6004 Lafaye Street",,"Milneburg","2520100","D",,,,"405-494-0265",,"30.0206008572","-90.0496057747",,"(30.0206008572, -90.0496057747)"
"3166 Law Street",,"Florida Area","2514008","D",,,,"408-480-0315",,"29.9823752776","-90.0378332862",,"(29.9823752776, -90.0378332862)"
"2344 Mazant Street",,"Florida Area","2515057","D",,,,"411-478-0449",,"29.9786723924","-90.0305041101",,"(29.9786723924, -90.0305041101)"
"1545 Riviera Avenue",,"Filmore South","2508913","D",,,,"396-490-0446",,"30.0090547515","-90.0753161535",,"(30.0090547515, -90.0753161535)"
"7401 West End Boulevard",,"Lakeshore","2507181","D",,,,"384-494-0247",,"30.0229863986","-90.1127756658",,"(30.0229863986, -90.1127756658)"
"1200 Sixth Street","2021-04-21T00:00:00.000","Garden District","2505859","B","PWD3711","311Case",,"393-460-0669","42802","29.9266586244","-90.0847876342","Inspected","(29.9266586244, -90.0847876342)"
"1900 Iberville Street",,"Tulane-Gravier","2511655","B",,,,"396-472-0519",,"29.9611676652","-90.0789367219",,"(29.9611676652, -90.0789367219)"
"5902 Baccich Street",,"Milneburg","2520105","D",,,,"405-494-0221",,"30.019738926","-90.0482865203",,"(30.019738926, -90.0482865203)"
"949 Harrison Avenue",,"Lakeview North","2524002","A",,,,"387-488-0247",,"30.0043870497","-90.1024795145",,"(30.0043870497, -90.1024795145)"
"1327 Sixth Street",,"Garden District","2505858","B",,,,"393-460-0632",,"29.9277281038","-90.0854773461",,"(29.9277281038, -90.0854773461)"
"1941 Independence Street",,"St. Claude","2514678","D",,,,"408-478-0573",,"29.9753839401","-90.035146509",,"(29.9753839401, -90.035146509)"
"937 Piety Street",,"St. Claude","2514635","C",,,,"408-474-0607",,"29.9656393481","-90.0419643",,"(29.9656393481, -90.0419643)"
"4491 Painters Street",,"Gentilly Terrace","2520306","D",,,,"405-488-0339",,"30.004970678","-90.0522777519",,"(30.004970678, -90.0522777519)"
