"the_geom","objectid","ref_id","zip","address","phone","plandis","neighbrhood","f_status","ladder","type","name","company","district","lat","long","council"
"POINT (-90.092706507724 29.981518775061)","22","179349","70119","964 N. CARROLLTON AVE.","658-4635","Planning District 5","CITY PARK","Operational facilities and living quarters",,"ENGINE","35","ENGINE 35","5th District","29.98151336","-90.09270089","A"
"POINT (-90.109116406195 29.984899802232)","31","0","70124","701 Rosedale Dr.","658-4760","Planning District 5","NAVARRE","I.T. and Communications",,,"IT","NOFD Information Technology","5th District","29.98489438","-90.10911078","A"
"POINT (-90.05775500488 29.962159463283)","28","179341","70116","449 ESPLANADE AVE.","947-4735","Planning District 1b","FRENCH QUARTER","Operational facilities and living quarters",,"ENGINE","09","ENGINE 9","3rd District","29.96215405","-90.0577494","C"
"POINT (-90.264767197645 29.988225626929)","32","0","70062","246 MIDDLE  ACCESS RD.",,,"KENNER","International Airport Fire & Emergnecy Services",,"ENGINE","46","ENGINE 46/ MSY Airport",,"29.98822021","-90.26476153",
"POINT (-90.035913087922 30.003432300821)","3","179326","70126","4550 OLD GENTILLY RD.","658-4606","Planning District 7","DESIRE AREA","Operational facilities and living quarters",,"ENGINE","06","ENGINE 6","3rd District","30.00342687","-90.03590748","D"
"POINT (-90.108075331652 29.937760594073)","25","24131","70115","4940 CLARA ST.","658-4638","Planning District 3","FRERET","Operational facilities and living quarters",,"ENGINE","38","ENGINE 38/CAR 506","6th District","29.93775518","-90.10806971","B"
"POINT (-90.065352856383 29.954126066646)","19","179347","70130","317 DECATUR","658-4629","Planning District 1b","FRENCH QUARTER","Operational facilities and living quarters",,"ENGINE","29","SQUIRT 29/MAIN OFFICE","2nd District","29.95412065","-90.06534725","C"
"POINT (-90.071468028348 29.962696153967)","4","179327","70116","1441 ST PETER ST.","658-4607","Planning District 4","TREME - LAFITTE","Operational facilities and living quarters",,"ENGINE","07","ENGINE 7/HAZMAT/RESCUE","2nd District","29.96269074","-90.07146242","C"
"POINT (-90.014174907781 29.965767800956)","27","225684","70117","5600 N CLAIBORNE AVE","658-4639","Planning District 8","LOWER NINTH WARD","Operational facilities and living quarters",,"ENGINE","39","ENGINE 39/ENGINE 32","3rd District","29.96576238","-90.01416931","E"
"POINT (-90.119968293245 29.956757596219)","17","122135","70118","2430 S. CARROLLTON AVE.","894-4141","Planning District 3","LEONIDAS","Operational facilities and living quarters","LADDER","SQUIRT","25","SQUIRT 25/LADDER 7","6th District","29.95675218","-90.11996267","A"
"POINT (-89.948686554083 30.063010079555)","6","224657","70128","14069 MORRISON RD.","658-4610","Planning District 9","LITTLE WOODS","Operational facilities and living quarters",,"ENGINE","10","ENGINE 10","4th District","30.06300464","-89.94868097","E"
"POINT (-90.051744848866 30.016288623721)","7","179328","70122","5600 FRANKLIN AVE.","658-4612","Planning District 6","MILNEBURG","Operational facilities and living quarters",,"ENGINE","12","ENGINE 12","3rd District","30.0162832","-90.05173924","D"
"POINT (-89.968702949555 30.027362277184)","23","179330","70127","5403 READ BLVD.","658-4636","Planning District 9","READ BLVD EAST","Operational facilities and living quarters","LADDER","ENGINE","36","ENGINE 36/CAR 504/LADDER 13","4th District","30.02735684","-89.96869736","E"
