"the_geom","objectid","fullname","onewaydir","roadclass","fullnameab","joinid","segmentid","shape_stlength"
"MULTILINESTRING ((-90.06361041373 29.966025425276, -90.063540303855 29.966101816046, -90.063178306615 29.966506815998, -90.063036387344 29.966665592432, -90.0629863666 29.966721306613))","1521","1400 N Rampart St (Lakeside)","To-From","Major Arterial","N Rampart St","0","2524202","321.07274626076543"
"MULTILINESTRING ((-90.037987694161 30.00122451309, -90.037830272411 30.00129661351))","3599","3300-3900 Almonaster Ave (Lakeside)",,"Major Arterial",,"0","2561194","56.305963575812157"
"MULTILINESTRING ((-90.059802041108 30.004016823429, -90.059827580982 30.004360192954, -90.059839229207 30.00451679433, -90.059850823424 30.004672671471, -90.059877428619 30.005030378601))","2211","4500 Elysian Fields Ave (Riverbound)","To-From","Major Arterial","Elysian Fields Ave","0","2520227","369.36260058284967"
"MULTILINESTRING ((-90.120002294768 29.963852371293, -90.120544120247 29.964076441832, -90.12102544069 29.964275487863, -90.121058476339 29.964277344148))","702","8600 Earhart Blvd (Riverside)","To-From","Major Arterial","Earhart Blvd","0","2512478","369.14071978117352"
"MULTILINESTRING ((-90.082959799395 29.953667011808, -90.083003841731 29.953688766217, -90.083075022935 29.953723926529, -90.083110767129 29.953741581697, -90.083111207826 29.953741799724, -90.083754735738 29.954059663598, -90.083756876379 29.954060721444, -90.083837974579 29.954097856771, -90.083951636707 29.954149903753))","1625","1900 Poydras St (Riverbound)","To-From","Major Arterial","Poydras St","0","2502510","359.87940268296182"
"MULTILINESTRING ((-90.022295428354 29.962618943488, -90.021907399134 29.962528434895, -90.021409751568 29.962412355801))","2412","5000 Saint Claude Ave (Riverside)","From-To","Major Arterial","Saint Claude Ave","0","2515384","290.33858167321398"
"MULTILINESTRING ((-90.057382825416 29.973601801656, -90.057387462153 29.973673888495, -90.057413223578 29.974005492723, -90.057435692388 29.97426525404, -90.0574553845 29.974530251161, -90.057459681671 29.974620139333))","848","1600 Elysian Fields Ave (Riverbound)","To-From","Major Arterial","Elysian Fields Ave","0","2513940","371.14245403211277"
"MULTILINESTRING ((-90.06309675358 29.972912225815, -90.062915052041 29.972924339144, -90.062850841739 29.972928603113, -90.062739814361 29.972935738821, -90.062406348193 29.972954341172, -90.062202447586 29.972967906385, -90.061923870769 29.972968613321))","920","1700 N Claiborne Ave (Riverside)","From-To","Major Arterial","N Claiborne Ave","0","2513083","372.08362750254872"
"MULTILINESTRING ((-89.854861104717 30.154484148721, -89.85490518067 30.15444236141, -89.855510313369 30.153854261643))","3082","Interstate 10","From-To","Freeway","Interstate 10","0","2524662","307.52657454534375"
"MULTILINESTRING ((-90.030117942524 29.99876211765, -90.03021958649 29.999793831014, -90.030225145749 29.999876250203, -90.030243748145 30.000053944607))","3074","3900 Alvar St (Riverbound)",,"Major Arterial","Alvar St","0","2525986","471.4837206087696"
