"the_geom","objectid","businessname","address","suite","zip","phonenumber"
"POINT (-90.049751171858 29.993801843304)","62","LT INVESTMENTS LLC","3400 FRANKLIN AVE",,"70122",
"POINT (-90.056793456953 29.973799538531)","65","MAGNOLIA DISCOUNT","1601 ELYSIAN FIELDS AVE",,"70117","504-250-3914"
"POINT (-90.082387696022 29.96270513383)","56","JNY FOOD & GAS","2201 CANAL ST",,"70119",
"POINT (-90.12124494875 29.972162495142)","3","A AND J FOOD MART","9201 AIRLINE HWY","1ST FLR","70118",
"POINT (-90.007897834289 29.917512281679)","2","4600 DE GAULLE LLC","4600 GENERAL DE GAULLE DR",,"70131","(504)428-4146"
"POINT (-90.072566331904 29.99001377818)","53","GENTILLY SHELL","2035 GENTILLY BLVD",,"70119",
"POINT (-90.076631346373 29.929844517036)","63","MAGAZINE FUEL LLC","2135 MAGAZINE ST",,"70130",
"POINT (-90.070152779133 29.958890691091)","45","FOOD N FUN #24","447 N RAMPART ST",,"70112","504-605-3699"
"POINT (-90.11220394107 29.96310603353)","67","MAGNOLIA DISCOUNT","3415 S CARROLLTON AVE",,"70118",
"POINT (-90.089421236376 29.945059915894)","1","2150 CLAIBORNE SHELL","2150 S CLAIBORNE AVE",,"70125","504-606-3076"
"POINT (-90.090071243521 29.975255460943)","54","IDEAL DISCOUNT MARKET","3340 ORLEANS AVE",,"70119",
"POINT (-90.035956879636 30.00513891837)","50","FUEL ZONE","4500 CHEF MENTEUR HWY",,"70126",
"POINT (-90.082290954478 29.926457491658)","64","MAGAZINE SPUR","2727 MAGAZINE ST",,"70130","504-895-2001"
"POINT (-90.065136844563 29.964470800225)","68","MANNINO'S P & M TEXACO SERVICE","1139 N RAMPART ST",,"70116","504-522-5255"
"POINT (-90.068123343535 29.969331868637)","36","DISCOUNT ZONE","1533 ESPLANADE AVE",,"70116",
"POINT (-90.075060074694 30.020829777674)","60","LAKE TERRACE CROSSING","1600 ALLEN TOUSSAINT BLVD",,"70122","504-565-3722"
"POINT (-90.050629259309 29.96932634313)","46","FRANKLIN AVE SHELL","1100 FRANKLIN AVE",,"70117",
"POINT (-90.024523587109 29.926890924683)","66","MAGNOLIA DISCOUNT","3054 GENERAL DE GAULLE DR",,"70114","504-453-0466"
