"indicatorid","strategyid","organization","name","type","target","seasonality","direction","value","rowid","date","year","quarter","datelabel","total","percent","ytd","quarter_label","action_aggregation"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","31","Percent of City contract value awarded to Disadvantaged Business Enterprises_2011-03-31","2011-03-31T00:00:00.000","2011","1","2011, Q1",,"31",,"Q1","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","24","Percent of City contract value awarded to Disadvantaged Business Enterprises_2011-06-30","2011-06-30T00:00:00.000","2011","2","2011, Q2",,"24",,"Q2","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","15","Percent of City contract value awarded to Disadvantaged Business Enterprises_2011-09-30","2011-09-30T00:00:00.000","2011","3","2011, Q3",,"15",,"Q3","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","32","Percent of City contract value awarded to Disadvantaged Business Enterprises_2011-12-31","2011-12-31T00:00:00.000","2011","4","2011, Q4",,"32",,"Q4","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","39","Percent of City contract value awarded to Disadvantaged Business Enterprises_2012-03-31","2012-03-31T00:00:00.000","2012","1","2012, Q1",,"39",,"Q1","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","36","Percent of City contract value awarded to Disadvantaged Business Enterprises_2012-06-30","2012-06-30T00:00:00.000","2012","2","2012, Q2",,"36",,"Q2","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","35","Percent of City contract value awarded to Disadvantaged Business Enterprises_2012-09-30","2012-09-30T00:00:00.000","2012","3","2012, Q3",,"35",,"Q3","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","31","Percent of City contract value awarded to Disadvantaged Business Enterprises_2012-12-31","2012-12-31T00:00:00.000","2012","4","2012, Q4",,"31",,"Q4","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","26.3","Percent of City contract value awarded to Disadvantaged Business Enterprises_2013-03-31","2013-03-31T00:00:00.000","2013","1","2013, Q1",,"26.3",,"Q1","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","29.3","Percent of City contract value awarded to Disadvantaged Business Enterprises_2013-06-30","2013-06-30T00:00:00.000","2013","2","2013, Q2",,"29.3",,"Q2","Measure"
