"nopd_item","type_","typetext","priority","initialtype","initialtypetext","initialpriority","mapx","mapy","timecreate","timedispatch","timearrive","timeclosed","disposition","dispositiontext","selfinitiated","beat","block_address","zip","policedistrict","location"
"I1379017","21","COMPLAINT OTHER","1H","62","SIMPLE BURGLARY","1E","3732049","562194","2017-09-11T15:35:06.000","2017-09-13T07:49:57.000","2017-09-13T08:05:17.000","2017-09-13T09:32:44.000","RTF","REPORT TO FOLLOW","N","7L03","147XX Chef Menteur Hwy","70129","7","(30.03820564, -89.90725148)"
"I1439917","35D","SIMPLE BATTERY DOMESTIC","1A","35","SIMPLE BATTERY","1D","3699789","554869","2017-09-12T01:25:41.000","2017-09-13T08:38:57.000","2017-09-13T09:01:55.000","2017-09-13T09:02:56.000","GOA","GONE ON ARRIVAL","N","7C04","048XX America St","70126","7","(30.01913036, -90.00946748)"
"I1441417","35","SIMPLE BATTERY","1A","35","SIMPLE BATTERY","1D","3704559","553569","2017-09-12T01:44:51.000","2017-09-13T09:05:00.000",,"2017-09-13T09:36:51.000","GOA","GONE ON ARRIVAL","N","7E01","079XX Tulsa St","70126","7","(30.01540353, -89.99444476)"
"I1457517","56","SIMPLE CRIMINAL DAMAGE","1D","56","SIMPLE CRIMINAL DAMAGE","1D","3702537","556077","2017-09-12T07:17:10.000","2017-09-13T02:48:12.000","2017-09-13T03:02:06.000","2017-09-13T05:36:06.000","GOA","GONE ON ARRIVAL","N","7Q02","055XX Clements Dr","70126","7","(30.02236459, -90.00074023)"
"I1471317","56","SIMPLE CRIMINAL DAMAGE","0A","56","SIMPLE CRIMINAL DAMAGE","1D","3695810","557388","2017-09-12T09:55:56.000","2017-09-13T08:31:15.000","2017-09-13T08:31:23.000","2017-09-13T09:34:43.000","GOA","GONE ON ARRIVAL","N","7D01","060XX Dorothea St","70126","7","(30.02618283, -90.02194931)"
"I1474817","67","THEFT","1A","67","THEFT","1E","3706878","553122","2017-09-12T10:40:53.000",,,"2017-09-13T11:41:59.000","VOI","VOID","N","7F01","085XX Chef Menteur Hwy","70127","7","(30.01410021, -89.98713272)"
"I1476817","67F","THEFT BY FRAUD","1A","67","THEFT","1E","3717340","571250","2017-09-12T11:08:51.000","2017-09-13T03:20:26.000",,"2017-09-13T03:20:30.000","GOA","GONE ON ARRIVAL","N","7K06","077XX Briarwood Dr","70128","7","(30.06360251, -89.95338844)"
"I1480017","103","DISTURBANCE (OTHER)","1A","66","EXTORTION (THREATS)","1F","3702417","561415","2017-09-12T11:43:50.000","2017-09-13T17:11:08.000","2017-09-13T17:23:43.000","2017-09-13T17:31:00.000","GOA","GONE ON ARRIVAL","N","7O06","075XX Malvern Dr","70126","7","(30.03704488, -90.00092185)"
"I1481417","35","SIMPLE BATTERY","1A","35","SIMPLE BATTERY","1D","3709631","564273","2017-09-12T11:56:23.000","2017-09-13T18:30:11.000","2017-09-13T18:37:55.000","2017-09-13T18:41:25.000","GOA","GONE ON ARRIVAL","N","7I13","103XX Heritage Dr","70127","7","(30.0446718, -89.97801751)"
"I1484217","66","EXTORTION (THREATS)","1A","66","EXTORTION (THREATS)","1F","3707007","561086","2017-09-12T12:19:27.000","2017-09-13T18:51:44.000","2017-09-13T18:54:13.000","2017-09-13T18:56:26.000","GOA","GONE ON ARRIVAL","N","7P03","070XX Bundy Rd","70127","7","(30.03599373, -89.98642993)"
