"o_c","casenumber","casesummary","propertyaddress","casetype","department","casehistory","hearingdatetime","videoconferencelink","teleconferenceaccesscode","videoconferencepassword","prevhearing","prevhearingstat","caseestablished","inspected","inspectionresult","councildistrict","geoaddress","city","state","zip","xpos","ypos","longitude","latitude","location"
"Closed","19-07813-VIONO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=256488","442-444 Jackson Ave","Working without CofA - NO","Historic District Landmarks Commission","Initial Hearing","2022-03-30T10:00:00.000",,,,,,"2019-08-01T08:44:18.000","2019-07-30T08:46:00.000","Violation: No WIP","B","444 Jackson Ave","New Orleans","LA","70130","3680305.05","520100.46","-90.07224039928502","29.924131969020607",
"Open","19-10746-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=259421","811 St Peter St","Demolition by Neglect - VCC","Vieux Carré Commission","Initial Hearing","2022-08-10T13:30:00.000",,,,,,"2019-11-04T13:15:58.000","2019-10-24T13:17:00.000","Violation: No WIP","C","811 St Peter St","New Orleans","LA","70116","3682186.14","532741.45","-90.06586107736678","29.958833403959435",
"Closed","20-21660-RENT","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=262280","1921 Mandeville St","Short Term Rental","Safety and Permits","Initial Hearing","2020-11-04T10:00:00.000","https://webexcno.nola.gov/orion/joinmeeting.do?MTID=e395f0629e44f19fc37de1dd2a20e658","992 821 885 ",,,,"2020-09-28T09:05:36.000","2020-09-28T09:15:00.000","Complete","D","1921 Mandeville St","New Orleans","LA","70117","3685558.9","539508.3","-90.05497238789752","29.97733687600222",
"Open","19-11218-BLDGC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=259893","1704-1708 Gentilly Blvd","Building Code","Safety and Permits","Initial Hearing","2021-07-21T09:00:00.000",,,,,,"2019-11-19T14:14:11.000","2019-11-19T14:21:00.000","No Access","D","1704 Gentilly Blvd","New Orleans","LA","70119","3678661.31","541539.73","-90.07668690102929","29.983132396349717",
"Closed","18-05137-DBNNO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=241216","1133 N Villere St","Demolition by Neglect - HDLC NO","Historic District Landmarks Commission","Initial Hearing","2021-08-25T09:30:00.000","https://webexcno.nola.gov/orion/joinmeeting.do?MTID=714bf8f151c5922dbcca44bc65262d86","991 756 764",,,,"2018-06-13T13:57:13.000","2018-06-05T14:00:00.000","Complete","C","1133 N Villere St","New Orleans","LA","70116","3681357.1","535603.62","-90.06837919766495","29.96672858275458",
"Open","19-06713-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=255388","1235-1237 Chartres St","Demolition by Neglect - VCC","Vieux Carré Commission","Reset Hearing","2022-02-24T13:30:00.000",,,,"2021-12-15T13:30:00.000","OSS Reset","2019-06-21T10:58:24.000","2019-06-17T11:00:00.000","Violation: No WIP","C","1237 Chartres St","New Orleans","LA","70116","3684095.45","533938.72","-90.05978995103028","29.962067275080297",
"Closed","21-05041-RENT","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=269345","1500-1502 Desire St","Short Term Rental","Safety and Permits","Initial Hearing","2022-01-13T13:00:00.000","https://nola.webex.com/nola/j.php?MTID=m75a6d59d635c1d7e291680f765502cbb","2489 524 5471",,,,"2021-06-17T08:32:08.000","2021-06-17T08:33:00.000","Complete","D","1500 Desire St","New Orleans","LA","70117","3690523.89","537241.15","-90.03937221985848","29.970949772936077",
"Open","22-00782-RENT","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=274018","12920 Ashland Dr","Short Term Rental","Safety and Permits","Initial Hearing","2022-08-17T11:00:00.000","https://nola.webex.com/nola/j.php?MTID=m7763f2b7bac58b1faf9b12a7773fb233","2496 560 8479
",,,,"2022-02-21T13:24:50.000","2022-02-21T13:26:00.000","Complete","E","12920 Ashland Dr","New Orleans","LA","70128","3717042.84","567363.55","-89.95447820871793","30.0529244430132",
"Closed","19-01482-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=250157","924-926 Royal St","Demolition by Neglect - VCC","Vieux Carré Commission","Reset Hearing","2022-03-09T14:30:00.000","https://nola.webex.com/nola/j.php?MTID=m7e818b38ce6bf1c7b1bfa354bff37ba9","2493 717 7678 ",,"2021-03-24T14:00:00.000","OSS Reset","2019-03-04T10:53:32.000","2019-02-28T10:55:00.000","Violation: No WIP","C","924 Royal St","New Orleans","LA","70116","3683152.86","533201.48","-90.06279231781082","29.960068890562138",
"Closed","18-10464-VIONO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=246543","910-914 Washington Ave","Working without CofA - NO","Historic District Landmarks Commission","Reset Hearing","2021-01-27T09:00:00.000","https://webexcno.nola.gov/orion/joinmeeting.do?MTID=a77ff9f960043d77c3725d60eecb118e","992 890 073",,"2019-05-03T11:30:00.000","OSS Reset","2018-10-12T07:59:44.000","2018-10-10T08:02:00.000","Violation: No WIP","B","914 Washington Ave","New Orleans","LA","70115","3677350.22","520285.64","-90.08156137633388","29.924730243729122",
"Open","22-02940-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=276180","210 Chartres St, 210 Chartres St Apt 2A, 210 Chartres St Apt 2B, 210 C","Demolition by Neglect - VCC","Vieux Carré Commission","Initial Hearing","2022-09-28T10:00:00.000","https://nola.webex.com/nola/j.php?MTID=m56ef2d38716d76be6e646037ef5b3029","2489 512 1841 ",,,,"2022-06-22T08:46:22.000","2022-06-15T00:00:00.000","Violation: No WIP","C","210 Chartres St","New Orleans","LA","70130","3681818.98","530853.44","-90.06708635763106","29.95365317990759",
