"submitted_date","case_no","name","postal_code","nbr_immigrants","begin_date","end_date","job_title","dol_decision_date","certified_begin_date","certified_end_date","job_code","approval_status","wage_rate_1","rate_per_1","max_rate_1","part_time_1","prevailing_wage_1","wage_source_1","yr_source_pub_1","other_wage_source_1","wage_rate_2","rate_per_2","max_rate_2","part_time_2","prevailing_wage_2","wage_source_2","yr_source_pub_2","other_wage_source_2","location_1","location_2","location_3"
"2002-01-16T16:21:00.000","I-02016-0001167","MATERIALS SCIENCE & ENGINEERING DEPARTMENT","84112","1","2002-07-01T00:00:00.000","2005-06-30T00:00:00.000","POST DOCTORAL RESEARCHER","2002-01-16T00:00:00.000","2002-07-01T00:00:00.000","2005-06-30T00:00:00.000","90","Certified","45000","Year",,"N","27227","SESA",,,,,,,,,,,"UNIVERSITY OF UTAH
SALT LAKE CITY, UT 
(40.76546690700047, -111.84990772799966)","122 S CENTRAL CAMPUS DR RM 304
SALT LAKE CITY, UT 
(40.76756488700045, -111.84442561099968)",
"2002-04-02T18:33:00.000","I-02092-0062867","Utah State University",,"1","2002-07-01T00:00:00.000","2005-06-30T00:00:00.000","Research Associate","2002-04-02T00:00:00.000","2002-07-01T00:00:00.000","2005-06-30T00:00:00.000","90","Certified","19","Hour",,"N","19","SESA",,,,,,,,,,,"UMC 4120 Old Main Hill
Logan, UT 
(41.736184412000455, -111.83484810699969)","
Logan, UT 
(41.736184412000455, -111.83484810699969)",
"2002-03-14T17:01:00.000","I-02073-0045533","Caldera Systems, Inc.","84057","2","2002-03-14T00:00:00.000","2005-03-14T00:00:00.000","Software Engineer","2002-03-14T00:00:00.000","2002-03-14T00:00:00.000","2005-03-14T00:00:00.000","30","Certified","75795","Year","106000","N","75795","Other","2002","Online Wage Library",,,,,,,,,"240 West Center Street
Orem, UT 
(40.29717978700046, -111.70152563399967)","
Orem, UT 
(40.298762404000456, -111.69571854799972)",
"2002-07-22T11:55:00.000","I-02203-0181151","Brigham Young University",,"1","2002-08-26T00:00:00.000","2004-05-28T00:00:00.000","Associate Professor of Music","2002-07-22T00:00:00.000","2002-08-26T00:00:00.000","2004-05-28T00:00:00.000","90","Certified","54870","Year",,"N","36320","Other","2001","OES",,,,,,,,,"Office of the General Counsel
Provo, UT 
(40.233703971000466, -111.66849735299968)","A-350 ASB
Provo, UT 
(40.25230905100045, -111.64904338199972)",
"2002-08-08T16:06:00.000","I-02220-0203031","Novell, Inc.","84606","1","2002-08-16T00:00:00.000","2005-08-15T00:00:00.000","BUSINESS ANALYST / MNGMNT CONSLTNT","2002-08-08T00:00:00.000","2002-08-16T00:00:00.000","2005-08-15T00:00:00.000","189","Certified","87526","Year","110000","N","87526","SESA",,,,,,,,,,,"1800 South Novell Place
Provo, UT 
(40.209788656000455, -111.65572195999971)","
Cambridge, MA 
(42.366791640000486, -71.10600946299962)",
"2002-05-29T14:26:00.000","I-02149-0122457","Young Living Essential Oils","84651","1","2002-06-24T00:00:00.000","2005-06-24T00:00:00.000","Japan Sales Representative","2002-05-29T00:00:00.000","2002-06-24T00:00:00.000","2005-06-24T00:00:00.000","163","Certified","12","Hour",,"N","12","SESA",,,,,,,,,,,"250 South Main
Payson, UT 
(40.040497365000476, -111.73231753299967)","
Payson, UT 
(40.04363348400045, -111.73864719799968)",
"2002-05-07T11:47:00.000","I-02127-0098305","EMERGEN, INC","84109","1","2002-05-13T00:00:00.000","2005-05-12T00:00:00.000","SOFTWARE DEVELOPER","2002-05-07T00:00:00.000","2002-05-13T00:00:00.000","2005-05-12T00:00:00.000","30","Certified","65000","Year",,"N","53290","Other","2002","OES",,,,,,,,,"2749 EAST PARLEY'S WAY
SALT LAKE CITY, UT 
(40.71854609900049, -111.81367569799971)","SUITE 200
SALT LAKE CITY, UT 
(40.66726905100046, -111.92357267799969)",
"2002-09-12T19:02:00.000","I-02255-0241891","Westminster College","84105","1","2002-09-12T00:00:00.000","2003-08-31T00:00:00.000","ASSISTANT PROFESSOR","2002-09-12T00:00:00.000","2002-09-12T00:00:00.000","2003-08-31T00:00:00.000","90","Certified","39520","Year",,"N","37100","SESA",,,,,,,,,,,"1840 South 1300 East
Salt Lake City, UT 
(40.72999171400045, -111.8539364239997)","
SALT LAKE CITY, UT 
(40.66726905100046, -111.92357267799969)",
"2002-07-31T11:14:00.000","I-02212-0192965","ARUP Laboratories, Inc.","84108","1","2002-12-01T00:00:00.000","2005-12-01T00:00:00.000","TECHNOLOGIST I","2002-07-31T00:00:00.000","2002-12-01T00:00:00.000","2005-12-01T00:00:00.000","41","Certified","14.55","Hour",,"N","14.2","SESA",,,,,,,,,,,"500 Chipeta Way
Salt Lake City, UT 
(40.7573737780005, -111.8241355889997)","
SALT LAKE CITY, UT 
(40.66726905100046, -111.92357267799969)",
"2002-09-12T11:55:00.000","I-02255-0240781","Park City Education Foundation","84060","1","2002-10-01T00:00:00.000","2005-09-30T00:00:00.000","Marketing and Planning Manager","2002-09-12T00:00:00.000","2002-10-01T00:00:00.000","2005-09-30T00:00:00.000","164","Certified","40000","Year",,"N","26686","Other","2002","OES WAge Data",,,,,,,,,"PO Box 108
Park City, UT 
(40.64314289900045, -111.49396907499971)","
Park City, UT 
(40.64314289900045, -111.49396907499971)",
"2002-05-15T16:54:00.000","I-02135-0108005","Satel, Inc.","84108","1","2002-06-10T00:00:00.000","2005-06-09T00:00:00.000","Training Manager","2002-05-15T00:00:00.000","2002-06-10T00:00:00.000","2005-06-09T00:00:00.000","39","Certified","75000","Year",,"N","63731","Other","2001","OES.SOC",,,,,,,,,"295 Chipeta Way
Salt Lake City, UT 
(40.76233511200047, -111.8275341909997)","
Salt Lake City, UT 
(40.66726905100046, -111.92357267799969)",
"2002-05-03T16:19:00.000","I-02123-0095727","Iomega Corporation","84067","1","2002-09-01T00:00:00.000","2005-08-31T00:00:00.000","Programmer Analyst","2002-05-03T00:00:00.000","2002-09-01T00:00:00.000","2005-08-31T00:00:00.000","30","Certified","64000","Year",,"N","50648","Other","2002","OES Wage Data",,,,,,,,,"1821 Iomega Way
Roy, UT 
(41.18920413900048, -112.0256111549997)","
Roy, UT 
(41.17259179100046, -112.02601726599971)",
"2002-03-27T16:09:00.000","I-02086-0057359","Novell, Inc.","84606","1","2002-03-27T00:00:00.000","2003-06-16T00:00:00.000","DATABASE ADMINISTRATOR","2002-03-27T00:00:00.000","2002-03-27T00:00:00.000","2003-06-16T00:00:00.000","30","Certified","82659","Year","100000","N","82659","SESA",,,,,,,,,,,"1800 South Novell Place
Provo, UT 
(40.209788656000455, -111.65572195999971)","
Arlington, VA 
(38.890513298000485, -77.08628937799966)",
