"company","mailing_address","company_city","phone","license","valid_date","description","location_1"
"GAS SERVICES LLC","5775 US HWY 64","FARMINGTON","505-632-0907","V3220","2015-06-13T00:00:00.000","CLASS 3 HVAC","
, NM 87401
(36.73908729800007, -108.19148977799995)"
"DICK KEARSLEY SERVICE CTR INC.","520 SOUTH STATE","CLEARFIELD","801 773-4836","V2173","2015-02-01T00:00:00.000","CLASS 3 HVAC","
, UT 84015
(41.12252871700008, -112.04219876299999)"
"CHRISTOFFERSEN HEATING","P.O. BOX 392","NO. LOGAN","435-787-1786","V426","2015-05-30T00:00:00.000","CLASS 3 HVAC","
, UT 84341
(41.762209116000065, -111.82021677699998)"
"PREMIER HEATING & COOLING","PO BOX 2682","CEDAR CITY","435 586-3901","V758","2016-01-27T00:00:00.000","CLASS 3 HVAC","
, UT 84720
(37.663739228000054, -113.09704878299999)"
"MANWILL PLUMBING & HEATING","385 EAST 3900 SOUTH","SALT LAKE CITY","801 262-4671","V397","2015-03-05T00:00:00.000","CLASS 3 HVAC","
, UT 84107
(40.661658328000044, -111.88116851399997)"
"RUSS STRONG PLUMBING","2306 SKYLINE MOUNTAIN RESORT","FAIRVIEW","801 754-3802","V1507","2014-10-09T00:00:00.000","CLASS 3 HVAC","
, UT 84629
(39.63792723700004, -111.43638768099999)"
"TERRY'S PLUMBING INC.","4205 S 900 E","SALT LAKE CITY","801-856-9875","V2840","2015-04-15T00:00:00.000","CLASS 3 HVAC","
, UT 84124
(40.68025929700008, -111.82611729399997)"
"BOULEVARD HOME FURNISHINGS","390 NO. MALL DRIVE","ST. GEORGE","435 986-3100","V7101","2015-05-03T00:00:00.000","CLASS 3 HVAC","
, UT 84790
(37.08085674100005, -113.55843622699996)"
"GAUSE HEATING","155 NORTH 200 WEST","SANTAQUIN","801404-7979","V13371","2015-02-17T00:00:00.000","CLASS 3 HVAC","
, UT 84655
(39.98014856100008, -111.79562838999999)"
"CONRAD MILLER MECHANICAL","P O BOX 116","SALINA","435 529-3626","V447","2015-08-08T00:00:00.000","CLASS 3 HVAC","
, UT 84654
(38.95547894900005, -111.85822688499997)"
"TRIPLE T INC","1550 NORTH MAIN","SPANISH FORK","801-798-7711","V666","2014-02-22T00:00:00.000","CLASS 3 HVAC","
, UT 84660
(40.10587998500006, -111.65030968199994)"
"TOLD PLUMBING, LLC","501 SOUTH MAIN","PLEASANT GROVE","801 785-5559","V10211","2015-04-11T00:00:00.000","CLASS 3 HVAC","
, UT 84062
(40.37518777100007, -111.74238903799994)"
"UTAH ENGINEERING AIR COMFORT","145 WEST 2950 SOUTH","SALT LAKE CITY","801 484-4511","V1376","2015-10-31T00:00:00.000","CLASS 3 HVAC","
, UT 84115
(40.715458186000035, -111.88832908299997)"
