"agency_number","agency_name","count_of_current_employees","job_title","job_min_hourly_rate","job_max_hourly_rate"
"16","Leg Auditor General","2","LEGIS AUDIT MGR","38.30","67.64"
"16","Leg Auditor General","1","LEGIS AUDITOR GENERAL","39.32","75.37"
"16","Leg Auditor General","1","LEGIS DEPUTY AUDITOR GENERAL","40.20","67.64"
"16","Leg Auditor General","1","LEGISLATIVE ADMINISTRATIVE ASSISTANT V","19.95","33.50"
"16","Leg Auditor General","1","LEGISLATIVE REPORT REFERENCE/EDITOR/AUDITOR","19.95","43.95"
"16","Leg Auditor General","3","LEGIS LEAD AUDITOR","22.84","43.81"
"16","Leg Auditor General","1","LEGIS  PERF AUDITOR I","18.40","27.64"
"16","Leg Auditor General","4","LEGIS PERF AUDITOR II","17.89","26.87"
"16","Leg Auditor General","4","LEGIS PERF AUDIT SUPV I","25.46","48.83"
"16","Leg Auditor General","4","LEGIS PERF AUDIT SUPV II","26.88","57.87"
"16","Leg Auditor General","3","LEGIS SR PERF AUDITOR I","18.90","32.49"
"16","Leg Auditor General","3","LEGIS SR PERF AUDITOR II","19.95","34.30"
"90","State Auditor","1","ADMINISTRATIVE ASSISTANT, STATE AUDITOR","7.50","40.00"
"90","State Auditor","1","CHIEF ECONOMIST,  STATE AUDITOR  - APPOINTED","38.30","61.90"
"90","State Auditor","4","DIRECTOR, STATE AUDITOR","35.00","62.50"
"90","State Auditor","1","GOVERNMENT RELATIONS ASSISTANT -  APPOINTED","7.50","20.00"
"90","State Auditor","9","JUNIOR STAFF AUDITOR - APPOINTED","15.00","22.00"
"90","State Auditor","1","OFFICE SPECIALIST, APPOINTED - STATE AUDITOR","10.41","20.00"
"90","State Auditor","1","PUBLIC INFORMATION OFFICER II, APPOINTED","26.89","44.00"
"90","State Auditor","1","RESEARCH ANALYST, APPOINTED","16.95","35.27"
"90","State Auditor","2","SENIOR STAFF AUDITOR - APPOINTED","26.00","38.50"
"90","State Auditor","9","STAFF AUDITOR - APPOINTED","20.00","28.50"
"90","State Auditor","14","STAFF AUDIT SUPERVISOR - APPOINTED","30.00","55.00"
"90","State Auditor","1","STATE AUDITOR","0.00","0.00"
"90","State Auditor","1","TECHNICAL WRITER, APPOINTED","20.50","30.80"
