"type","name","po_box","phone","contact","title","location_1"
"State Industrial Banks","WEX Bank",,"801-568-4345","Kirk S. Weiler","President","7090 S UNION PARK CENTER STE 350
MIDVALE, UT 84047
(40.622645140000486, -111.85712478699969)"
"State Credit Unions","P & S Credit Union",,"801-973-0575","Brenda L. VanHoorn","President","2250 S REDWOOD RD
SALT LAKE CITY, UT 84119
(40.72224031400049, -111.9390266749997)"
"State Banks","Cache Valley Bank",,"435-753-3020","J. Gregg Miller","President","99 N MAIN ST
LOGAN, UT 84321-3917
(41.73313138900045, -111.8349767789997)"
"Federal Credit Unions","Grantsville Federal Credit Union","PO BOX 1015","435-884-3804","Anne Goins","President","50 COMMERCIAL AVE
GRANTSVILLE, UT 84029
(40.60044067000047, -112.46546390599968)"
"Holding Companies","BOU Bancorp, Inc.",,"801-409-5163","Menah C. Strong","Treasurer","2605 WASHINGTON BLVD
OGDEN, UT 84401
(41.21829072200046, -111.97056693199971)"
"Federal Credit Unions","Utah Community Federal Credit Union",,"801-223-8188","Jeffrey L. Sermon","President","188 W RIVER PARK DR
PROVO, UT 84604
(40.30314653000045, -111.6595123949997)"
"State Credit Unions","Deseret News Employees Credit Union","PO BOX 26042","801-972-1116","Janette Mack","President","1377 S REDWOOD RD
SALT LAKE CITY, UT 84126-0092
(40.73939614200049, -111.93902665499968)"
"Holding Companies","Southern Utah Bancorporation","PO BOX 340","435-865-2318","John R. Westwood","Secretary","377 N MAIN
CEDAR CITY, UT 84721
(37.68375674600048, -113.0618843909997)"
"State Industrial Banks","The Pitney Bowes Bank, Inc.",,"801-832-4440","Sheldon Woods","President","1245 E BRICKYARD RD STE 250
SALT LAKE CITY, UT 84106-2565
(40.70261810700049, -111.85685515399967)"
"Holding Companies","OptumHealth Financial Services Inc.",,"952-936-7468","Kathy Hopkins",,"12501 WHITEWATER DR
MINNETONKA, MN 55343
(44.896831731000475, -93.44226827499966)"
"State Industrial Banks","Target Bank",,"801-512-8500","Grace Lin","President","299 S MAIN STE 2050
SALT LAKE CITY, UT 84111
(40.76322121700048, -111.89095462999967)"
"Federal Credit Unions","American United Family Federal CU",,"801-583-5015","Phillip T. Patten","President","C/O VA MED CTR 500 FOOTHILL BLVD
SALT LAKE CITY, UT 84148
(40.75829290700045, -111.83855576699972)"
"State Credit Unions","Premier Services Credit Union","PO BOX 3563","801-531-9612","Dennis Murray","President","140 E BROADWAY
SALT LAKE CITY, UT 84110-3563
(40.762753957000484, -111.88709577799972)"
"State Industrial Banks","Transportation Alliance Bank, Inc.",,"801-624-4800","Steven R. Sala","President","4185 HARRISON BLVD STE 200
OGDEN, UT 84403
(41.18710191000048, -111.94904691699969)"
"State Industrial Banks","UBS Bank USA",,"801-741-0310","Lee Carter","President","299 S MAIN STE 2275
SALT LAKE CITY, UT 84111
(40.76322121700048, -111.89095462999967)"
"Federal Credit Unions","Mountain America Federal CU",,"801-325-6228","Sterling W. Nielsen","President","7181 S CAMPUS VIEW DR
WEST JORDAN, UT 84084
(40.62099737700049, -111.98405208699967)"
"Holding Companies","Home Credit Corporation","PO BOX 651480","801-487-0811","Perry Joyner","Accountant","3539 S MAIN ST
SALT LAKE CITY, UT 84165
(40.69426121300046, -111.89108385299971)"
"State Credit Unions","TransWest Credit Union","PO BOX 65218","801-487-1692","Marc Mikkelson","President","39 W 2100 S
SALT LAKE CITY, UT 84165-0218
(40.72541588200045, -111.89236453099971)"
"Holding Companies","Continental Bancorporation",,"801-595-7000","Dennis Higbee","Vice Chairman","15 W S TEMPLE STE 420
SALT LAKE CITY, UT 84101
(40.76925531800049, -111.89160418899968)"
"State Credit Unions","Millard County Credit Union","PO BOX 230","435-743-6545","Steve Shiner","President","44 S 100 W
FILLMORE, UT 84631
(38.967935723000494, -112.3265155959997)"
"State Credit Unions","S E A Credit Union","PO BOX 355","435-201-2085","Brent Nielsen","President","637 S 720 W
RICHFIELD, UT 84701-0355
(38.758798293000496, -112.09737300399968)"
"Federal Savings & Loans","Heritage Bank",,"435-628-0433","Brian D. Chadaz","President","95 E TABERNACLE
ST. GEORGE, UT 84770
(37.10821786800045, -113.58156061499972)"
"State Credit Unions","Utah Power Credit Union",,"801-708-8900","Dennis Hymas","President","957 E 6600 S
MURRAY, UT 84121
(40.63158799900049, -111.86378036799971)"
"State Banks","Lewiston State Bank","PO BOX 32","435-258-2456","Anthony J. Hall","President","17 E CENTER ST
LEWISTON, UT 84320-0032
(41.97594827900048, -111.85564064899967)"
"Federal Credit Unions","Granite Credit Union",,"801-288-3000","Lynn R. Kuhne","President","3675 S 900 E
SALT LAKE CITY, UT 84106-1964
(40.69137068500049, -111.8654742219997)"
"Federal Credit Unions","Utah First Federal Credit Union","PO BOX 2197","801-320-2600","Darin B. Moody","President","200 E S TEMPLE
SALT LAKE CITY, UT 84111
(40.76932250600049, -111.8852477909997)"
"Holding Companies","UBS Americas Inc.",,"201-352-3437","Tambra King","Director & Secretary","1200 HARBOR BLVD 10TH FL
WEEHAWKEN, NJ 7086
(40.75994553300046, -74.02213902099965)"
"Holding Companies","Steel Partners Holdings LP",,"212-520-2342","James F. McCabe Jr.","CFO","590 MADISON AVE 32ND FL
NEW YORK, NY 10022
(40.76222590800046, -73.97244509499967)"
