ADDRESS,DATE,EVENT,EVENT TYPE,COMMENTS,LOCATION TYPE,STATUS,USER,USER MODIFIED,MODIFIED DATE,PLANNING DISTRICT,CIVIC LEAGUE,WARD,SUPER WARD,LATITUDE ,LONGITUDE,LOCATION,US Counties,Civic Leagues,Civic Leagues_uniq_prepend,Civic Leagues_from_ktui_fihj
1000 BLOCK OF E CHESTER STREET                                                                                                                                                                          ,10/14/2016,Hurricane Matthew (10/5/2016)                                                                       ,Debris blocking street                            ,LIMBS ON THE STREET,B,H    ,bboyd     ,,,WILLOW TERRACE                ,Bayview,5,6,36.9395408041075,-76.2435416999554,"(36.9395408041075, -76.2435416999554)",2943,103,103,103
ATLANS STREET & HILLSIDE AVENUE                                                                                                                                                                         ,10/12/2018,Michael (10/11/2018)                                                                                ,Down power line(s)                                ,,I,H    ,dleavel   ,,,OCEANVIEW                     ,,5,6,36.9454935121884,-76.2398750260401,"(36.9454935121884, -76.2398750260401)",2943,103,103,103
HAMPTON BOULEVARD & W LITTLE CREEK ROAD                                                                                                                                                                 ,01/08/2018,unnamed  (1/7/2018)                                                                                 ,Other                                             ,The condition of little creek road and hampton blvd is TERRIBLE....why cant somebody do their nob and get them cleared....you deadbeats are disgusting!!!!!!!.,I,H    ,tdwilli   ,,,NORTH SHORE                   ,,1,6,36.9157179051775,-76.3081330511623,"(36.9157179051775, -76.3081330511623)",2943,52,58,58
CARRIAGE LANE & AZALEA GARDEN ROAD                                                                                                                                                                      ,04/13/2020,Storm Spring 2020 (4/13/2020)                                                                       ,Damaged tree(s)                                   ,,I,H    ,dleavel   ,,,AZALEA                        ,,4,7,36.9003842158492,-76.2137143555995,"(36.9003842158492, -76.2137143555995)",2943,35,40,40
1059 LITTLE BAY AVENUE                                                                                                                                                                                  ,10/30/2012,Sandy (10/28/2012)                                                                                  ,Damaged building                                  ,,A,H    ,sjohnso   ,,,WILLOUGHBY                    ,Willoughby,1,6,36.9656755390238,-76.2809096707896,"(36.9656755390238, -76.2809096707896)",,98,31,31
200 BLOCK OF ORANGE AVENUE                                                                                                                                                                              ,09/19/2011,Irene (8/27/2011)                                                                                   ,Other                                             ,DEBRIS PICK UP ,B,H    ,auwhite   ,auwhite   ,19/09/2011,PAMLICO                       ,Ocean View,1,6,36.9501171761721,-76.2632238312653,"(36.9501171761721, -76.2632238312653)",2943,69,75,75
GRANBY STREET & BEVERLY AVENUE                                                                                                                                                                          ,08/28/2011,Irene (8/27/2011)                                                                                   ,Damaged tree(s)                                   ,DOWN TREES AND POWER LINES,I,H    ,jmccoy    ,istacy    ,27/09/2011,TALBOT PARK                   ,No Civic League,2,6,36.8991238500317,-76.2793002643602,"(36.8991238500317, -76.2793002643602)",2943,,,
CHAPEL STREET & E CHARLOTTE STREET                                                                                                                                                                      ,10/28/2012,Sandy (10/28/2012)                                                                                  ,Flooded street                                    ,,I,H    ,pmcarte   ,,,TIDEWATER - YOUNG PARK        ,Tidewater Gardens,4,7,36.8495263196724,-76.2812308601809,"(36.8495263196724, -76.2812308601809)",2943,91,92,92
2220 DOMINION AVENUE                                                                                                                                                                                    ,10/14/2016,Hurricane Matthew (10/5/2016)                                                                       ,Other                                             ,Limbs,A,H    ,jsumler   ,,,BEL-AIRE                      ,Roosevelt Area,5,6,36.9172264515798,-76.2200033812826,"(36.9172264515798, -76.2200033812826)",2943,80,85,85
3101 ARGONNE AVENUE                                                                                                                                                                                     ,10/11/2016,Hurricane Matthew (10/5/2016)                                                                       ,Down telephone line                               ,,A,H    ,mbudd     ,rdelaha   ,28/10/2016,LAYFAYETTE                    ,Fairmount Park,3,7,36.8749470841924,-76.258221367415,"(36.8749470841924, -76.258221367415)",2943,29,29,29
9635 10TH VIEW STREET                                                                                                                                                                                   ,10/30/2012,Sandy (10/28/2012)                                                                                  ,Damaged building                                  ,,A,H    ,sjohnso   ,,,WILLOUGHBY                    ,Willoughby,1,6,36.9664365032621,-76.2783960970497,"(36.9664365032621, -76.2783960970497)",,98,31,31
ENTERPRISE ROAD & INGLESIDE ROAD                                                                                                                                                                        ,01/08/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,,I,H    ,rdelaha   ,,,INDUSTRIAL PARK               ,Norfolk Industrial Park,3,7,36.8621411433555,-76.2436377343968,"(36.8621411433555, -76.2436377343968)",2943,61,70,70
900 BLOCK OF W OCEAN VIEW AVENUE                                                                                                                                                                        ,01/08/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,,B,H    ,rdelaha   ,,,WILLOUGHBY                    ,Willoughby,1,6,36.9665055891227,-76.2766029197005,"(36.9665055891227, -76.2766029197005)",,98,31,31
2000 BLOCK OF HUNTERS TRAIL                                                                                                                                                                             ,10/29/2012,Sandy (10/28/2012)                                                                                  ,Down power line(s)                                ,,B,H    ,pmarino   ,,,LARRYMORE                     ,Meadowbrook Forest/ Hunt Club/ Meadowbrook Terra,5,6,36.9075733921908,-76.2168679740373,"(36.9075733921908, -76.2168679740373)",2943,54,60,60
HAMPTON BOULEVARD & LEXAN AVENUE                                                                                                                                                                        ,10/28/2012,Sandy (10/28/2012)                                                                                  ,Disabled vehicle                                  ,Multiple vehicles stalled in water,I,H    ,pmcarte   ,pmcarte   ,29/10/2012,EDGEWATER - LARCHMONT         ,Larchmont/ Edgewater,2,6,36.9004497660966,-76.3033646159717,"(36.9004497660966, -76.3033646159717)",2943,49,54,54
LINDENWOOD AVENUE & RUFFIN STREET                                                                                                                                                                       ,01/09/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,,I,H    ,rdelaha   ,,,LINDENWOOD                    ,Lindenwood/ Barraud Park/ Cottage Heights,3,7,36.866611269205,-76.2699362129433,"(36.866611269205, -76.2699362129433)",2943,51,57,57
8012 CARLTON STREET                                                                                                                                                                                     ,10/11/2016,Hurricane Matthew (10/5/2016)                                                                       ,Damaged building                                  ,Tree fell across vehicle at the residence and also damaged siding to the house ,A,H    ,twhiteh   ,,,NORTH CHESAPEAKE BLVD.        ,South Bayview,5,6,36.9177887447981,-76.2376719118173,"(36.9177887447981, -76.2376719118173)",2943,84,89,89
210 E 27TH STREET                                                                                                                                                                                       ,08/28/2011,Irene (8/27/2011)                                                                                   ,Damaged tree(s)                                   ,tree and power lines down on top of car,A,H    ,jmccoy    ,,,PARK PLACE                    ,No Civic League,2,7,36.8713768238621,-76.2814840429752,"(36.8713768238621, -76.2814840429752)",2943,128,128,128
635 37TH STREET                                                                                                                                                                                         ,10/11/2016,Hurricane Matthew (10/5/2016)                                                                       ,Damaged building                                  ,,A,H    ,mstrale   ,,,PARK PLACE                    ,Park Place,2,7,36.8792646517929,-76.292101125189,"(36.8792646517929, -76.292101125189)",2943,72,78,78
5300 BLOCK OF HANYEN DRIVE                                                                                                                                                                              ,09/11/2011,Irene (8/27/2011)                                                                                   ,Other                                             ,PICK UP DEBRIS,B,H    ,auwhite   ,auwhite   ,11/09/2011,RIVER OAKS                    ,River Oaks,4,7,36.8710516608688,-76.2190213114436,"(36.8710516608688, -76.2190213114436)",2943,76,82,82
9400 BLOCK OF ATLANS STREET                                                                                                                                                                             ,10/09/2016,Hurricane Matthew (10/5/2016)                                                                       ,Damaged tree(s)                                   ,,B,H    ,dleavel   ,mnentwi   ,10/10/2016,WILLOW TERRACE                ,Bayview,5,6,36.9431735725905,-76.2424750206876,"(36.9431735725905, -76.2424750206876)",2943,103,103,103
1960 PADDOCK ROAD                                                                                                                                                                                       ,09/06/2016,HERMINE (9/2/2016)                                                                                  ,Other                                             ,,A,H    ,calston   ,,,LARRYMORE                     ,Lake Whitehurst West,5,6,36.9061514188178,-76.2177980288348,"(36.9061514188178, -76.2177980288348)",2943,54,60,60
100 BLOCK OF N NEWTOWN ROAD                                                                                                                                                                             ,01/08/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,,B,H    ,rdelaha   ,,,KEMPSVILLE                    ,No Civic League,4,7,36.8430127459891,-76.1857096137772,"(36.8430127459891, -76.1857096137772)",2951,128,128,128
2100 BLOCK OF HAMPTON BOULEVARD                                                                                                                                                                         ,01/08/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,,B,H    ,tmscott   ,,,NORTH GHENT                   ,,2,6,36.8721357712792,-76.3014132425814,"(36.8721357712792, -76.3014132425814)",2943,,,
