"address","date","_event","event_type","comments","location_type","status","user","user_modified","modified_date","planning_district_number","planning_district","civic_league","ward","super_ward","latitude","longitude","coordinates"
"1000 BLOCK OF E CHESTER STREET                                                                                                                                                                          ","2016-10-14T14:53:45.000","Hurricane Matthew (10/5/2016)                                                                       ","Debris blocking street                            ","LIMBS ON THE STREET","B","H    ","bboyd     ",,,"13    ","WILLOW TERRACE                ","Bayview","5","6","36.9395408041075","-76.2435416999554","(36.9395408041075, -76.2435416999554)"
"ATLANS STREET & HILLSIDE AVENUE                                                                                                                                                                         ","2018-10-12T02:07:44.000","Michael (10/11/2018)                                                                                ","Down power line(s)                                ","","I","H    ","dleavel   ",,,"4     ","OCEANVIEW                     ","","5","6","36.9454935121884","-76.2398750260401","(36.9454935121884, -76.2398750260401)"
"HAMPTON BOULEVARD & W LITTLE CREEK ROAD                                                                                                                                                                 ","2018-01-08T10:42:51.000","unnamed  (1/7/2018)                                                                                 ","Other                                             ","The condition of little creek road and hampton blvd is TERRIBLE....why cant somebody do their nob and get them cleared....you deadbeats are disgusting!!!!!!!.","I","H    ","tdwilli   ",,,"30    ","NORTH SHORE                   ","","1","6","36.9157179051775","-76.3081330511623","(36.9157179051775, -76.3081330511623)"
"CARRIAGE LANE & AZALEA GARDEN ROAD                                                                                                                                                                      ","2020-04-13T10:48:01.000","Storm Spring 2020 (4/13/2020)                                                                       ","Damaged tree(s)                                   ","","I","H    ","dleavel   ",,,"22    ","AZALEA                        ","","4","7","36.9003842158492","-76.2137143555995","(36.9003842158492, -76.2137143555995)"
"1059 LITTLE BAY AVENUE                                                                                                                                                                                  ","2012-10-30T16:13:10.000","Sandy (10/28/2012)                                                                                  ","Damaged building                                  ","","A","H    ","sjohnso   ",,,"1     ","WILLOUGHBY                    ","Willoughby","1","6","36.9656755390238","-76.2809096707896","(36.9656755390238, -76.2809096707896)"
"200 BLOCK OF ORANGE AVENUE                                                                                                                                                                              ","2011-09-19T13:46:28.000","Irene (8/27/2011)                                                                                   ","Other                                             ","DEBRIS PICK UP ","B","H    ","auwhite   ","auwhite   ","2011-09-19T13:46:45.000","8     ","PAMLICO                       ","Ocean View","1","6","36.9501171761721","-76.2632238312653","(36.9501171761721, -76.2632238312653)"
"GRANBY STREET & BEVERLY AVENUE                                                                                                                                                                          ","2011-08-28T09:36:27.000","Irene (8/27/2011)                                                                                   ","Damaged tree(s)                                   ","DOWN TREES AND POWER LINES","I","H    ","jmccoy    ","istacy    ","2011-09-27T14:39:42.000","36    ","TALBOT PARK                   ","No Civic League","2","6","36.8991238500317","-76.2793002643602","(36.8991238500317, -76.2793002643602)"
"CHAPEL STREET & E CHARLOTTE STREET                                                                                                                                                                      ","2012-10-28T11:20:21.000","Sandy (10/28/2012)                                                                                  ","Flooded street                                    ","","I","H    ","pmcarte   ",,,"65    ","TIDEWATER - YOUNG PARK        ","Tidewater Gardens","4","7","36.8495263196724","-76.2812308601809","(36.8495263196724, -76.2812308601809)"
"2220 DOMINION AVENUE                                                                                                                                                                                    ","2016-10-14T14:31:05.000","Hurricane Matthew (10/5/2016)                                                                       ","Other                                             ","Limbs","A","H    ","jsumler   ",,,"17    ","BEL-AIRE                      ","Roosevelt Area","5","6","36.9172264515798","-76.2200033812826","(36.9172264515798, -76.2200033812826)"
"3101 ARGONNE AVENUE                                                                                                                                                                                     ","2016-10-11T07:43:26.000","Hurricane Matthew (10/5/2016)                                                                       ","Down telephone line                               ","","A","H    ","mbudd     ","rdelaha   ","2016-10-28T12:05:42.000","51    ","LAYFAYETTE                    ","Fairmount Park","3","7","36.8749470841924","-76.258221367415","(36.8749470841924, -76.258221367415)"
