"area_type","area_name","year","time_period","ownership","naics_code_level","naics_code","industry_name","establishments","avg_employment","_1st_month_emp","_2nd_month_emp","_3rd_month_emp","total_wages_all_workers","avg_weekly_wages"
"California - Statewide","California","2020","Annual","Private","6","333994","Industrial Process Furnaces and Ovens","36","591","0","0","0","41678838","1355"
"California - Statewide","California","2020","Annual","Private","5","81211","Hair, Nail, and Skin Care Services","13968","42485","0","0","0","984241995","446"
"California - Statewide","California","2020","Annual","Private","6","333413","Air purification, fan and blower equip. mfg.","60","1200","0","0","0","68186296","1093"
"California - Statewide","California","2020","Annual","Private","6","813940","Political Organizations","163","753","0","0","0","58789589","1502"
"California - Statewide","California","2020","Annual","Private","4","3363","Motor Vehicle Parts Manufacturing","533","11446","0","0","0","935368758","1572"
"California - Statewide","California","2020","Annual","Private","6","812930","Parking Lots and Garages","1884","17016","0","0","0","586147456","662"
"California - Statewide","California","2020","Annual","Private","5","42511","Business to Business Electronic Markets","479","3741","0","0","0","400536746","2059"
"California - Statewide","California","2020","Annual","Private","5","42495","Paint & Supplies Merchant Wholesalers","351","2828","0","0","0","177789145","1209"
"California - Statewide","California","2020","Annual","Private","5","33712","Other Household/Institutional Furniture","539","8170","0","0","0","389879437","918"
"California - Statewide","California","2020","Annual","Private","6","333243","Sawmill, woodworking, and paper machinery mfg","23","327","0","0","0","23869159","1402"
"California - Statewide","California","2020","Annual","Private","6","333612","Speed Changer, Drive, and Gear Mfg","21","444","0","0","0","47671230","2064"
"California - Statewide","California","2020","Annual","Private","5","42413","Industrial Paper Merchant Wholesalers","525","6922","0","0","0","514050750","1428"
"California - Statewide","California","2020","Annual","Private","6","333991","Power-Driven Handtool Manufacturing","31","269","0","0","0","16020409","1145"
"California - Statewide","California","2020","Annual","Private","5","81311","Religious Organizations","3071","24651","0","0","0","842096150","657"
"California - Statewide","California","2020","Annual","Private","5","42349","Other Professional Goods Merchant Whsle","408","4427","0","0","0","449065808","1951"
"California - Statewide","California","2020","Annual","Private","5","42352","Coal/Other Mineral Merchant Wholesalers","30","88","0","0","0","12059425","2643"
"California - Statewide","California","2020","Annual","Private","6","336340","Motor Vehicle Brake System Manufacturing","16","506","0","0","0","29397398","1117"
"California - Statewide","California","2020","Annual","Private","5","42444","Poultry Product Merchant Wholesalers","83","1650","0","0","0","96320269","1122"
"California - Statewide","California","2020","Annual","Private","5","42421","Druggists' Goods Merchant Wholesalers","2510","31280","0","0","0","4279961508","2631"
"California - Statewide","California","2020","Annual","Private","4","3362","Motor Vehicle Body and Trailer Mfg","206","6445","0","0","0","363570668","1085"
"California - Statewide","California","2020","Annual","Private","5","42461","Plastics Material Merchant Wholesalers","362","3823","0","0","0","320126070","1610"
"California - Statewide","California","2020","Annual","Private","6","333924","Industrial Truck, Trailers, and Stackers","38","704","0","0","0","37671725","1029"
"California - Statewide","California","2020","Annual","Private","6","423930","Recyclable Material Merchant Wholesalers","693","8502","0","0","0","527086139","1192"
