"area_type","area_name","period","soc_level","standard_occupational_classification","occupational_title","base_year_employment_estimate","projected_year_employment_estimate","numeric_change","percentage_change","exits","transfers","median_hourly_wage","total_job_openings","median_annual_wage","entry_level_education","work_experience","job_training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","1","00-0000","Total, All Occupations","88400","96300","7900","8.9","42150","69910","17.27","119960","35926","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","11-0000","Management Occupations","6700","7150","450","6.7","2750","3440","50.15","6640","104328","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","11-1000","Top Executives","880","940","60","6.8","200","570","0.00","830","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-1011","Chief Executives","140","130","-10","-7.1","40","60","0.00","90","0","Bachelor's degree","≥5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-1021","General and Operations Managers","720","780","60","8.3","160","500","40.01","720","83222","Bachelor's degree","≥5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","11-2000","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","370","390","20","5.4","80","250","0.00","350","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-2022","Sales Managers","260","270","10","3.8","50","180","61.94","240","128834","Bachelor's degree","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","11-3000","Operations Specialties Managers","940","1010","70","7.4","220","560","0.00","850","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-3011","Administrative Services Managers","160","170","10","6.3","40","90","0.00","140","0","Bachelor's degree","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-3031","Financial Managers","250","280","30","12.0","60","150","58.02","240","120689","Bachelor's degree","≥5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-3051","Industrial Production Managers","110","110","0","0.0","20","60","57.02","80","118581","Bachelor's degree","≥5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-3121","Human Resources Managers","90","100","10","11.1","20","60","65.34","90","135910","Bachelor's degree","≥5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","11-9000","Other Management Occupations","4510","4820","310","6.9","2250","2060","0.00","4620","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-9013","Farmers, Ranchers, and Other Agricultural Managers","2770","2920","150","5.4","1770","1060","31.20","2980","64896","High school diploma or equivalent","≥5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-9021","Construction Managers","160","170","10","6.3","30","80","27.57","120","57361","Bachelor's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-9032","Education Administrators, Elementary and Secondary School","180","200","20","11.1","50","100","0.00","170","125515","Master's degree","≥5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-9051","Food Service Managers","210","240","30","14.3","70","190","21.27","290","44238","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-9111","Medical and Health Services Managers","110","150","40","36.4","30","70","56.12","140","116728","Bachelor's degree","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-9141","Property, Real Estate, and Community Association Managers","110","110","0","0.0","40","40","38.00","80","79037","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-9151","Social and Community Service Managers","90","100","10","11.1","30","60","38.24","100","79546","Bachelor's degree","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","11-9199","Managers, All Other","680","750","70","10.3","180","360","0.00","610","0","Bachelor's degree","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","13-0000","Business and Financial Operations Occupations","3380","3660","280","8.3","960","2370","34.05","3610","70811","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","13-1000","Business Operations Specialists","2200","2360","160","7.3","640","1590","0.00","2390","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-1020","Buyers and Purchasing Agents","230","220","-10","-4.3","70","160","28.31","220","58889","Bachelor's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-1031","Claims Adjusters, Examiners, and Investigators","40","40","0","0.0","10","30","35.96","40","74802","High school diploma or equivalent","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-1041","Compliance Officers","90","110","20","22.2","30","60","30.67","110","63786","Bachelor's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-1051","Cost Estimators","100","110","10","10.0","30","70","26.10","110","54307","Bachelor's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-1071","Human Resources Specialists","200","200","0","0.0","50","150","33.15","200","68948","Bachelor's degree","None","None"
