"area_type","area_name","year","month","date","series_code","industry_title","seasonally_adjusted","current_employment"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","0","Total Nonfarm","N","2930"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","1000000","Total Wage and Salary","N","2980"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","5000000","Total Private","N","1650"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","6000000","Goods Producing","N","310"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","7000000","Service Providing","N","2620"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","8999999","Private Service Providing - Residual","N","250"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","11000000","Total Farm","N","50"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","15000000","Natural Resources, Mining and Constructi","N","120"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","30000000","Manufacturing","N","200"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","40000000","Trade, Transportation and Utilities","N","410"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","55000000","Financial Activities","N","50"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","65000000","Educational and Health Services","N","230"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","70000000","Leisure and Hospitality","N","400"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","90000000","Government","N","1280"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","90910000","Federal Government","N","230"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","90920000","State Government","N","100"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","90930000","Local Government","N","950"
"County","Trinity County","2022","July","2022-07-01T00:00:00.000","90940000","State and Local Government","N","1050"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","0","Total Nonfarm","N","3000"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","1000000","Total Wage and Salary","N","3040"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","5000000","Total Private","N","1610"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","6000000","Goods Producing","N","310"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","7000000","Service Providing","N","2690"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","8999999","Private Service Providing - Residual","N","250"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","11000000","Total Farm","N","40"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","15000000","Natural Resources, Mining and Constructi","N","120"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","30000000","Manufacturing","N","200"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","40000000","Trade, Transportation and Utilities","N","400"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","55000000","Financial Activities","N","50"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","65000000","Educational and Health Services","N","230"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","70000000","Leisure and Hospitality","N","370"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","90000000","Government","N","1390"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","90910000","Federal Government","N","220"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","90920000","State Government","N","110"
"County","Trinity County","2022","June","2022-06-01T00:00:00.000","90930000","Local Government","N","1060"
