"the_geom","tax_year","roll_num","address","year_built","assessclas","bldg_desc","bldg_metre","bldg_feet","garage","fireplace","basement","bsmtdevl","assessment","latitude","longitude"
"POINT (-113.03326347829845 53.49992169458506)","2017","2121512004","49 52318 RNG RD 213","1994","Residential","Split Entry","131","1411","Y","N","Y","Y","490000","53.4992454841","-113.0340134704"
"POINT (-113.32672192320808 53.530326360545054)","2017","7109107008","1123 PARKER DR","1978","Residential","Split Level","106","1142","Y","Y","Y","N","353000","53.5301813008","-113.3265838146"
"POINT (-113.27042446412301 53.545293270682464)","2017","8057011005","112 CHELSEA WY","2003","Residential","1 Storey & Basement","170","1833","Y","Y","Y","Y","579000","53.5454192025","-113.2700683549"
"POINT (-113.14058982724183 53.527187734266874)","2017","2235709009","85 52521 RNG RD 222","1979","Residential","Split Level","120","1291","Y","Y","Y","N","537000","53.5265357621","-113.1415671178"
"POINT (-113.27633597101371 53.5500367276547)","2017","8110057007","57 CARLYLE CR","2005","Residential","2 Storey & Basement","162","1747","Y","N","Y","N","433000","53.5501502733","-113.2765466347"
"POINT (-113.18901365644435 53.45147683250718)","2017","1233310000","86 51561 RNG RD 224","1978","Residential","Split Entry","128","1375","Y","Y","Y","Y","518000","53.4522245197","-113.1884562709"
"POINT (-113.26764073859069 53.52848678676252)","2017","7279003005","6 CALICO DR","1991","Residential","Split Entry","129","1392","Y","Y","Y","Y","430000","53.5286276663","-113.2678602635"
"POINT (-113.05559067106853 53.67573143986644)","2017","4120500006","54318 RNG RD 214",,"Farmland",,"62","672","N","N","N","N","254850","53.678092593","-113.0516704246"
"POINT (-113.25535396175577 53.55501574218538)","2017","8024054006","65 SUNFLOWER CR","2003","Residential","Split Entry","104","1118","Y","N","Y","Y","400000","53.5548420006","-113.2552898979"
"POINT (-113.32223105081559 53.53138953349034)","2017","7520126009","525 WOODBRIDGE WY","1980","Residential Condominium","2 Storey & Basement","142","1533","N","Y","Y","Y","265000","53.5320005115","-113.3233104121"
"POINT (-113.24833946602963 53.552319932503124)","2017","8020109003","85 CROCUS CR","2002","Residential","2 Storey & Basement","151","1620","Y","Y","Y","Y","393000","53.5523812167","-113.2480309192"
"POINT (-113.27263509612192 53.549392191219695)","2017","8108017003","49 CONNOR LN","2004","Residential","2 Storey & Basement","158","1703","Y","Y","Y","N","432000","53.5494444884","-113.2729102455"
"POINT (-113.27409636048209 53.55003794634578)","2017","8109030006","445 CRANBERRY WY","2004","Residential","2 Storey & Basement","144","1546","Y","Y","Y","Y","374000","53.5500751043","-113.2743715546"
"POINT (-112.91403685502407 53.40852590158708)","2017","1017113000","167 51268 RNG RD 204","1978","Residential","1 1/2 Storey Basementless","127","1368","N","N","N","N","195000","53.4088165101","-112.9143920389"
"POINT (-113.04277585398513 53.377912389508815)","2017","1104333008","170 51049 RNG RD 214","1983","Residential","Split Entry","139","1495","Y","Y","Y","Y","460000","53.377189228","-113.0420944274"
"POINT (-113.25792315427037 53.52159088621449)","2017","7384142007","14 FOXBORO GROVE","2003","Residential","2 Storey & Basement","169","1814","Y","Y","Y","Y","437000","53.5216428376","-113.2581944737"
"POINT (-112.94130426676244 53.47309299698831)","2017","2007715002","97 52131 RNG RD 210","1976","Residential","1 Storey & Basement","141","1513","Y","Y","Y","Y","442000","53.4739227815","-112.9420490779"
"POINT (-113.09613508447278 53.44472062853112)","2017","1131724005","218 51519 RNG RD 220","2000","Residential","2 Storey & Basement","213","2289","Y","Y","Y","Y","645000","53.4453354044","-113.0966393342"
"POINT (-113.30243151136236 53.529255010406125)","2017","7520522009","47, 2131 OAK ST","1983","Residential Condominium","2 Storey & Basement","109","1170","N","N","Y","Y","232000","53.5301184283","-113.3033310255"
"POINT (-112.8863081199588 53.36801816645805)","2017","1004505002","20334 TWP RD 510","2000","Residential","2 Storey & Basement","241","2593","Y","Y","Y","Y","685000","53.3689853577","-112.8891273921"
"POINT (-113.06349992641667 53.37485982146701)","2017","1105312001","97 51049 RNG RD 215","2006","Residential","1 Storey & Basement","159","1715","Y","Y","Y","Y","702000","53.3755558863","-113.0649776568"
"POINT (-113.10020202799608 53.613658567303005)","2017","3225101009","53480 RNG RD 220","2004","Residential","1 Storey & Basement","140","1510","Y","Y","Y","Y","583000","53.6141698601","-113.1015576626"
"POINT (-113.00596445461248 53.385264799484126)","2017","1110517008","374 51110 RNG RD 212","2001","Residential","2 Storey & Basement","136","1459","Y","Y","Y","Y","505000","53.3854013113","-113.0070075529"
