"contactid","topic","phone_number","organization","department","website","email","address","searchterms","_24hour","emergency"
"1","Access/Approaches - Applications and Inspection ","780-417-7100","Strathcona County","Transportation and Agriculture Services","/files/files/at-lls-forms-tas13093-propertyaccessapproach-application.pdf",,,"TAS","No","No"
"2","Access/Approaches - Roadway ","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"3","Access/Approaches - Roadway Inspections","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"4","Accidental Sewage Spillage","1-800-222-6514","Government of Alberta","Alberta Environment",,,,,,
"5","Accounts Payable","780-464-8150","Strathcona County","Financial Services","/departments/financial-services/",,,"FIN",,
"6","Accounts Receivable","780-464-8121","Strathcona County","Financial Services","/departments/financial-services/",,,"FIN",,
"7","Addiction Helpline","1-866-332-2322","Government of Alberta","Alberta Health Services","www.albertahealthservices.ca/info/facility.aspx?id=1011654&service=1008399",,,,,
"8","Address - Maps","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"9","Address - New Homes/Building","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS","No","No"
"10","Adopt-a-Park","780-467-2211","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/parks-trails-sports-venues/volunteer-in-parks-vip-program/",,,"RPC",,
"11","Adoption Info and Forms","780-467-5195","Government of Alberta","Human Services",,,,,,
"12","Adult Literacy Program","780-464-4044","Strathcona County","Family and Community Services","/departments/family-and-community-services/",,,"FCS",,
"13","Advertising on Coke Board at Ordze Road","780-464-0801","Chamber of Commerce",,,,,,,
"934","Aerating (except SAP, SAL, MP)","780.464.8493","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"14","Aerating - Recreation Areas","780-464-8493","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"15","Aerial Photos","780-464-8080","Strathcona County","Planning and Development Services","/departments/economic-development-and-tourism/statistics-demographics-resources/aerial-photos/",,,"PDS",,
"16","Agriculturist","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"24","Aircraft Hangar - Developing","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"25","Aircraft Hangar - Leasing","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"27","Airport - Josephburg (Warren Thomas Aerodrome)","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,"Edmonton/Josephburg Aerodrome, is located 0.7 nautical miles north of Josephburg in Strathcona County, Alberta, Canada","TAS",,
"18","Air Quality - County Hall","780-464-8420","Strathcona County","Human Resources - Occupational Health and Safety ","/departments/human-resources/occupational-health-and-safety-handbooks/",,,"HR, OHS",,
"20","Air Quality - Meat Packing Plants/Pig Farms, etc.","780-342-4600","Alberta Health Services","Capital Health Centre",,,,,,
"22","Air Quality - Pollution","780-944-0313","Government of Alberta","Alberta Environment",,,,,,
"23","Air Quality - Pollution ","1-800-222-6514","Government of Alberta","Alberta Environmental",,,,,"Yes","Yes"
"29","Alarm Permit","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/alarm-permit/",,,"RCMP",,
"31","Alberta Farm Assistance Program","310-4455","Government of Alberta","Alberta Agriculture","www.agric.gov.ab.ca",,,,,
"32","Alberta Farm/Water ","310-0000","Government of Alberta",,,,,,,
"33","Alberta Goverment Call Centre","310-0000","Government of Alberta",,,,,,,
"34","Alberta Health","780-427-1432","Government of Alberta","Alberta Health Services","www.health.alberta.ca/",,"Alberta HealthÿAttention:ÿP.O. Box 1360, Station MainEdmonton, ABÿ T5J 2N3",,,
"35","Alberta Health","310-0000","Government of Alberta","Alberta Health Services",,,,,,
"37","Alberta Industrial Heartland Association","780-998-7453","Alberta Industrial Heartland Association",,,,"300, 9940 - 99 Ave. Ft. Sask. T8L 4G8",,,
"38","Alberta Social Services - Child/Family Services ","780-467-5195","Alberta Social Services",,,,"121 Crimson Drive, Trinity School Centre - 2nd Floor",,,
"39","Alberta Transportation - Highway","780-963-5711","Government of Alberta","Alberta Transportation",,,,,,
"42","Ambulance - Billings","780-464-8121","Strathcona County","Accounts Receivable",,,,"FIN",,
"43","Ambulance - Lost Items","780-467-5216","Strathcona County","Emergency Services","/departments/emergency-services/",,,"EMS",,
"51","Animal Control - Beaver","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/animals-and-wildlife/pests/",,,"TAS",,
"53","Animal Control - Dogs","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/dog-ownership/",,,"RCMP",,
"54","Animal Control - Pests","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"45","Animal - Dead on Road","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"46","Animal - Dogs (Number Allowed on Property)","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/",,,"RCMP",,
"47","Animal - Injured","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"48","Animal - Kennel","780-464-8081","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"49","Animal - Over Limit Permit","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"55","Animal Protection","780-490-7291","Northern Alberta Society for Animal Protection (NASAP)",,,,,,,
"56","Animal Rescue Charity - Cats and Dogs","780-490-7291","Northern Alberta Society for Animal Protection (NASAP)",,"www.nasap.ca",,,,,
"57","Animal Rescue Charity - Cats and Dogs","780-466-7227","SCARS (Second Chance Animal Rescue Society)",,,,,,,
"50","Animal - Rural Pet Keeping License","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"935","Animals - dead on pathway, in greenspace","780.464.8495","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"936","Animals - dead on road","780.417.7100","Strathcona County","Transportation and Agriculture Services",,,,"TAS",,
"937","Animals - live (gophers, beavers)","780.417.7100","Strathcona County","Transportation and Agriculture Services",,,,"TAS",,
"59","Anti-Graffiti Wraps","780-464-8176","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"938","Ants","780.464.8493","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"939","Arbor Day","780.400.2028","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC","No","No"
"60","Archive Information","780-467-8189","Strathcona County","Museum","/departments/recreation-parks-and-culture/",,,"RPC","No","No"
"61","Ardrossan Senior Centre","780-464-4242","Information and Volunteer Centre",,,,,,,
"62","Ardrossan Water Tower - Billing","780-464-8273","Strathcona County","Utilities","/departments/utilities/",,,,,
"63","Ardrossan Water Tower - Site & Truckfill Operation","780-467-7785","Strathcona County","Utilities","/departments/utilities/",,,,,
"64","Area Structure Plan","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"65","Arena - Sherwood Park","780-467-2202","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,"2015 Oak Street","RPC",,
"66","Art Collection for County","780-449-1139","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC","No","No"
"68","Arterial Roads - Preservation/Rehabilitation","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS","No","No"
"67","Art Gallery @501","780-410-8585","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"69","Arts Society of Strathcona County","780-449-4443","Arts Society of Strathcona County",,,,,,,
"70","ASPCA - Animal Abuse or Cruelty","780-447-3600","Alberta Society Prevention of Cruelty to Animals",,,,"10806 - 124 Street",,,
"71","Assembly Permit","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/",,,"RCMP",,
