"permitnum","originaladdress1","description","permitclassmapped","workclass","workclassmapped","currentstatus","currentstatusmapped","statusdate","applieddate","issueddate","completeddate","applicant","zoning","ward","totalsqft","estprojectcost","housingunits","parcelarea","permittype","permittypemapped","permittypedesc","originaladdress2","city","province","postalcode","jurisdiction","pin","permitobjectid","addressobjectid","parcelobjectid","permityear","permitmonth","latitude","longitude","count","permityearlabel","permitmonthlabel","lot","block","plan","quarter","section","township","range","meridian","servicearea"
"2022-0851-B","175 52550 RNG RD 222","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","3083","In Progress - Inspection","2022-09-07T00:00:00.000","2022-09-01T00:00:00.000","2022-09-07T00:00:00.000",,"Newground Developments","RCL","5","4866","800000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2234131106","10682658","253072","1513219","2022-01-01T00:00:00.000","2022-08-01T00:00:00.000","53.53534636","-113.1588107","1","2022","8","1A","5","0227017","NE","34","52","22","4","Rural"
"2022-0809-B","125 EDGAR LN","8 Unit Rowhouse,  111, 113, 115, 117, 119, 121, 123, 125, Building 1","RESIDENTIAL","111706","NEW CONSTRUCTION","21508","Plans Examination Completed","2022-08-26T00:00:00.000","2022-08-18T00:00:00.000","2022-08-26T00:00:00.000",,"Amrit Design Drafting Services","UV2 ""Area VII""","4","17019","3000000","8",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","8155010009","10658058","251071","3975326","2022-01-01T00:00:00.000","2022-08-01T00:00:00.000","53.56623764","-113.27453426","1","2022","8","10","155","0740040","NE","11","53","23","4","Sherwood Park"
"2022-0795-B","52057 RNG RD 224","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","3083","In Progress - Inspection","2022-09-02T00:00:00.000","2022-08-12T00:00:00.000","2022-09-02T00:00:00.000",,"Westergaard, Kyle & Kelsey","RA","7","4577","500000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2204320305","10650194","252623","10136670","2022-01-01T00:00:00.000","2022-07-01T00:00:00.000","53.46378285","-113.19584865","1","2022","7","3","2","2121665","NW","4","52","22","4","Rural"
"2022-0791-B","25 VILLAGE RD","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","3083","In Progress - Inspection","2022-09-07T00:00:00.000","2022-08-12T00:00:00.000","2022-09-07T00:00:00.000",,"Carriage Signature Homes Inc.","R1A","1","6479","1661244","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","7038025008","10648947","11993","15914","2022-01-01T00:00:00.000","2022-07-01T00:00:00.000","53.52786908","-113.31710006","1","2022","7","25","38","1501RS","SW","34","52","23","4","Sherwood Park"
"2022-0774-B","117 CRESTHAVEN GROVE","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","3083","In Progress - Inspection","2022-08-25T00:00:00.000","2022-08-08T00:00:00.000","2022-08-25T00:00:00.000",,"CALIBER MASTER BUILDER","R1A","5","2657","490000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","3211723103","10640721","193661","7160938","2022-01-01T00:00:00.000","2022-07-01T00:00:00.000","53.55498538","-113.13776661","1","2022","7","31","2","1520861","NW","2","53","22","4","Rural"
"2022-0760-B","25 SEDUM WY","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","3083","In Progress - Inspection","2022-08-18T00:00:00.000","2022-08-05T00:00:00.000","2022-08-18T00:00:00.000",,"Pacesetter Homes","R1C","4","2214","467000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","8153019010","10637152","253036","10339789","2022-01-01T00:00:00.000","2022-07-01T00:00:00.000","53.56595856","-113.24997872","1","2022","7","19","153","2122842",,,,,,"Sherwood Park"
"2022-0753-B","198 RANCHER RD","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","3083","In Progress - Inspection","2022-08-25T00:00:00.000","2022-08-03T00:00:00.000","2022-08-25T00:00:00.000",,"Pacesetter Homes","ALD","5","4025","725000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","3211764702","10633283","253883","10412429","2022-01-01T00:00:00.000","2022-07-01T00:00:00.000","53.55026465","-113.13513247","1","2022","7","47","6","2220391","NE","2","53","22","4","Rural"
"2022-0747-B","521 52327 RNG RD 233","New Single Detached Dwelling - 4933 sqft 2-storey house with 4 car garage, walkout basement, basement development, and decks.","RESIDENTIAL","111706","NEW CONSTRUCTION","3083","In Progress - Inspection","2022-09-09T00:00:00.000","2022-07-29T00:00:00.000","2022-09-09T00:00:00.000",,"Sandhu, Jaswant","RE","6",,"1200000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2322745304","10630283","252914","10290525","2022-01-01T00:00:00.000","2022-07-01T00:00:00.000","53.49872945","-113.3104546","1","2022","7","53","4","2122518","SW","22","52","23","4","Rural"
"2022-0746-B","134 HORTON WY","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","3083","In Progress - Inspection","2022-09-06T00:00:00.000","2022-07-29T00:00:00.000","2022-09-06T00:00:00.000",,"Coventry Homes","R2A","5","4175","351944","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","3211763503","10630024","253067","10341217","2022-01-01T00:00:00.000","2022-07-01T00:00:00.000","53.55115897","-113.13590698","1","2022","7","35","6","2122874","NW","2","53","22","4","Rural"
"2022-0740-B","20335A TWP RD 544","New Single Detached Dwelling - Second dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","3083","In Progress - Inspection","2022-08-29T00:00:00.000","2022-07-28T00:00:00.000","2022-08-29T00:00:00.000",,"Jakubowski, Carson","AG","5","4244","240000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","4021100005","10627819","254044","13581","2022-01-01T00:00:00.000","2022-07-01T00:00:00.000","53.68633445","-112.88749579","1","2022","7",,,,"NE","21","54","20","4","Rural"
