"permitnum","originaladdress1","description","permitclassmapped","workclass","workclassmapped","currentstatus","currentstatusmapped","statusdate","applieddate","issueddate","completeddate","applicant","zoning","ward","totalsqft","estprojectcost","housingunits","parcelarea","permittype","permittypemapped","permittypedesc","originaladdress2","city","province","postalcode","jurisdiction","pin","permitobjectid","addressobjectid","parcelobjectid","permityear","permitmonth","latitude","longitude","count","permityearlabel","permitmonthlabel","lot","block","plan","quarter","section","township","range","meridian","servicearea","buildingtype","location"
"2000-0980-B",,"Detached Garage (26' x 28')","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2001-10-29T00:00:00.000","2000-09-11T00:00:00.000","2000-09-11T00:00:00.000","2000-09-11T00:00:00.000","KINDER, LARRY","AG","7",,"15000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","1222501010","302316","0","1861","2000-01-01T00:00:00.000","2000-09-01T00:00:00.000","53.41535775","-113.14840941","1","2000","9","1",,"9020473","SE","22","51","22","4","Rural","Storage Building","
,  
(53.41535775, -113.14840941)"
"2013-0270-B","45 SPRUCE AV","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2016-02-03T00:00:00.000","2013-03-18T00:00:00.000","2013-04-03T00:00:00.000","2013-04-03T00:00:00.000","STONESHIRE HOMES LTD","R1A","3","4420","708000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","7008036001","6440104","17133","15123","2013-01-01T00:00:00.000","2013-02-01T00:00:00.000","53.51598364","-113.30842334","1","2013","2","36","8","5434KS",,,,,,"Sherwood Park","Single Detached Dwelling","
,  
(53.51598364, -113.30842334)"
"2006-1545-B","21 CARMEL PL","Basement Development","RESIDENTIAL","111703","ALTERATIONS","1970","Completed","2006-10-25T00:00:00.000","2006-09-12T00:00:00.000","2006-09-12T00:00:00.000","2006-09-12T00:00:00.000","RIVERA-QUIJANO , MAURICIO","R1A","8","560","10000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","7287012004","3404542","6648","22494","2006-01-01T00:00:00.000",,"53.53888809","-113.26372619","1","2006","15","12","287","8521734","NW","36","52","23","4","Sherwood Park","Single Detached Dwelling","
,  
(53.53888809, -113.26372619)"
"2020-1081-B","99 RANCHER RD","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","151675","Approved - File Closed","2021-05-25T00:00:00.000","2020-11-23T00:00:00.000","2020-12-04T00:00:00.000",,"Launch Homes","R1C","5","2501","210000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","3211783209","9792648","252451","9776437","2020-01-01T00:00:00.000","2020-10-01T00:00:00.000","53.55278928","-113.13573738","1","2020","10","32","8","2022472","NW","2","53","22","4","Rural","Single Detached Dwelling","
,  
(53.55278928, -113.13573738)"
"2005-0683-B","50 52150 RNG RD 221","New Detached Garage","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2005-05-25T00:00:00.000","2005-05-17T00:00:00.000","2005-05-25T00:00:00.000","2005-05-25T00:00:00.000","GRIMSHAW-JONES , STANLEY & VICKI","RCL","7","864","28000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2211129008","2720955","21076","8637","2005-01-01T00:00:00.000","2005-06-01T00:00:00.000","53.47985102","-113.12742138","1","2005","6","13","2","7820194","NE","11","52","22","4","Rural","Storage Building","
,  
(53.47985102, -113.12742138)"
"2003-1274-B",,"New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2004-06-30T00:00:00.000","2003-08-21T00:00:00.000","2003-08-27T00:00:00.000","2003-08-27T00:00:00.000","HOMEXX CORPORATION","R1A","8",,"180900","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","7308044004","1875425","0","1587251","2003-01-01T00:00:00.000","2003-12-01T00:00:00.000","53.53098592","-113.2493616","1","2003","12","44","308","0320799","SE","36","52","23","4","Sherwood Park","Single Detached Dwelling","
,  
(53.53098592, -113.2493616)"
"1998-0167-B",,"SINGLE DETACHED DWELLING","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2001-10-29T00:00:00.000","1998-03-12T00:00:00.000","1998-04-08T00:00:00.000","1998-04-08T00:00:00.000","JAYMAN MASTER BUILT","R1A","3",,"212000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","7211022002","190756","0","28491","1998-01-01T00:00:00.000","1998-01-01T00:00:00.000","53.51559213","-113.27511461","1","1998","1","22A","211","9822807",,,,,,"Sherwood Park","Single Detached Dwelling","
,  
(53.51559213, -113.27511461)"
"2004-0516-B",,"New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2005-09-14T00:00:00.000","2004-04-28T00:00:00.000","2004-05-03T00:00:00.000","2004-05-03T00:00:00.000","STERLING HOMES (EDMONTON) LTD.- MELISSA DAHL","R1C","8",,"120000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","7364021000","2177670","0","1944322","2004-01-01T00:00:00.000","2004-05-01T00:00:00.000","53.52475867","-113.25323365","1","2004","5","21","364","0324773",,,,,,"Sherwood Park","Single Detached Dwelling","
,  
(53.52475867, -113.25323365)"
"2008-1224-B","221 HILLCREST CRT","ELEVATOR SHAFT INSTALLATION","RESIDENTIAL","111703","ALTERATIONS","1970","Completed","2012-07-04T00:00:00.000","2008-10-15T00:00:00.000","2008-10-16T00:00:00.000","2008-10-16T00:00:00.000","Landry, Gerard","R1A","8",,"30000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","7306011004","4336861","9301","7744","2008-01-01T00:00:00.000","2008-12-01T00:00:00.000","53.53332341","-113.25660943","1","2008","12","11","306","9423609",,,,,,"Sherwood Park","Single Detached Dwelling","
,  
(53.53332341, -113.25660943)"
"2005-1117-B",,"Temporary Tent - September 8 - 10, 2005","INDUSTRIAL","111706","NEW CONSTRUCTION","1970","Completed","2005-09-09T00:00:00.000","2005-08-04T00:00:00.000","2005-08-10T00:00:00.000","2005-08-10T00:00:00.000","AltaSteel Inc. (not web)","IH",,,"30000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2330301108","2835730","0","27464","2005-01-01T00:00:00.000","2005-11-01T00:00:00.000",,,"1","2005","11","1",,"9523317","NW","30","52","23","4","Sherwood Park",,
"2005-0427-B",,"Temporary tent for employee BBQ","OTHER","111706","NEW CONSTRUCTION","1970","Completed","2005-05-12T00:00:00.000","2005-04-11T00:00:00.000","2005-04-19T00:00:00.000","2005-04-19T00:00:00.000","AltaSteel Inc. (not web)","IH",,,,"0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2330301108","2659174","0","27464","2005-01-01T00:00:00.000","2005-04-01T00:00:00.000",,,"1","2005","4","1",,"9523317","NW","30","52","23","4","Sherwood Park",,
"2001-0063-B",,"Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2013-02-21T00:00:00.000","2001-01-24T00:00:00.000","2001-02-02T00:00:00.000","2001-02-02T00:00:00.000","ADAM, DALBERT",,,"8292","600000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2211701012","387103","0","8685","2001-01-01T00:00:00.000",,,,"1","2001","0",,"2","8320557","SW","11","52","22","4","Rural","Single Detached Dwelling",
"2019-0766-B","261 53016 RNG RD 222","New Detached Garage","RESIDENTIAL","111706","NEW CONSTRUCTION","151675","Approved - File Closed","2022-04-19T00:00:00.000","2019-08-07T00:00:00.000","2019-08-09T00:00:00.000",,"Margaritis, Christopher Chace","RCL","5","1700","60000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","3203514405","9171362","62014","4505943","2019-01-01T00:00:00.000","2019-07-01T00:00:00.000","53.54248272","-113.15452572","1","2019","7","44","1","0921595","SE","3","53","22","4","Rural","Storage Building","
,  
(53.54248272, -113.15452572)"
"2022-0139-B","190, 664 WYE RD","Sawaddee Thai Cuisine - Interior Renovation - Expanding Commercial kitchen","COMMERCIAL","111703","ALTERATIONS","151675","Approved - File Closed","2022-04-19T00:00:00.000","2022-02-23T00:00:00.000","2022-02-24T00:00:00.000",,"Sawaddee Thai Cuisine","C1","3","112","5000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","7216002007","10392674","28454","28094","2022-01-01T00:00:00.000","2022-01-01T00:00:00.000","53.51299957","-113.2741449","1","2022","1","2","216","9722176","SE","26","52","23","4","Sherwood Park","Restaurants","
,  
(53.51299957, -113.2741449)"
"2019-0540-B","26 23020 TWP RD 522","New Detached Garage","RESIDENTIAL","111706","NEW CONSTRUCTION","151675","Approved - File Closed","2022-04-19T00:00:00.000","2019-06-14T00:00:00.000","2019-06-26T00:00:00.000",,"MOHAMMAD, YAQOOB","RCL","6",,"22000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2313512002","9097214","20874","10799","2019-01-01T00:00:00.000","2019-05-01T00:00:00.000","53.48546677","-113.25540995","1","2019","5","3","2","7520240","SE","13","52","23","4","Rural","Storage Building","
,  
(53.48546677, -113.25540995)"
"2022-0315-B","14 PRIVET CRT","Install a Hot Tub","RESIDENTIAL","111703","ALTERATIONS","3083","In Progress - Inspection","2022-04-19T00:00:00.000","2022-04-13T00:00:00.000","2022-04-19T00:00:00.000",,"Preece, Kayla","R1A","3",,"15000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","7031040004","10461746","14012","15682","2022-01-01T00:00:00.000","2022-03-01T00:00:00.000","53.52261324","-113.29766977","1","2022","3","40","31","5661KS","N","27","52","23","4","Sherwood Park","Single Detached Dwelling","
,  
(53.52261324, -113.29766977)"
"2007-1516-B","52043 RNG RD 204","New Detached Garage 28' x 32'","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2008-01-04T00:00:00.000","2007-09-25T00:00:00.000","2007-12-03T00:00:00.000","2007-12-03T00:00:00.000","STANNARD, BRADLEY & SHANNON","AG","7","896","25000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2004301002","3896763","33307","2760920","2007-01-01T00:00:00.000",,"53.46179928","-112.90104","1","2007","15","1","1","0522557","NW","4","52","20","4","Rural","Storage Building","
,  
(53.46179928, -112.90104)"
"2010-0542-B","7433 ELLESMERE WY","Duplex","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2011-11-16T00:00:00.000","2010-05-07T00:00:00.000","2010-05-21T00:00:00.000","2010-05-21T00:00:00.000","GREENBORO HOMES LTD","R2A","4","3443","210000","2",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","8158041008","5024709","61842","4896858","2010-01-01T00:00:00.000","2010-05-01T00:00:00.000","53.56487725","-113.27813175","1","2010","5","41","158","0941261","NE","11","53","23","4","Sherwood Park","Multi-Family Housing","
,  
(53.56487725, -113.27813175)"
"2022-0320-B","25 51559 RNG RD 225","Solar panel installations","RESIDENTIAL","111703","ALTERATIONS","3083","In Progress - Inspection","2022-04-19T00:00:00.000","2022-04-14T00:00:00.000","2022-04-19T00:00:00.000",,"Kuby Renewable Energy Ltd","RCL","6",,"10500","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","1232303006","10464105","22162","3061","2022-01-01T00:00:00.000","2022-03-01T00:00:00.000","53.44912094","-113.21863343","1","2022","3","3","1","6040RS","NW","32","51","22","4","Rural","Solar panel(s)","
,  
(53.44912094, -113.21863343)"
"2021-1240-B","22 MENLO CR","Install a Hot Tub","RESIDENTIAL","111703","ALTERATIONS","151675","Approved - File Closed","2022-04-19T00:00:00.000","2021-12-20T00:00:00.000","2021-12-21T00:00:00.000",,"Magnusson, Kenton","R1A","1",,"11000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","7119086002","10322795","8603","19031","2021-01-01T00:00:00.000","2021-12-01T00:00:00.000","53.53506422","-113.30812408","1","2021","12","86","119","3885RS","S","34","52","23","4","Sherwood Park","Single Detached Dwelling","
,  
(53.53506422, -113.30812408)"
"2007-1590-B","157 52510 RNG RD 213","Addition to Dwelling:  Attached Garage with Master Br. Above, and Change Existing Attached Garage into Family Room","RESIDENTIAL","111702","ADDITION","1970","Completed","2008-02-14T00:00:00.000","2007-10-18T00:00:00.000","2007-11-28T00:00:00.000","2007-11-28T00:00:00.000","CHURCHILL BUILDING & DESIGN LTD","RCL","5","1916","185000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2133526000","3925311","8814","2138","2007-01-01T00:00:00.000",,"53.53235609","-113.0321263","1","2007","15","4","2","7822042","E","33","52","21","4","Rural","Single Detached Dwelling","
,  
(53.53235609, -113.0321263)"
"2005-1558-B","51 23033 WYE RD","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2010-06-11T00:00:00.000","2005-10-28T00:00:00.000","2005-12-13T00:00:00.000","2005-12-13T00:00:00.000","LENACO HOMES","DC34 ""A""","6","5906","650000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2324110908","2952938","33218","2889739","2005-01-01T00:00:00.000",,"53.50837632","-113.25562073","1","2005","15","9","1","0524322","NE","24","52","23","4","Rural","Single Detached Dwelling","
,  
(53.50837632, -113.25562073)"
"2007-1715-B","34 51025 RNG RD 222","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2009-10-13T00:00:00.000","2007-11-26T00:00:00.000","2007-12-07T00:00:00.000","2007-12-07T00:00:00.000","CASABELLA DEVELOPMENTS INC., 1958 GLENMORE AVE","RE","7","5508","650000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","1202703409","3970949","26989","1192594","2007-01-01T00:00:00.000",,"53.37055588","-113.14283038","1","2007","17",,"34","0125764","SW","2","51","22","4","Rural","Single Detached Dwelling","
,  
(53.37055588, -113.14283038)"
"2007-0658-B","600 CRIMSON DR","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2009-05-04T00:00:00.000","2007-05-04T00:00:00.000","2007-05-18T00:00:00.000","2007-05-18T00:00:00.000","SALVI  HOMES LTD","R1C","2","2007","214650","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","8085005002","3703618","35738","3521602","2007-01-01T00:00:00.000","2007-06-01T00:00:00.000","53.54557579","-113.27975344","1","2007","6","5","85","0627099","SE","2","53","23","4","Sherwood Park","Single Detached Dwelling","
,  
(53.54557579, -113.27975344)"
"2009-0502-B","2 54569 RNG RD 215","Temporary Tent for 4H Show - May 24-25/09","COMMERCIAL","111706","NEW CONSTRUCTION","1970","Completed","2009-05-26T00:00:00.000","2009-05-25T00:00:00.000","2009-05-25T00:00:00.000","2009-05-25T00:00:00.000","JOSEPHBURG AGRICULTURAL SOCIETY","RH","5",,"500","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","4132302003","4571308","29977","13989","2009-01-01T00:00:00.000","2009-05-01T00:00:00.000","53.7113246","-113.07230918","1","2009","5","1A",,"9624338","NW","32","54","21","4","Rural","Arenas","
,  
(53.7113246, -113.07230918)"
"2007-0790-B","1996 AVONDALE CRT","Basement Development","RESIDENTIAL","111703","ALTERATIONS","1970","Completed","2009-06-02T00:00:00.000","2007-05-22T00:00:00.000","2007-05-23T00:00:00.000","2007-05-23T00:00:00.000","ALLEN, Larry & Jenny","R2A","1","990","15000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","7036036007","3728390","13020","15807","2007-01-01T00:00:00.000","2007-07-01T00:00:00.000","53.52528931","-113.31098738","1","2007","7","36","36","2882MC",,,,,,"Sherwood Park","Single Detached Dwelling","
,  
(53.52528931, -113.31098738)"
"2018-0036-B","14 53371 RNG RD 231","Addition to Single Dwelling","RESIDENTIAL","111702","ADDITION","151675","Approved - File Closed","2022-04-19T00:00:00.000","2018-01-12T00:00:00.000","2018-01-23T00:00:00.000",,"Rus, Thomas","RCL","4",,"550000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","3324304009","8352734","1493","13466","2018-01-01T00:00:00.000",,"53.59800307","-113.26873746","1","2018","0","2","1","4356RS","NW","24","53","23","4","Sherwood Park","Single Detached Dwelling","
,  
(53.59800307, -113.26873746)"
