"issueddate","statusdate","permitnum","originaladdress1","description","permitclassmapped","workclassmapped","currentstatusmapped","applicant","totalsqft","estprojectcost","housingunits","parcelarea","zoning","ward","servicearea","pin","lot","block","plan","quarter","section","township","range","meridian","location","originaladdress2","city","province","postalcode","jurisdiction","permitclass","workclass","currentstatus","applieddate","permityear","permitmonth","permityearlabel","permitmonthlabel","completeddate","permittype","permittypemapped","permittypedesc","permitobjectid","addressobjectid","parcelobjectid","count","buildingtype","latitude","longitude"
"2022-09-06T00:00:00.000","2022-09-06T00:00:00.000","2022-0746-B","134 HORTON WY","New Single Detached Dwelling","RESIDENTIAL","NEW CONSTRUCTION","In Progress - Inspection","Coventry Homes","4175","351944","1",,"R2A","5","Rural","3211763503","35","6","2122874","NW","2","53","22","4","
,  
(53.55115897, -113.13590698)",,,"AB",,"Strathcona County","110682","111706","3083","2022-07-29T00:00:00.000","2022-01-01T00:00:00.000","2022-07-01T00:00:00.000","2022","7",,"1028","Building Permit","NULL","10630024","253067","10341217","1","Single Detached Dwelling","53.55115897","-113.13590698"
"2022-07-19T00:00:00.000","2022-08-25T00:00:00.000","2022-0644-B","126 HORTON WY","To Construct a Duplex, 122 & 126","RESIDENTIAL","NEW CONSTRUCTION","In Progress - Inspection","Coventry Homes","4335","330750","2",,"R2A","5","Rural","3211763307","33","6","2122874","NW","2","53","22","4","
,  
(53.55117275, -113.1361702)",,,"AB",,"Strathcona County","110682","111706","3083","2022-06-29T00:00:00.000","2022-01-01T00:00:00.000","2022-06-01T00:00:00.000","2022","6",,"1028","Building Permit","NULL","10583864","253065","10341215","1","Single Detached Dwelling","53.55117275","-113.1361702"
"2022-05-31T00:00:00.000","2022-09-02T00:00:00.000","2022-0441-B","8412 15 ST","Racking Installation","COMMERCIAL","ALTERATIONS","Approved - File Closed","ARPAC","3955","151500","0",,"IM","1","Sherwood Park","2329330401","4","3","0826916","NW","29","52","23","4","
,  
(53.5197346, -113.36569085)",,,"AB",,"Strathcona County","110678","111703","151675","2022-05-11T00:00:00.000","2022-01-01T00:00:00.000","2022-04-01T00:00:00.000","2022","4",,"1028","Building Permit","NULL","10504590","83789","4413290","1","Repair Garages","53.5197346","-113.36569085"
"2021-11-29T00:00:00.000","2022-08-28T00:00:00.000","2021-1100-B","6 HUNDRED ACRE GATE","New Single Family Dwelling.","RESIDENTIAL","NEW CONSTRUCTION","In Progress - Inspection","Santos Construction","4499","505000","0",,"RE","5","Rural","3211740907","9","4","1723309","NW","2","53","22","4","
,  
(53.55848274, -113.13923463)",,,"AB",,"Strathcona County","110682","111706","3083","2021-11-08T00:00:00.000","2021-01-01T00:00:00.000","2021-11-01T00:00:00.000","2021","11",,"1028","Building Permit","NULL","10270375","251016","8315920","1","Single Detached Dwelling","53.55848274","-113.13923463"
"2022-08-16T00:00:00.000","2022-08-16T00:00:00.000","2022-0705-B","135 CAMPBELL DR","To Construct a Sunroom on an existing lower deck","RESIDENTIAL","ADDITION","In Progress - Inspection","Ideal Sundecks 1979 Ltd.","0","12000","0",,"R1B","2","Sherwood Park","8114075006","75","114","1025222","NE","2","53","23","4","
,  
(53.55374833, -113.27980293)",,,"AB",,"Strathcona County","110682","111702","3083","2022-07-21T00:00:00.000","2022-01-01T00:00:00.000","2022-07-01T00:00:00.000","2022","7",,"1028","Building Permit","NULL","10618109","62679","5254900","1","Single Detached Dwelling","53.55374833","-113.27980293"
"2020-01-15T00:00:00.000","2022-08-18T00:00:00.000","2020-0010-B","983 FIR ST","NULL","COMMERCIAL","ALTERATIONS","Approved - File Closed","McInness, Sean",,"31000","0",,"C2","1","Sherwood Park","7191001002","4B","191","9221550","SE","28","52","23","4","
,  
(53.51301308, -113.32602016)",,,"AB",,"Strathcona County","110678","111703","151675","2020-01-06T00:00:00.000","2020-01-01T00:00:00.000",,"2020","0",,"1028","Building Permit","NULL","9369662","18545","5704","1","Car Dealership","53.51301308","-113.32602016"
"2022-05-10T00:00:00.000","2022-08-28T00:00:00.000","2022-0429-B","347 51101 RNG RD 222","Install a Hot Tub","RESIDENTIAL","ALTERATIONS","Approved - File Closed","Schultz, Evan","0","15000","0",,"R2A","7","Rural","1202316191",,"19","0929928","NW","2","51","22","4","
,  
(53.37840228, -113.13849646)",,,"AB",,"Strathcona County","110682","111703","151675","2022-05-09T00:00:00.000","2022-01-01T00:00:00.000","2022-04-01T00:00:00.000","2022","4",,"1028","Building Permit","NULL","10500394","61831","4862648","1","Single Detached Dwelling","53.37840228","-113.13849646"
"2022-05-11T00:00:00.000","2022-08-28T00:00:00.000","2022-0411-B","51263 RNG RD 225","New Single Detached Dwelling","RESIDENTIAL","NEW CONSTRUCTION","In Progress - Inspection","Urban Pioneer Infill Inc","3632","500000","0",,"AG","6","Rural","1217300001",,,,"NW","17","51","22","4","
,  
(53.40742411, -113.22072851)",,,"AB",,"Strathcona County","110682","111706","3083","2022-05-06T00:00:00.000","2022-01-01T00:00:00.000","2022-04-01T00:00:00.000","2022","4",,"1028","Building Permit","NULL","10497255","23101","1644","1","Single Detached Dwelling","53.40742411","-113.22072851"
"2022-05-16T00:00:00.000","2022-08-20T00:00:00.000","2022-0407-B","42 HARVEST CR","New Single Detached Dwelling","RESIDENTIAL","NEW CONSTRUCTION","In Progress - Inspection","H2 Homes Ltd","4223","450000","1",,"RE","5","Rural","3211732205","22","3","2122294",,,,,,"
,  
(53.56252735, -113.1385872)",,,"AB",,"Strathcona County","110682","111706","3083","2022-05-06T00:00:00.000","2022-01-01T00:00:00.000","2022-04-01T00:00:00.000","2022","4",,"1028","Building Permit","NULL","10496342","252877","10257198","1","Single Detached Dwelling","53.56252735","-113.1385872"
"2022-08-31T00:00:00.000","2022-08-31T00:00:00.000","2022-0835-B","64 MALVERN DR","To Construct a Basement Egress Window","RESIDENTIAL","ALTERATIONS","In Progress - Inspection","Williams, Blake","0","6500","0",,"R1A","1","Sherwood Park","7099059003","59","99","7520864","NW","34","52","23","4","
,  
(53.54023063, -113.31251794)",,,"AB",,"Strathcona County","110682","111703","3083","2022-08-29T00:00:00.000","2022-01-01T00:00:00.000","2022-08-01T00:00:00.000","2022","8",,"1028","Building Permit","NULL","10673624","6054","4230","1","Single Detached Dwelling","53.54023063","-113.31251794"
