"office","control_officer","general_fund_type","fund_type","fund","bureau","department_number","department_name","business_unit_number","business_unit_name","job_code","job_title","grade","_2015_adopted_fte","_2015_adopted_salary","_2016_dept_req_fte","_2016_dept_req_salary","_2016_pres_rec_fte","_2016_pres_rec_salary"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400101","Administration and Clerical","51","Administrative Assistant V","20","1.0","72582.00","1.0","77413.00","1.0","77413.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400101","Administration and Clerical","6329","Site Administrator-Cermak","24","1.0","120000.00","1.0","175000.00","1.0","175000.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400101","Administration and Clerical","6337","Chair of the Department of Correctional Health & Medical Director of Cermak Health Services","K12","1.0","300000.00",,,,
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400102","Storerooms","927","Administrative Aide (CCU)","CE","1.0","36207.00","1.0","38618.00","1.0","38618.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400102","Storerooms","1234","Storekeeper IV","12","1.0","36748.00","1.0","50580.00","1.0","50580.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400102","Storerooms","1242","Storekeeper/Supply Clerk","CC","3.0","99857.00","3.0","106506.00","3.0","106506.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400103","Finance","112","Director of Financial Control III","23","1.0","104422.00","1.0","113547.00","1.0","113547.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400103","Finance","145","Accountant V","19","1.0","56091.00","1.0","61013.00","1.0","61013.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400103","Finance","907","Clerk V","11","1.0","46493.00","1.0","46492.00","1.0","46492.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400104","Human Resources","5376","Senior Human Resources Coordinator-CCHHS","22",,,"1.0","70308.00","1.0","70308.00"
