"pd_id","energy_star_partner","brand_name","model_name","model_number","additional_model_information","upc","ct_device_brand_owner","ct_device_brand_name","ct_device_model_name","ct_device_model_number","additional_ct_device_model_numbers","family_id","static_temperature_accuracy","network_standby_average_power_consumption","time_to_enter_network_standby_after_user_interaction","ct_product_heating_and_cooling_control_features","other_heating_and_cooling_control_features","ct_device_communication_method","communication_method_other","demand_response_summary","demand_response_product_variations","date_available_on_market","date_qualified","markets","energy_star_model_identifier"
"2328478","Emerson","Emerson","Sensi 1F87U-42WF","Sensi 1F87U-42WF","","","Emerson","Emerson","Sensi","1","","","0.95","0.5","7","Time of Day Usage,Geofencing (User Device Based),Humidity Sensing","","Wi-Fi","","Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via APIâ€™s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.","","2014-03-25T00:00:00.000","2018-10-26T00:00:00.000","United States, Canada","ES_1020720_Sensi 1F87U-42WF_10222018111012_7856256"
"2328479","Emerson","Emerson","Sensi 1F95U-42WF","Sensi 1F95U-42WF","","78671055515","Emerson","Emerson","Sensi","1","","","0.5","1.2","30","Time of Day Usage,Geofencing (User Device Based),Humidity Sensing","","Wi-Fi","","Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via API????????s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.","","2014-03-25T00:00:00.000","2018-10-26T00:00:00.000","United States, Canada","ES_1020720_Sensi 1F95U-42WF_10042018144600_7216150"
"2340774","Emerson","Emerson Sensi","Sensi 1F95U-42WFB","Sensi 1F95U-42WFB",",Sensi 1F95U-42WFB,Sensi 1F95U-42WFB are Whole Sale products.; ,Sensi 1F95U-42WFC,Sensi 1F95U-42WFC is shole sale product & Sensi 1F95U-42WFC is a Canadian model with Suffix C.","78671055516;78671055795","Emerson","Emerson","Sensi","1","","","0.5","1.2","30","Time of Day Usage,Geofencing (User Device Based),Humidity Sensing","","Wi-Fi","","Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via API????????s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.","","2014-03-25T00:00:00.000","2018-10-26T00:00:00.000","United States, Canada","ES_1020720_Sensi 1F95U-42WFB_06262019113431_1988946"
"2340775","Emerson","Emerson Sensi","ST75","ST75",",ST75C,ST75C is retail product and ST75C is a Canadian model with suffix C.; ,ST75U,","78671055484;78671055968;78671056304","Emerson","Emerson","Sensi","1","","","0.5","1.2","30","Time of Day Usage,Geofencing (User Device Based),Humidity Sensing","","Wi-Fi","","Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via API????????s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.","","2014-03-25T00:00:00.000","2018-10-26T00:00:00.000","United States, Canada","ES_1020720_ST75_06262019113431_7108881"
"2340776","Emerson","Emerson Sensi","ST75W","ST75W",",ST75WC,ST75WC is retail product and ST75WC is a Canadian model with suffix C.; ,ST75WU,","78671055794;78671055809;78671055972","Emerson","Emerson","Sensi","1","","","0.5","1.2","30","Time of Day Usage,Geofencing (User Device Based),Humidity Sensing","","Wi-Fi","","Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via API????????s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.","","2014-03-25T00:00:00.000","2018-10-26T00:00:00.000","United States, Canada","ES_1020720_ST75W_06262019131850_4285241"
"2345428","Emerson","Emerson","ST55","ST55",",ST55C,; ,ST55U,","","Emerson","Emerson","Sensi","1","","","0.95","0.5","7","Time of Day Usage,Geofencing (User Device Based),Humidity Sensing","","Wi-Fi","","Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via APIâ€™s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.","","2014-03-25T00:00:00.000","2018-10-26T00:00:00.000","United States, Canada","ES_1020720_ST55_08202019113903_410882"
"2345429","Emerson","Emerson","1F87U-42WFC","1F87U-42WFC","","","Emerson","Emerson","Sensi","1","","","0.95","0.5","7","Time of Day Usage,Geofencing (User Device Based),Humidity Sensing","","Wi-Fi","","Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via APIâ€™s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.","","2014-03-25T00:00:00.000","2018-10-26T00:00:00.000","United States, Canada","ES_1020720_1F87U-42WFC_08202019113903_6124689"
"2380652","Emerson","Emerson Sensi","ST75S","ST75S",",ST75S,ST75S Retail Model for US Markets.","78671056296","Emerson","Emerson","Sensi","1","","","0.5","1.2","30","Time of Day Usage,Geofencing (User Device Based),Humidity Sensing","","Wi-Fi","","Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via API????????s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.","","2021-06-01T00:00:00.000","2018-10-26T00:00:00.000","United States","ES_1020720_ST75S_06222021113415_1030389"
"2380653","Emerson","Emerson Sensi","ST75SU","ST75SU",",1F95U-42WFSC,1F95U-42WFSC  is a Pro Model for Canadian Markets.; ,ST75SC,ST75SC Retail Model for Canadian Markets.; ,ST75SU,ST75SU Utility Model for US Markets.","78671056295;78671056304;78671056308","Emerson","Emerson","Sensi","1","","","0.5","1.2","30","Time of Day Usage,Geofencing (User Device Based),Humidity Sensing","","Wi-Fi","","Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via API????????s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.","","2021-07-30T00:00:00.000","2018-10-26T00:00:00.000","United States, Canada","ES_1020720_ST75SU_06222021113415_1788141"
"2380654","Emerson","Emerson Sensi","1F95U-42WFS","1F95U-42WFS",",1F95U-42WFS,1F95U-42WFS is a Pro Model for US Markets.","78671056297","Emerson","Emerson","Sensi","1","","","0.5","1.2","30","Time of Day Usage,Geofencing (User Device Based),Humidity Sensing","","Wi-Fi","","Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via API????????s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.","","2021-07-01T00:00:00.000","2018-10-26T00:00:00.000","United States","ES_1020720_1F95U-42WFS_06222021113415_9283547"
