"period","start_date","end_date","zip_code","service_district","quality_of_life","overall_feeling_of_safety","neighborhood_safety","city_appearance","neighborhood_appearance","nashville_as_residence","nashville_as_place_to_raise","nashville_as_workplace","nashville_as_place_to_start","nashville_as_retirement_place","metro_services_overall","value_received_from_taxes","elected_official_leadership","elected_official","elected_official_accessibility","metro_transparency_and_ethics","metro_budgeting_and","customer_service","metro_communication","decision_input_opportunity","crime_prevention","police_overall","fire_and_ems_overall","streets_and_sidewalks_overall","trash_and_recycling_overall","public_education","public_health_overall","public_library","social_services_overall","economic_development_overall","parks_and_recreation_overall","code_enforcement_overall","public_transit_overall","water_services_overall","metro_provided_arts_and","affordable_housing_overall","historic_preservation_overall","_1st_priority_service","_2nd_priority_service","_3rd_priority_service","_4th_priority_service","_5th_priority_service","city_street_maintenance","street_signs_and_traffic","pedestrian_infrastructure","curb_space_management","bicycle_infrastructure","trash_service","curbside_recycling","drop_off_recycling","street_lighting","public_works_personnel","police_visibility","traffic_enforcement","police_professionalism","police_response_time","school_crossing_guards","school_resource_officers","youth_violence_programs","special_event_security","fire_services","fire_response_time","emergency_medical_services","ems_response_time","fire_professionalism","ems_professionalism","mta_bus_service","music_city_circuit","accessride","music_city_star","park_and_ride","bus_shelters","mta_personnel_professionalism","trash_and_debris_enforcement","lawn_and_brush_enforcement","exterior_maintenance","short_term_rental_enforcement","strp_complaint_hotline","codes_personnel","codes_responsiveness","_911_services","non_emergency_number","hubnashville_311","program_information","nashville_gov","metro_video_programming","metro_social_media","parks_maintenance","outdoor_athletic_fields","walking_and_biking_trails","swimming_pools","community_centers","youth_recreation_programs","senior_recreation_programs","parks_personnel","park_safety","burial_assistance_program","family_support_services","homeless_services","nutrition_programs","head_start_early_head_start","low_income_home_energy","violent_crime_victim_services","tap_water","water_service_reliability","water_emergency_response","flood_prevention","stormwater_fund_use","water_services_value","water_services_communication","water_services_information","water_services_social_media","water_services_employee","crime_victim","mnpd_officer_contact","_311_hubnashville_usage","nashville_gov_usage","park_community_center_usage","mta_bus_service_usage","bicycle_usage","arts_cultural_event_attendance","public_library_usage","metro_elected_official_contact","public_meeting_attendance","neighborhood_meeting","monthly_housing_cost_over","rideshare_bikeshare_usage","commute_by_walking_biking","affordable_housing_preference","opioid_addiction","neighborhood_tree_canopy","internet_use_for_information","mobile_phone_internet_access","home_internet_access","natural_disaster_preparedness","_500_emergency_expense","healthcare_access","healthy_food_access","childcare_access","pre_k_access","public_transit_access","park_and_green_space_access","affordable_housing_access","diversity_support_efforts","diversity_acceptance","disability_access","job_access","neighborhood_arts_and_culture","small_business_and_freelance","farmers_market","general_hospital","emergency_and_natural_disaster","no_children_in_davidson_county","children_ages_0_5","children_agest_6_13","children_agest_13_17","public_school_attendance","charter_school_attendance","private_school_attendance","other_school_attendance","other_school_definition","school_quality","own_or_rent","years_lived_in_davidson_county","business_owner_operator","race_ethnicity_white","race_ethnicity_black","race_ethnicity_hispanic","race_ethnicity_asian_or","race_ethnicity_native_american","race_ethnicity_other","race_ethnicity_other_1","total_annual_household_income","age","gender_identity","education_attained"
"2018Q2","2018-06-21T00:00:00.000","2018-07-16T00:00:00.000","37208","Urban Services District","Neutral","Neutral","Neutral","Neutral","Satisfied","Neutral","Good","Neutral","Poor","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Very Dissatisfied","Very Dissatisfied","Satisfied","Satisfied","Neutral","Dissatisfied","Dissatisfied","Neutral","Neutral","Don't Know","Satisfied","Neutral","Satisfied","Neutral","Neutral","Very Dissatisfied","Neutral","Affordable housing","Public education","Public health","Social services","Economic development","Very Dissatisfied","Neutral","Neutral","Neutral","Satisfied","Satisfied","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Dissatisfied","Satisfied","Neutral","Dissatisfied","Dissatisfied","Neutral","Very Satisfied","Satisfied","Satisfied","Neutral","Neutral","Satisfied","Satisfied","Don't Know","Don't Know","Satisfied","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Very Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neutral","Neutral","Neutral","Very Dissatisfied","Very Satisfied","Satisfied","Satisfied","Neutral","Neutral","Neutral","Satisfied","Dissatisfied","Satisfied","Very Satisfied","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Don't Know","Don't Know","Neutral","Don't Know","Don't Know","No","No",,,"Yes","Yes","No","No",,"Yes","No","No","Yes","No","No","No","false","Yes","Yes","Yes","Yes","Yes",,"Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Very Dissatisfied","Satisfied","Neutral","Satisfied","Satisfied","Neutral","Neutral","Very Satisfied","Neutral","Neutral","Yes",,,,,,,,,,"Rent","20",,,"Yes",,,,,,,"25-34","Female","High school graduate"
"2018Q2","2018-06-21T00:00:00.000","2018-07-16T00:00:00.000","37211","Urban Services District","Satisfied","Satisfied","Satisfied","Neutral","Satisfied","Good","Good","Good","Don't Know","Good","Satisfied","Satisfied","Neutral","Don't Know","Neutral","Neutral","Neutral","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Very Satisfied","Dissatisfied","Very Dissatisfied","Satisfied","Don't Know","Very Satisfied","Neutral","Neutral","Satisfied","Dissatisfied","Very Dissatisfied","Satisfied","Satisfied","Don't Know","Don't Know","Affordable housing","Public transportation","Public education","Social services","Solid waste services","Neutral","Satisfied","Very Dissatisfied","Neutral","Dissatisfied","Very Satisfied","Very Dissatisfied","Neutral","Neutral","Satisfied","Satisfied","Dissatisfied","Satisfied","Don't Know","Satisfied","Don't Know","Don't Know","Satisfied","Satisfied","Don't Know","Don't Know","Don't Know","Very Satisfied","Very Satisfied","Neutral","Neutral","Don't Know","Don't Know","Dissatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neutral","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Satisfied","Don't Know","Don't Know","Satisfied","Satisfied","Satisfied","Satisfied","Neutral","Satisfied","Don't Know","Don't Know","Satisfied","Very Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Very Satisfied","Very Satisfied","Don't Know","Satisfied","Don't Know","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","false","Yes","Yes","Yes","Yes","Yes","Yes","Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Dissatisfied","Very Satisfied","Neutral","Satisfied","Dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Don't Know","Satisfied","Don't Know","Satisfied",,"Yes",,,,,"Yes",,,"Good","Own","7","No","Yes",,,,,,,"$100,000 or more","45-54","Female","Graduate degree"
"2018Q2","2018-06-21T00:00:00.000","2018-07-16T00:00:00.000","37208","Urban Services District","Very Satisfied","Neutral","Satisfied","Satisfied","Satisfied","Excellent","Excellent","Excellent","Excellent","Excellent","Satisfied","Satisfied","Satisfied","Neutral","Neutral","Neutral","Neutral","Neutral","Satisfied","Satisfied","Neutral","Neutral","Satisfied","Dissatisfied","Very Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Satisfied","Satisfied","Don't Know","Dissatisfied","Neutral","Satisfied","Dissatisfied","Dissatisfied","Public transportation","Streets and sidewalks","Affordable housing","Historic preservation","Public health","Dissatisfied","Satisfied","Neutral","Satisfied","Dissatisfied","Very Satisfied","Very Satisfied","Don't Know","Satisfied","Don't Know","Neutral","Satisfied","Neutral","Satisfied","Don't Know","Don't Know","Very Dissatisfied","Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Dissatisfied","Dissatisfied","Neutral","Don't Know","Don't Know","Don't Know","Satisfied","Don't Know","Don't Know","Don't Know","Satisfied","Satisfied","Don't Know","Satisfied","Don't Know","Don't Know","Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Satisfied","Very Satisfied","Don't Know","Neutral","Don't Know","Satisfied","Satisfied","Satisfied","Don't Know","Don't Know","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","false","No","Yes","Yes","Yes","Yes","Yes","Satisfied","Dissatisfied","Don't Know","Don't Know","Dissatisfied","Neutral","Dissatisfied","Neutral","Satisfied","Satisfied","Dissatisfied","Satisfied","Satisfied","Satisfied","Don't Know","Satisfied","Yes",,,,,,,,,,"Own","10","No","Yes",,,,,,,"$30,000 to $59,999","25-34","Male","Bachelor's degree"
"2018Q2","2018-06-21T00:00:00.000","2018-07-16T00:00:00.000","37203","Urban Services District","Satisfied","Very Satisfied","Satisfied","Satisfied","Satisfied","Excellent","Don't Know","Excellent","Good","Don't Know","Satisfied","Very Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Don't Know","Satisfied","Satisfied","Satisfied","Very Satisfied","Don't Know","Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Very Satisfied","Satisfied","Satisfied","Very Dissatisfied","Very Satisfied","Satisfied","Don't Know","Dissatisfied","Public transportation","Police","Streets and sidewalks","Social services","Economic development","Satisfied","Satisfied","Satisfied","Neutral","Very Satisfied","Don't Know","Dissatisfied","Don't Know","Satisfied","Don't Know","Satisfied","Satisfied","Very Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Very Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Neutral","Satisfied","Don't Know","Neutral","Don't Know","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Neutral","Neutral","Very Satisfied","Dissatisfied","Very Satisfied","Neutral","Very Satisfied","Dissatisfied","Neutral","Don't Know","Don't Know","Don't Know","Satisfied","Don't Know","Don't Know","Dissatisfied","Don't Know","Don't Know","Don't Know","Don't Know","Satisfied","Don't Know","Don't Know","Very Satisfied","Don't Know","Very Satisfied","Satisfied","Satisfied","Satisfied","Don't Know","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","false","Yes","Yes","Yes","Yes","Yes","Yes","Satisfied","Dissatisfied","Don't Know","Don't Know","Very Dissatisfied","Neutral","Satisfied","Very Satisfied","Very Satisfied","Don't Know","Very Satisfied","Satisfied","Don't Know","Satisfied","Don't Know","Don't Know","Yes",,,,,,,,,,"Own","2","No","Yes",,,,,,,"$30,000 to $59,999","25-34","Male","Bachelor's degree"
"2018Q1","2018-02-01T00:00:00.000","2018-03-06T00:00:00.000","37138","General Services District","Satisfied","Satisfied","Satisfied",,"Satisfied","Good","Good","Good",,"Good","Satisfied","Satisfied","Satisfied",,,"Neutral",,"Satisfied","Satisfied","Don't Know","Don't Know","Neutral","Don't Know","Dissatisfied","Don't Know","Don't Know",,"Satisfied","Don't Know",,"Satisfied",,"Neutral",,"Neutral",,,,,,,,"Dissatisfied","Neutral",,,"Don't Know","Don't Know","Don't Know","Don't Know","Very Dissatisfied",,"Don't Know","Don't Know","Don't Know","Don't Know",,,,,"Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know",,"Don't Know",,"Don't Know","Satisfied","Dissatisfied",,"Don't Know","Don't Know","Don't Know","Don't Know",,,,"Satisfied","Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Satisfied","Don't Know","Satisfied","Satisfied","Satisfied","Don't Know","Don't Know",,,,,,,,,,,,,,,,,,,,"No","No","No","Yes",,"No","No","No",,,,"No",,,,,,,"Yes","Yes","Yes",,,"Satisfied","Satisfied","Don't Know","Don't Know","Neutral",,,"Neutral","Neutral","Neutral",,,,"Neutral","Don't Know",,"Yes",,,,,,,,,,"Rent","34",,"Yes",,,,,,,"$60,000 to $99,999","45-54","Female",
"2018Q2","2018-06-21T00:00:00.000","2018-07-16T00:00:00.000","37207","Urban Services District","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Excellent","Excellent","Excellent","Excellent","Excellent","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Police","Streets and sidewalks","Public transportation","Public education","Parks and recreation","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","Very Satisfied","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","true","Yes","Yes","Yes","Yes","Yes","Yes","Satisfied","Satisfied","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Yes",,,,,,,,,,"Own","17","No","Yes",,,,,,,"$100,000 or more","35-44","Male","Bachelor's degree"
"2018Q2","2018-06-21T00:00:00.000","2018-07-16T00:00:00.000","37207","Urban Services District","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Good","Good","Good","Good","Good","Satisfied","Satisfied","Neutral","Neutral","Satisfied","Neutral","Neutral","Satisfied","Satisfied","Very Dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Very Dissatisfied","Neutral","Affordable housing","Public education","Public transportation","Public health","Economic development","Dissatisfied","Satisfied","Dissatisfied","Neutral","Neutral","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neutral","Satisfied","Don't Know","Dissatisfied","Very Dissatisfied","Satisfied","Satisfied","Don't Know","Satisfied","Don't Know","Don't Know","Don't Know","Very Dissatisfied","Satisfied","Neutral","Don't Know","Don't Know","Dissatisfied","Neutral","Satisfied","Satisfied","Satisfied","Dissatisfied","Don't Know","Satisfied","Neutral","Neutral","Dissatisfied","Don't Know","Dissatisfied","Satisfied","Very Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Don't Know","Don't Know","Satisfied","Satisfied","Don't Know","Don't Know","Neutral","Don't Know","Don't Know","Don't Know","Don't Know","Satisfied","Satisfied","Satisfied","Don't Know","Don't Know","Neutral","Satisfied","Don't Know","Don't Know","Dissatisfied","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","false","No","Yes","Yes","Yes","Yes","Yes","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Very Dissatisfied","Very Satisfied","Dissatisfied","Satisfied","Very Dissatisfied","Neutral","Neutral","Satisfied","Satisfied","Satisfied","Yes",,,,,,,,,,"Own","43","No","Yes",,,,,,,"$30,000 to $59,999","55-64","Male","Graduate degree"
"2018Q2","2018-06-21T00:00:00.000","2018-07-16T00:00:00.000","37206","Urban Services District","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Good","Neutral","Excellent","Good","Don't Know","Satisfied","Satisfied","Satisfied","Don't Know","Don't Know","Don't Know","Satisfied","Satisfied","Satisfied","Don't Know","Satisfied","Satisfied","Don't Know","Neutral","Neutral","Don't Know","Don't Know","Very Satisfied","Neutral","Very Satisfied","Satisfied","Don't Know","Dissatisfied","Don't Know","Very Satisfied","Neutral","Satisfied","Public education","Police","Public transportation","Economic development","Public health","Neutral","Very Satisfied","Satisfied","Satisfied","Dissatisfied","Neutral","Dissatisfied","Satisfied","Satisfied","Don't Know","Neutral","Don't Know","Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Neutral","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Neutral","Don't Know","Don't Know","Satisfied","Satisfied","Satisfied","Don't Know","Very Satisfied","Don't Know","Don't Know","Don't Know","Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Satisfied","Satisfied","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","false","Yes","Yes","No","Yes","Yes","Yes","Satisfied","Satisfied","Neutral","Neutral","Dissatisfied","Satisfied","Neutral","Very Satisfied","Very Satisfied","Don't Know","Satisfied","Satisfied","Don't Know","Satisfied","Don't Know","Don't Know",,"Yes",,,,,"Yes",,,"Good","Rent","7","No",,"Yes",,,,,,"$100,000 or more","25-34","Male","Graduate degree"
"2018Q2","2018-06-21T00:00:00.000","2018-07-16T00:00:00.000","37209","Urban Services District","Satisfied","Neutral","Satisfied","Neutral","Neutral","Good","Good","Good","Good","Good","Satisfied","Neutral","Satisfied","Don't Know","Satisfied","Don't Know","Neutral","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Very Dissatisfied","Satisfied","Satisfied","Neutral","Satisfied","Satisfied","Dissatisfied","Very Dissatisfied","Satisfied","Satisfied","Neutral","Neutral","Public education","Public transportation","Streets and sidewalks","Solid waste services","Code enforcement","Neutral","Neutral","Very Dissatisfied","Very Dissatisfied","Dissatisfied","Satisfied","Very Dissatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Don't Know","Don't Know","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Very Dissatisfied","Don't Know","Don't Know","Don't Know","Don't Know","Dissatisfied","Satisfied","Neutral","Dissatisfied","Very Dissatisfied","Dissatisfied","Don't Know","Don't Know","Satisfied","Satisfied","Very Satisfied","Don't Know","Satisfied","Satisfied","Don't Know","Satisfied","Satisfied","Satisfied","Satisfied","Don't Know","Satisfied","Don't Know","Don't Know","Satisfied","Neutral","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Neutral","Satisfied","Satisfied","Satisfied","Don't Know","Satisfied","Satisfied","Satisfied","Don't Know","Don't Know","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","true","Yes","Yes","Yes","Yes","Yes","Yes","Satisfied","Satisfied","Satisfied","Don't Know","Dissatisfied","Satisfied","Don't Know","Very Satisfied","Satisfied","Don't Know","Satisfied","Satisfied","Satisfied","Dissatisfied","Don't Know","Satisfied",,"Yes",,,,,,,,,"Own","10","Yes","Yes",,,,,,,"$100,000 or more","35-44","Female","Graduate degree"
"2018Q2","2018-06-21T00:00:00.000","2018-07-16T00:00:00.000","37221","General Services District","Satisfied","Satisfied","Satisfied","Very Dissatisfied","Satisfied","Good","Neutral","Neutral","Don't Know","Poor","Neutral","Dissatisfied","Neutral","Satisfied","Neutral","Dissatisfied","Neutral","Don't Know","Don't Know","Satisfied","Satisfied","Neutral","Satisfied","Dissatisfied","Dissatisfied","Dissatisfied","Don't Know","Very Satisfied","Dissatisfied","Satisfied","Very Satisfied","Satisfied","Dissatisfied","Neutral","Very Satisfied","Very Dissatisfied","Very Dissatisfied","Historic preservation","Public transportation","Streets and sidewalks","Public education","Affordable housing","Dissatisfied","Neutral","Dissatisfied","Satisfied","Neutral","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Satisfied","Neutral","Satisfied","Don't Know","Satisfied","Don't Know","Dissatisfied","Satisfied","Satisfied","Don't Know","Satisfied","Don't Know","Satisfied","Satisfied","Satisfied","Neutral","Don't Know","Don't Know","Satisfied","Dissatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Don't Know","Neutral","Don't Know","Satisfied","Satisfied","Neutral","Neutral","Satisfied","Satisfied","Satisfied","Don't Know","Satisfied","Satisfied","Don't Know","Satisfied","Satisfied","Don't Know","Don't Know","Dissatisfied","Don't Know","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Dissatisfied","Neutral","Don't Know","Don't Know","Dissatisfied","Satisfied","Neutral","Neutral","Neutral","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","false","Yes","Yes","Yes","Yes","No","Yes","Dissatisfied","Satisfied","Dissatisfied","Don't Know","Dissatisfied","Satisfied","Dissatisfied","Don't Know","Don't Know","Don't Know","Very Dissatisfied","Satisfied","Don't Know","Satisfied","Don't Know","Don't Know","Yes",,,,,,,,,,"Own","10","No","Yes",,,,,,,"$30,000 to $59,999","25-34","Male","Graduate degree"
