"year_of_project","type_of_project","total_cost_of_project","incentive_cost_share","council_district","location","state","zip"
"FY2016","Outdoor Classroom Educational  Garden ","995.00","500.00","2","Bordeux","Tennessee","37218"
"FY2016","Soil Erosion control & Water Quality ","4515.00","3612.00","1","Bunea Vista","Tennessee","37218"
"FY2016","Fence Exclusion","8049.84","4423.23","11","Rayon City","Tennessee","37138"
"FY2016","Outdoor Classroom  Educational Garden ","4500.00","2500.00","21","TSU Area 37209","Tennessee","37209"
"FY2016","Roof run-off management","2398.67","1842.75","10","Parkwood-Union Hill","Tennessee","37072"
"FY2016","Erosion control and run-off","8664.43","6707.25","10","Parkwood-Union Hill","Tennessee","37072"
"FY2016","Water Quality Control system ","978.33","648.00","1","Scottsboro","Tennessee","37218"
"FY2016","Soil Erosion control & Water Quality ","8534.25","6137.00","1","Scottsboro","Tennessee","37218"
"FY2016","Soil Erosion control & Water Quality ","9365.00","7492.32","1","Scottsboro","Tennessee","37218"
"FY2016","Soil Erosion control & Water Quality ","8625.00","3612.00","1","Scottsboro","Tennessee","37218"
"FY2016","Soil Erosion control & Water Quality ","9258.00","7493.00","3","Whites Creek","Tennessee","37189"
"FY2016","Soil Erosion control & Water Quality ","9879.00","7430.40","35","Bellevue","Tennessee","37221"
"FY2016","Nutrient Management Plan","3456.00","1800.00","15","Donelson-Hermitage","Tennessee","37214"
"FY2016","Alternative water system;stream crossing Fence Exc.","8632.51","6055.38","11","Old hickory","Tennessee","37138"
"FY2016","Erosion Control Alternative Water system, Fence Exc.","21916.20","14858.65","1","Joelton","Tennessee","37080"
"FY2015","Erosion control","7217.85","5597.4","9","Neelys Bend","Tennessee","37115"
"FY2015","Heavy Use Area & Fence Exclusion","5907.71","4430.78","10","Parkwood-Union Hill","Tennessee","37072"
"FY2015","Rotational Grazing system","30015","24012","1","Scottsboro","Tennessee","37218"
"FY2015","Alternative Water System ","3579.7","2684.78","3","Parkwood-Union Hill","Tennessee","37072"
"FY2015","Water Control Sturcture","43591.25","34873","34","Green Hills-Midtown","Tennessee","37205"
"FY2014","Fence Exclusion","5612.5","4490","35","Whites Bend","Tennessee","37209"
"FY2014","Alternative Water System","4161.43","3121.08","1","Joelton","Tennessee","37072"
"FY2014","Nutrient Management Plan","2270","1816","7","South Inglewood (CCSI)","Tennessee","37214"
"FY2014","Conservation Plan ","17176.84","8208.52","25","Green Hills-Midtown","Tennessee","37204"
"FY2014","Cover crop/ Grass waterway","23109.9","18487.91","11","Donelson-Hermitage","Tennessee","37076"
"FY2014","Fence Exclusion","5863.75","4691","11","Rayon City","Tennessee","37138"
"FY2014","Heavy Use Area/ Erosion control","6988.59","5241.43","11","Rayon City","Tennessee","37138"
"FY2014","Streambank restoration","14977.5","11982","3","Parkwood-Union Hill","Tennessee","37189"
"FY2014","Conservation Plan","17066.97","10352.01","10","Parkwood-Union Hill","Tennessee","37072"
"FY2014","Alternative Water System/Rotational Grazing","12563.02","10050.42","1","Joelton","Tennessee","37080"
"FY2014","Water Run-off Management","2014","1510.5","1","Joelton","Tennessee","37080"
"FY2014","Fence Exclusion","3285.98","2464.48","10","Parkwood-Union Hill","Tennessee","37072"
"FY2013","Forest Plan","2786.4","2229.12","25","Green Hills-Midtown","Tennessee","37189"
"FY2013","Alternative Water System","1896.75","1422.5","35","Bellevue","Tennessee","37221"
"FY2013","Rotational Grazing system /Alternate Water System","13735","10988","22","Bellevue","Tennessee","37221"
"FY2013","Rotational Grazing system /Alternate Water System","8661.12","6495.84","10","Parkwood-Union Hill","Tennessee","37072"
"FY2013","Rotational Grazing system","2270","1873","1","Joelton","Tennessee","37080"
"FY2013","Fence Exclusion & Steam Crossing","6652.5","4576.5","10","Parkwood-Union Hill","Tennessee","37072"
"FY2013","Fence Exclusion","5250","924","9","Neelys Bend","Tennessee","37115"
"FY2013","Rotational Grazing system /Alternate Water System","63970.79","51176.76","1","Scottsboro","Tennessee","37218"
"FY2013","Water Run-off Management","840","630","3","Parkwood-Union Hill","Tennessee","37072"
"FY2013","Rotational Grazing system /Alternate Water System","4934.68","3947.76","3","Parkwood-Union Hill","Tennessee","37072"
"FY2013","Alternative Water System","5051","3788.25","1","Scottsboro","Tennessee","37218"
"FY2013","Alternative Water System","45296.85","3437.48","1","Bells Bend","Tennessee","37218"
