"last_name","first_name","position","district","business_phone","business_address","email_address"
"Shulman","Jim","Vice Mayor and President",,,"1 Public Square, Suite 204, Nashville, TN 37201","Jim.Shulman@nashville.gov"
"Allen","Burkley","Council Member at Large",,"615-432-1343","1 Public Square, Suite 204, Nashville, TN 37201","Burkley.Allen@nashville.gov"
"Glover","Steve","Council Member at Large",,"615-432-1344","1 Public Square, Suite 204, Nashville, TN 37201","Steve.Glover@nashville.gov"
"Hurt","Sharon","Council Member at Large",,"615-432-1342","1 Public Square, Suite 204, Nashville, TN 37201","Sharon.Hurt@nashville.gov"
"Mendes","Bob","Council Member at Large",,"615-432-1341","1 Public Square, Suite 204, Nashville, TN 37201","Bob.Mendes@nashville.gov"
"Suara","Zulfat","Council Member at Large",,"615-432-1345","1 Public Square, Suite 204, Nashville, TN 37201","Zulfat.Suara@nashville.gov"
"Hall","Jonathan B.","Council Member","1","615-432-1301","1 Public Square, Suite 204, Nashville, TN 37201","Jonathan.Hall@nashville.gov"
"Toombs","Kyonzté","Council Member","2","615-432-1302","1 Public Square, Suite 204, Nashville, TN 37201","Kyonzte.Toombs@nashville.gov"
"Gamble","Jennifer","Council Member","3","615-432-1303","1 Public Square, Suite 204, Nashville, TN 37201","Jennifer.Gamble@nashville.gov"
"Swope","Robert","Council Member","4","615-432-1304","1 Public Square, Suite 204, Nashville, TN 37201","Robert.Swope@nashville.gov"
"Parker","Sean","Council Member","5","615-432-1305","1 Public Square, Suite 204, Nashville, TN 37201","Sean.Parker@nashville.gov"
"Withers","Brett A.","Council Member","6","615-432-1306","1 Public Square, Suite 204, Nashville, TN 37201","Brett.Withers@nashville.gov"
"Benedict","Emily","Council Member","7","615-432-1307","1 Public Square, Suite 204, Nashville, TN 37201","Emily.Benedict@nashville.gov"
"VanReece","Nancy","Council Member","8","615-432-1308","1 Public Square, Suite 204, Nashville, TN 37201","Nancy.VanReece@nashville.gov"
"Hancock","Tonya","Council Member","9","615-432-1309","1 Public Square, Suite 204, Nashville, TN 37201","Tonya.Hancock@nashville.gov"
"Young","Zach","Council Member","10","615-432-1310","1 Public Square, Suite 204, Nashville, TN 37201","Zachary.Young@nashville.gov"
"Hagar","Larry","Council Member","11","615-432-1311","1 Public Square, Suite 204, Nashville, TN 37201","Larry.Hagar@nashville.gov"
"Evans","Erin","Council Member","12","615-432-1312","1 Public Square, Suite 204, Nashville, TN 37201","Erin.Evans@nashville.gov"
"Bradford","Russ","Council Member","13","615-432-1313","1 Public Square, Suite 204, Nashville, TN 37201","Russ.Bradford@nashville.gov"
"Rhoten","Kevin","Council Member","14","615-432-1314","1 Public Square, Suite 204, Nashville, TN 37201","Kevin.Rhoten@nashville.gov"
"Syracuse","Jeff","Council Member","15","615-432-1315","1 Public Square, Suite 204, Nashville, TN 37201","Jeff.Syracuse@nashville.gov"
"Welsch","Ginny","Council Member","16","615-432-1316","1 Public Square, Suite 204, Nashville, TN 37201","Ginny.Welsch@nashville.gov"
"Sledge","Colby","Council Member","17","615-432-1317","1 Public Square, Suite 204, Nashville, TN 37201","Colby.Sledge@nashville.gov"
"Cash","Tom","Council Member","18","615-432-1318","1 Public Square, Suite 204, Nashville, TN 37201","Thomas.Cash@nashville.gov"
"O'Connell","Freddie","Council Member","19","615-432-1319","1 Public Square, Suite 204, Nashville, TN 37201","Freddie.OConnell@nashville.gov"
"Roberts","Mary Carolyn","Council Member","20","615-432-1320","1 Public Square, Suite 204, Nashville, TN 37201","marycarolyn.roberts@nashville.gov"
"Taylor","Brandon","Council Member","21","615-432-1321","1 Public Square, Suite 204, Nashville, TN 37201","Brandon.Taylor@nashville.gov"
"Hausser","Gloria","Council Member","22","615-432-1322","1 Public Square, Suite 204, Nashville, TN 37201","Gloria.Hausser@nashville.gov"
"Druffel","Thom","Council Member","23","615-432-1323","1 Public Square, Suite 204, Nashville, TN 37201","Thom.Druffel@nashville.gov"
"Murphy","Kathleen","Council Member","24","615-422-7109","1 Public Square, Suite 204, Nashville, TN 37201","Kathleen.Murphy@nashville.gov"
"Pulley","Russ","Council Member","25","615-432-1325","1 Public Square, Suite 204, Nashville, TN 37201","Russ.Pulley@nashville.gov"
"Johnston","Courtney","Council Member","26","615-432-1326","1 Public Square, Suite 204, Nashville, TN 37201","Courtney.Johnston@nashville.gov"
"Nash","Robert","Council Member","27","615-432-1327","1 Public Square, Suite 204, Nashville, TN 37201","Bob.Nash@nashville.gov"
"Vercher","Tanaka","Council Member","28","615-432-1328","1 Public Square, Suite 204, Nashville, TN 37201","Tanaka.Vercher@nashville.gov"
"Porterfield","Delishia","Council Member","29","615-432-1329","1 Public Square, Suite 204, Nashville, TN 37201","Delishia.Porterfield@nashville.gov"
"Sepulveda","Sandra","Council Member","30","615-432-1330","1 Public Square, Suite 204, Nashville, TN 37201","Sandra.Sepulveda@nashville.gov"
"Rutherford","John","Council Member","31","615-432-1331","1 Public Square, Suite 204, Nashville, TN 37201","John.Rutherford@nashville.gov"
"Styles","Joy","Council Member","32","615-432-1332","1 Public Square, Suite 204, Nashville, TN 37201","Joy.Styles@nashville.gov"
"Lee","Antoinette W.","Council Member","33","615-432-1333","1 Public Square, Suite 204, Nashville, TN 37201","Antoinette.Lee@nashville.gov"
"Henderson","Angie E.","Council Member","34","615-432-1334","1 Public Square, Suite 204, Nashville, TN 37201","Angie.Henderson@nashville.gov"
"Rosenberg","Dave","Council Member","35","615-432-1335","1 Public Square, Suite 204, Nashville, TN 37201","Dave.Rosenberg@nashville.gov"
