"initiated_date","permit","permit_type","permit_description","status","on_street","from_street","to_street","location_address","city","zip","scope","scheduled_start","scheduled_end","permit_applicant_name","council_district","conditions_traffic_control","company","days_to_work","latitude","longitude","mapped_location"
"2022-06-24T14:58:03.000","202223071","EXCAVATION PERMIT","WATER TAP","ACTIVE","1757 16TH AVE N","CENTURY ST","BUCHANNAN ST","1757 16TH AVE N","NASHVILLE","37208","WATER TAP","2022-06-27T00:00:00.000","2022-09-25T00:00:00.000","RYAN BAKER","21","Text the inspector a picture and the permit number at the beginning and end of each work period   Failure to comply with the texting requirements will result in revocation of permit privileges and fines   Notify all impacted property owners of your work, contact the inspector for specifics  If steel plates are utilized during the excavation process, please provide a 24-hour contact number and be able to address any concerns when contacted  Follow MUTCD, Police Visible and Directing traffic when","HARNESS LLC","Monday Tuesday Wednesday Thursday Friday Saturday Sunday,","36.1797933861241","-86.809367857531","POINT (-86.809367857531 36.1797933861241)"
"2022-06-27T14:44:58.000","202223364","SIDEWALK PERMIT","FILMING JILLS VERANDA (JILLS PORCH)","ACTIVE","18TH AVE S","DIVISION ST","WEDGEWOOD AVE","18TH AVE S","NASHVILLE","37212","FILMING JILLS VERANDA (JILLS PORCH)","2022-09-06T00:00:00.000","2022-10-06T00:00:00.000","JUDIT VERGA","17",,"Warner Bros","Monday Tuesday Wednesday Thursday Friday Saturday Sunday,","36.1375386317034","-86.7968365840061","POINT (-86.7968365840061 36.1375386317034)"
"2022-07-15T14:17:02.000","202226120","TRAILER / DUMPSTER PERMIT","3 DIFFERENT DUMPSTERS AT THREE DIFFERENT LOCATIONS","ACTIVE","153 ALY","OLD DIVISION ST","DIVISION ST","153 ALY","NASHVILLE","37203","3 DIFFERENT DUMPSTERS AT THREE DIFFERENT LOCATIONS","2022-07-23T00:00:00.000","2022-09-20T00:00:00.000","MIKE MURPHY","19",,"COMPREHENSIVE SECURITY/MILLCREEK","Monday Tuesday Wednesday Thursday Friday Saturday Sunday,","36.1501990506589","-86.7797119323486","POINT (-86.7797119323486 36.1501990506589)"
"2022-07-26T15:10:45.000","202227636","DRIVEWAY PERMIT","EXPAND EXISTING DRIVEWAY TO COMPLY W/13.12.110","ACTIVE","419B AMERICAN RD","PREMIER DR","THUNDERBIRD DR","419B AMERICAN RD","NASHVILLE","37209","EXPAND EXISTING DRIVEWAY TO COMPLY W/13.12.110","2022-07-21T00:00:00.000","2023-07-20T00:00:00.000","MIKE HARRIS","20",,"Mike Harris","Monday Tuesday Wednesday Thursday Friday Saturday Sunday,","36.1472597651452","-86.8737623156614","POINT (-86.8737623156614 36.1472597651452)"
"2022-08-01T10:53:22.000","202228093","LANE CLOSURE","SWDM-DITCH EXCAV","ACTIVE","UNA ANTIOCH PIKE","BILLINGSGATE RD","PEBBLE CREEK DR","UNA ANTIOCH PIKE","ANTIOCH","37013","SWDM-DITCH EXCAV","2022-08-02T00:00:00.000","2022-10-28T00:00:00.000","MICKEY JACKSON","28",,"METRO WATER","Tuesday Wednesday Thursday Friday Saturday","36.0749376132277","-86.6626188880674","POINT (-86.6626188880674 36.0749376132277)"
"2022-08-08T08:46:57.000","202229082","LANE CLOSURE","REPAIR WATER VALVE","ACTIVE","178 2ND AVE N","COMMERCE ST","CHURCH ST","178 2ND AVE N","NASHVILLE","37201","REPAIR WATER VALVE","2022-08-22T00:00:00.000","2022-09-20T00:00:00.000","MIKE CONNER","19","lane closed maintain two-way traffic  Daylight hours only  Allow local access   Confirm patch with MPW Inspector prior to restoration  Notify all impacted property owners of your work, contact the inspector for specifics","METRO WATER","Monday Tuesday Wednesday Thursday Friday Saturday Sunday,","36.164325140296","-86.776730748825","POINT (-86.776730748825 36.164325140296)"
"2022-08-12T09:57:19.000","202229922","LANE CLOSURE","WATERLINE TIE-IN","ACTIVE","MOUNTAINBROOK CIR","STONE HALL BLVD","HIGHLAND PLACE WAY","MOUNTAINBROOK CIR","HERMITAGE","37076","WATERLINE TIE-IN","2022-09-12T00:00:00.000","2022-09-16T00:00:00.000","JONAH FLIPPO","14","lane closed maintain two-way traffic  Daylight hours only  Allow local access   Confirm patch with MPW Inspector prior to restoration  Notify all impacted property owners of your work, contact the inspector for specifics","Middle Tennessee Infrastructure","Tuesday Wednesday Thursday Friday Saturday","36.1927259854606","-86.6388276935102","POINT (-86.6388276935102 36.1927259854606)"
"2022-09-02T08:21:40.000","202232483","DRIVEWAY PERMIT","DRIVEWAY","ACTIVE","WESTRIDGE CT","RIDGEVIEW CT","CUL-DE-SAC","WESTRIDGE CT","ANTIOCH","37013","DRIVEWAY","2022-09-02T00:00:00.000","2023-09-01T00:00:00.000","ANDRES NUNO","31",,"Andy Masonry Corp","Monday Tuesday Wednesday Thursday Friday Saturday Sunday,","36.0337208654154","-86.7089773488494","POINT (-86.7089773488494 36.0337208654154)"
"2022-09-06T13:29:03.000","202232861","LANE CLOSURE","MOBILE FOOD TRUCK","ACTIVE","DEADERICK ST","2ND AV N","4TH AV N","DEADERICK ST","NASHVILLE","37201","MOBILE FOOD TRUCK","2022-09-06T00:00:00.000","2023-07-31T00:00:00.000","BILLY MCKENZIE","19","Parking of mobile food truck in any of the authorized food truck zones","Rolling with Jelly","Monday Tuesday Wednesday Thursday Friday Saturday Sunday,","36.1662405591285","-86.779409317216","POINT (-86.779409317216 36.1662405591285)"
"2022-09-07T14:26:17.000","202232984","LANE CLOSURE","12 STEEL GAS PIPELINE INSTALLATION","ACTIVE","420 TONEY RD","WHITES CREEK PIKE","MID-BLOCK","420 TONEY RD","NASHVILLE","37207","12 STEEL GAS PIPELINE INSTALLATION","2022-09-12T00:00:00.000","2022-10-01T00:00:00.000","CHRIS TARNICK","2","Same restrictions as before  Text the inspector a picture and the permit number at the beginning and end of each work period   Failure to comply with the texting requirements will result in revocation of permit privileges and fines   Ok per RBR","INFRASOURCE CONSTRUCTION LLC","Tuesday Wednesday Thursday Friday Saturday Sunday,","36.2105648956649","-86.7928454526655","POINT (-86.7928454526655 36.2105648956649)"
