"site_name","site_type","street_address","city","state","zip_code","mapped_location"
"Andrew Jackson Courts","Public Gathering","1457 Jackson Street","Nashville","TN","37208","1457 Jackson Street
Nashville, TN 37208
(36.167733, -86.800501)"
"Antioch Community Center","Regional Community Center","5023 Blue Hole Road","Antioch","TN","37013","5023 Blue Hole Road
Antioch, TN 37013
(36.055271, -86.672392)"
"Azafran Park","Public Gathering","2187 Nolensville Pike","Nashville","TN","37211","2187 Nolensville Pike
Nashville, TN 37211
(36.127313, -86.753363)"
"Beaman Nature Center","Regional Community Center","5911 Old Hickory Blvd","Nashville","TN","37015","5911 Old Hickory Blvd
Nashville, TN 37015
(36.260013, -86.893379)"
"Bellevue Community Center","Regional Community Center","656 Colice Jeanne Road","Nashville","TN","37221","656 Colice Jeanne Road
Nashville, TN 37221
(36.072144, -86.934617)"
"Bellevue Library","Library","720 Baugh Road","Nashville","TN","37221","720 Baugh Road
Nashville, TN 37221
(36.069103, -86.936514)"
"Bells Bend Nature Center","Regional Community Center","4187 Old Hickory Blvd","Nashville","TN","37218","4187 Old Hickory Blvd
Nashville, TN 37218
(36.154655, -86.920344)"
"Ben West Building","Public Gathering","100 James Robertson Pkwy","Nashville","TN","37219","100 James Robertson Pkwy
Nashville, TN 37219
(36.167948, -86.777955)"
"Bordeaux Library","Library","4000 Clarksville Pike","Nashville","TN","37218","4000 Clarksville Pike
Nashville, TN 37218
(36.211613, -86.838764)"
"Centennial Performing Arts Studio","Regional Community Center","2500 West End Avenue","Nashville","TN","37208","2500 West End Avenue
Nashville, TN 37208
(36.146585, -86.809194)"
"Centennial Sportsplex","Public Gathering","222 25th Avenue North","Nashville","TN","37203","222 25th Avenue North
Nashville, TN 37203
(36.150117, -86.81053)"
"Central Police Precinct","Public Gathering","601 Korean Veterans Blvd","Nashville","TN","37203","601 Korean Veterans Blvd
Nashville, TN 37203
(36.15567, -86.777558)"
"Cheatham Place","Public Gathering","1564 9th Ave North","Nashville","TN","37208","1564 9th Ave North
Nashville, TN 37208
(36.178322, -86.798479)"
"Church Street Park","Public Gathering","600 Church St","Nashville","TN","37219","600 Church St
Nashville, TN 37219
(36.162502, -86.781688)"
"Cleveland Community Center","Regional Community Center","610 Vernon Winfrey Avenue","Nashville","TN","37207","610 Vernon Winfrey Avenue
Nashville, TN 37207
(36.18821, -86.761048)"
"Clifford Allen Building","Public Gathering","800 2nd Avenue North","Nashville","TN","37201","800 2nd Avenue North
Nashville, TN 37201
(36.171829, -86.781357)"
