"permit_number","status","permit_type","permit_subtype","sub_type_description","date_entered","date_issued","parcel","business_name","business_owner","address","city","state","zip","council_district","census_tract","mapped_location"
"19-25846","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-01-24T00:00:00.000","2019-06-03T00:00:00.000","16300030200","EXO-TIKKA INDIAN CUSINE",,"5385  MT VIEW RD","ANTIOCH","TN","37013","32","37015629","5385 MT VIEW RD
ANTIOCH, TN 37013
(36.047649, -86.648119)"
"20-26973","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2020-11-12T00:00:00.000","2020-12-28T00:00:00.000","09314003500","ARNOLD'S COUNTRY KITCHEN","Rosario Arnold 100%","605  8TH AVE S","NASHVILLE","TN","37203","19","37019500","605 8TH AVE S
NASHVILLE, TN 37203
(36.151413, -86.779244)"
"16-20340","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2016-05-18T00:00:00.000","2016-09-23T00:00:00.000","09114025000","Las Palmas Mexican Restaurant","Las Palmas Mexican Restaurant Inc, Qurino Onate","5821  Charlotte PIKE","Nashville","TN","37209","20","37018101","5821 Charlotte PIKE
Nashville, TN 37209
(36.149076, -86.863105)"
"20-26841","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2020-07-03T00:00:00.000","2021-04-29T00:00:00.000","08306027500","ROSEPEPPER CANTINA",,"1907  EASTLAND AVE","NASHVILLE","TN","37206","6","37011700","1907 EASTLAND AVE
NASHVILLE, TN 37206
(36.182604, -86.735319)"
"21-27168","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2021-04-13T00:00:00.000","2021-04-29T00:00:00.000","09209016300","TACO CHELA",,"3820  CHARLOTTE AVE  140 B","NASHVILLE","TN","37209","24","37013500","3820 CHARLOTTE AVE 140 B
NASHVILLE, TN 37209
(36.152527, -86.832501)"
"21-27170","ISSUED","BBPERMIT","SPECIAL","BB - Special Events","2021-04-14T00:00:00.000","2021-04-29T00:00:00.000","09314033500","TENNESSEE BREW WORKS CRAWFISH BOIL",,"809  EWING AVE","NASHVILLE","TN","37203","19","37019500","809 EWING AVE
NASHVILLE, TN 37203
(36.150421, -86.775627)"
"T22-27915","TEMPORARY","BBPERMIT","OFFSALES","BB - Off Site Sales","2022-09-06T00:00:00.000",,"16300007700","ZEUS DISCOUNT TOBACCO & BEER & VAPE",,"1135  BELL RD  316","ANTIOCH","TN","37013","32","37019111","1135 BELL RD 316
ANTIOCH, TN 37013
(36.044965, -86.665063)"
"T22-27792","TEMPORARY","BBPERMIT","ONSALES","BB - On Site Sales","2022-06-03T00:00:00.000",,"09306310800","AJ'S GOOD TIME BAR",,"421  BROADWAY","NASHVILLE","TN","37203","19","37019500","421 BROADWAY
NASHVILLE, TN 37203
(36.1607, -86.777976)"
"T22-27521","TEMPORARY","BBPERMIT","OFFSALES","BB - Off Site Sales","2022-01-06T00:00:00.000",,"04900038200","TWICE DAILY/WHITE BISON #6184","Leslie Evans Cherry, Steven Ray Hostetter","3341  WHITES CREEK PIKE","WHITES CREEK","TN","37189","3","37010106","3341 WHITES CREEK PIKE
WHITES CREEK, TN 37189"
"17-00205","ISSUED","BBPERMIT","WHOLESALES","BB - Wholesale, Distributor","2016-11-03T00:00:00.000","2017-07-10T00:00:00.000","09112001600","Fat Bottom Brewing","Fat Bottom Brewing Inc","800  44th AVE N","Nashville","TN","37209","20","37013300","800 44th AVE N
Nashville, TN 37209
(36.157013, -86.839825)"
"21-27140","ISSUED","BBPERMIT","OFFSALES","BB - Off Site Sales","2021-03-24T00:00:00.000","2021-04-30T00:00:00.000","14200015800","7-ELEVEN 41070H","David Seltzer","7070  HIGHWAY 70  S","NASHVILLE","TN","37221","23","37018202","7070 HIGHWAY 70 S
NASHVILLE, TN 37221
(36.074638, -86.920328)"
"19-25920","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2019-03-06T00:00:00.000","2019-06-13T00:00:00.000","11714013900","NASHVILLE CIGAR","686 Bluberry Hill Road","4001  HILLSBORO PIKE","NASHVILLE","TN","37215","25","37017901","4001 HILLSBORO PIKE
NASHVILLE, TN 37215
(36.104329, -86.815039)"
"19-25985","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2019-04-22T00:00:00.000","2019-06-13T00:00:00.000","08305018200","TAILGATE BREWERY EAST NASHVILLE",,"811  GALLATIN AVE","NASHVILLE","TN","37206","6","37011700","811 GALLATIN AVE
NASHVILLE, TN 37206
(36.186415, -86.74721)"
"17-25076","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2017-06-07T00:00:00.000","2018-03-02T00:00:00.000","09111005800","BARE BONES BUTCHER",,"906  51ST AVE N","NASHVILLE","TN","37209","20","37013300","906 51ST AVE N
NASHVILLE, TN 37209
(36.158192, -86.84889)"
"20-26815","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2020-06-10T00:00:00.000","2020-08-27T00:00:00.000","10501008900","MCDOUGAL'S CHICKEN FINGERS & WINGS",,"901  12TH AVE S","NASHVILLE","TN","37203","17","37016300","901 12TH AVE S
NASHVILLE, TN 37203
(36.147073, -86.785805)"
"20-26461","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2020-01-30T00:00:00.000","2020-04-10T00:00:00.000","09310039700","DRURY PLAZA HOTEL NASHVILLE DOWNTOWN",,"300  KOREAN VETERANS BLVD","NASHVILLE","TN","37201","19","37019500","300 KOREAN VETERANS BLVD
NASHVILLE, TN 37201
(36.157191, -86.774733)"
"22-27668","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2022-03-15T00:00:00.000","2022-06-10T00:00:00.000","13005000100","THE IROQUOIS CLUB",,"106 W TYNE DR","NASHVILLE","TN","37209","34","37018500","106 W TYNE DR
NASHVILLE, TN 37209
(36.09696, -86.872936)"
"22-27709","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2022-04-12T00:00:00.000","2022-06-10T00:00:00.000","13315015400","STRIKEOUT WINGZ","Chinar Tucker","3961A  NOLENSVILLE PIKE","NASHVILLE","TN","37211","26","37018901","3961A NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.085296, -86.728535)"
