"fiscal_year_approved","msf_board_action_taken","company_name","municipality","county","project_type","incentive_type","msf_approval_date","award_amount","actual_amount_disbursed","proposed_private_investment_amount","minimum_eligible_investment","verified_eligible_investment","actual_private_investment_attracted_as_reported_to_the_msf","commercial_square_footage_revitalized_added","residential_square_footage_revitalized_added","retail_square_footage_revitalized_added","number_of_residential_units_revitalized_added","status_of_loans_stage","duration_of_economic_assistance_years"
"FY 2012","Executed Agreement","Woodward Theater, LLC ","Detroit","Wayne","New","Loan Participation","2012-04-17T00:00:00.000","750000","750000","11639857","$3,250,000","$3,250,000","$11,880,713","32,000","0","0","0","Monitoring","10"
"FY 2012","Executed Agreement","Ellington WF, LLC (GP Woodward Millennium) ","Detroit","Wayne","New","Grant","2012-06-04T00:00:00.000","1000000","1000000","13847904","$6,433,369","$9,224,378","$12,286,508","0","0","21,506","0","Monitoring","5"
"FY 2012","Executed Agreement","Ionia Ventures, LLC","Grand Rapids","Kent","New","Grant","2012-06-11T00:00:00.000","361500","361500","6138000","$2,000,000","$6,538,609","$6,576,914","12,500","24,000","5,000","25","Monitoring","4"
"FY 2012","Executed Agreement","Arcadia Brewing Company","Kalamazoo","Kalamazoo","New","Grant","2012-06-25T00:00:00.000","575000","575000","1725000","$2,000,000","$2,445,492","$4,020,000","25,500","0","4,500","0","Monitoring","4"
"FY 2012","Executed Agreement","Enmar, LLC","Kalamazoo","Kalamazoo","New","Grant","2012-06-25T00:00:00.000","425000","425000","2740000","$2,200,000","$3,432,517","$4,020,000","25,500","0","4,500","0","Monitoring","4"
"FY 2012","Executed Agreement","313 East Grand River, LLC (Michigan Historic Preservation Network)","Lansing","Ingham","New","Grant","2012-09-24T00:00:00.000","68187","68187","614097","$248,841","$365,723","$639,324","1,859","0","450","0","Monitoring","4"
"FY 2012","Executed Agreement","Uptown RDA, LLC","Flint","Genesee","New","Grant","2012-09-24T00:00:00.000","625000","625000","3099778","$2,668,794","$3,011,974","$3,431,048","22,116","0","0","0","Monitoring","4"
"FY 2012","Executed Agreement","Sherbrooke Land Company, LLC","Detroit","Wayne","New","Grant","2012-09-26T00:00:00.000","599412","599412","2910203","$1,918,119","$2,397,649","$3,126,220","0","19,260","0","14","Monitoring","5"
"FY 2013","Executed Agreement","Shiawassee Center (Owosso Community Players) ","Owosso","Shiawassee","New","Grant","2012-10-23T00:00:00.000","446000","446000","6939496","$3,498,838","$5,533,545","$6,729,000","16,830","0","0","0","Monitoring","14"
"FY 2013","Executed Agreement","Detroit Mutt, LLC ","Detroit","Wayne","New","Grant","2012-10-23T00:00:00.000","38000","0","448414","$125,161","$0","$0","0","0","0","0","Monitoring","0"
"FY 2013","Executed Agreement","614 First Street Partners, LLC ","Grand Rapids","Kent","Relocation","Grant","2012-11-14T00:00:00.000","1000000","1000000","6935000","$4,631,805","$7,573,672","$7,870,346","68,283","0","0","0","Monitoring","4"
"FY 2013","Executed Agreement","Veridea Group ","Marquette","Marquette","New","Loan Participation","2012-11-28T00:00:00.000","1857151","1857151","7882281","$7,428,604","$7,467,100","$6,574,462","28,406","0","0","0","Monitoring","6"
"FY 2013","Executed Agreement","Lofts on Monroe, LLC","Grand Rapids","Kent","New","Grant","2012-12-14T00:00:00.000","475000","475000","2985723","$1,777,600","$2,047,246","$3,025,000","3,100","7,100","3,120","12","Monitoring","5"
"FY 2013","Executed Agreement","833 Michigan Street, LLC ","Grand Rapids","Kent","New","Grant","2012-12-27T00:00:00.000","922552","922552","4956868","$2,952,165","$3,715,234","$5,847,000","11,000","7,500","7,500","8","Monitoring","4"
"FY 2013","Executed Agreement","Whitney Partners, LLC ","Detroit","Wayne","New","Loan; Grant","2013-01-23T00:00:00.000","8500000","1000000","74037141","$34,000,000","$69,984,631","$93,455,412","0","0","7,000","0","Monitoring","10"
"FY 2013","Executed Agreement","Heart of Howell","Howell","Livingston","New","Grant","2013-01-30T00:00:00.000","375868","375868","2122374","$1,503,473","$1,882,343","$2,972,932","17,282","0","3,088","0","Monitoring","6"
"FY 2013","Executed Agreement","1205 West Fulton, LLC ","Grand Rapids","Kent","New","Grant","2013-02-20T00:00:00.000","207190","207190","1022850","$828,762","$1,065,528","$1,022,850","0","0","10,000","0","Monitoring","4"
"FY 2013","Executed Agreement","521, LLC","Spring Lake","Ottawa","New","Grant","2013-02-21T00:00:00.000","70535","70535","369627","$282,138","$352,672","$580,616","3,289","1,894","0","1","Monitoring","5"
"FY 2013","Executed Agreement","Grand Rapids Downtown Market Holdings LLC ","Grand Rapids","Kent","New","Loan Participation","2013-02-27T00:00:00.000","3000000","3000000","27165835","$12,000,000","$22,348,686","$26,818,049","137,200","0","1,200","0","Monitoring","8"
"FY 2013","Executed Agreement","Blue Star 2, LLC","Benton Harbor","Berrien","New","Grant","2013-03-05T00:00:00.000","823250","823250","2939750","$2,634,400","$3,309,204","$4,903,650","5,000","9,845","4,845","8","Monitoring","5"
"FY 2013","Executed Agreement","Gulf Shore Investments, L.L.C. ","Bay City","Bay","New","Grant","2013-03-27T00:00:00.000","1000000","1000000","6727593","$5,339,584","$6,027,092","$7,522,226","14,114","34,928","0","24","Monitoring","5"
"FY 2013","Executed Agreement","Corlin Builders, Inc.","Fenton","Genesee","New","Grant","2013-04-30T00:00:00.000","880000","880000","4299250","$3,484,600","$4,191,599","$4,693,244","0","35,000","12,000","23","Monitoring","6"
"FY 2013","Executed Agreement","The Historic Vogue Theatre of Manistee","Manistee","Manistee","New","Grant","2013-04-30T00:00:00.000","503592","503592","1851232","$1,611,493","$2,121,418","$1,196,011","0","0","6,931","0","Monitoring","7"
"FY 2013","Executed Agreement","Eastern Market Corporation","Detroit","Wayne","Expansion","Grant","2013-05-16T00:00:00.000","1000000","625000","7224030","$4,000,000","$4,045,734","$5,583,000","20,000","0","22,000","0","Monitoring","7"
"FY 2013","Executed Agreement","1212 Griswold Street LLC ","Detroit","Wayne","New","Loan Participation","2013-05-22T00:00:00.000","6000000","6000000","31619260","$24,000,000",,"$35,000,000","44,849","45,609","0","56","Monitoring","5"
"FY 2013","Executed Agreement","HWD Investors, LLC (URC FJ, LLC & Uptown Reinvestment Corporation Inc.) ","Flint","Genesee","New","Equity Investment","2013-06-26T00:00:00.000","5649071","5649071","25004952","$22,596,284","$23,004,774","$30,766,147","60,000","16,000","45,000","16","Monitoring","N/A**"
"FY 2014","Executed Agreement","Wesener LLC ","Owosso","Shiawassee","New","Grant","2014-05-18T00:00:00.000","560000","0","2137783","$1,790,400",,"$586,000","0","0","0","0","Monitoring","6"
"FY 2013","Executed Agreement","Kirco CH Distribution, LLC and Henry Ford Health System ","Detroit","Wayne","New","Grant","2013-06-26T00:00:00.000","1000000","1000000","28866172","$18,237,430","$20,376,283","$26,103,012","0","0","0","0","Monitoring","7"
"FY 2013","Executed Agreement","618 South Main, LLC ","Ann Arbor","Washtenaw","New","Loan","2013-07-24T00:00:00.000","3000000","0","34047208","$12,000,000","$26,187,015","$39,200,000","48,000","130,000","0","164","Monitoring","40"
"FY 2013","Executed Agreement","NewGAR, LLC","Detroit","Wayne","New","Collateral Support","2013-07-24T00:00:00.000","660000","660000","3779000","$2,677,132",,"$5,074,481","0","0","0","0","Monitoring","6"
"FY 2013","Executed Agreement","Harbor Village at Harbor Shores ","St. Joseph","Berrien","New","Grant","2013-07-24T00:00:00.000","900000","0","18802465","$14,336,180","$16,333,477","$25,795,500","66,848","29,249","9,426","67","Monitoring","4"
"FY 2013","Executed Agreement","Ben's 314, LLC","Port Huron","St. Clair","New","Grant","2013-07-25T00:00:00.000","217500","217500","912500","$664,000","$894,177","$1,177,635","0","12,000","8,000","11","Monitoring","6"
"FY 2013","Executed Agreement","609 E Kirby Lofts LLC ","Detroit","Wayne","New","Loan Participation","2013-07-26T00:00:00.000","1000000","1000000","5562627","$4,000,000",,"$5,950,340","0","0","0","0","Monitoring","22"
"FY 2013","Executed Agreement","Dwelling Place of Grand Rapids","Grand Rapids","Kent","New","Grant","2013-08-27T00:00:00.000","293659","293659","1193851","$1,190,000","$1,577,908","$1,577,908","14,500","0","0","0","Monitoring","5"
