"zone","subzone","community","company","projected_investment_1","reported_actual_investment","projected_job_creation_retention_1","reported_current_jobs_2","reported_jobs_transferredto_zone_3","reported_baseline_jobs_at_designation_4","reported_actual_job_creation_retention_5","reported_avg_weekly_wage_of_jobs_created","change_in_taxable_value_tv","change_in_sev","first_year_benefits_received"
"Wayne County ","Midtown Hospital Campus","City of Detroit","VHS of Michigan, Inc. (Vanguard/DMC)","400000000","309500000","None","6957","559","6758","-360","2317","100","100","2011"
"City of Detroit","Southwest/Delray",,"Bridgewater Interiors, LLC","2700000","9503226","17","92","2","282","-192","801","-71.3","-72.400000000000006","2011"
"City of Detroit","Southwest/Delray",,"The John Johnson Company","173000","805795","13","43","0","64","-21","417","-3.5","-10.3","2011"
"Manistee County","Amptech Inc.","City of Manistee","Amptech, Inc. 6","1380000","1118963","40","45","0","48","-3","560","3.7","3.7","2010"
"City of Flint","Downtown-Office-Retail",,"Baker Uptown, LLC 6","5200000","5300000","None","0","0","0","0","885","-52.6","-52.8","2009"
"City of Flint","Downtown-Office-Retail",,"500 Block, LLC 6","20000000","22218247","None","11","11","0","0","832","374.3","374.3","2009"
"Kalamazoo/Battle Creek","BC Tower","City of Battle Creek","The Hinman Company","1050000","1921000","None","305","0","305","0","N/A","8","-0.21","2010"
"City of Saginaw","Central Business District",,"Hamilton Street Development, LLC (fka SSP & Associates, Inc.)(Amended)","6148000","0","12","0","0","0","0","N/A","0","0","2012"
"City of Lansing","Knapp's Centre",,"Eyde Knapp Development, LLC 6","22000000","27993973","None","0","0","0","0","N/A","354","359","2012"
"Wayne County ","Woodward Avenue (Old Hudson's Bldg.)","City of Detroit","1208 Woodward, LLC (Amended)","75000000","0","None","0","0","0","0","N/A","0","0","2012"
"Montcalm/Gratiot","City of Carson City/Township of Bloomer/ Township of North Shade","City of Carson City","DTE Electric Company (fka Renaissance Power, LLC) (Amended)","10000000","19030123","None","8","0","8","0","Not Reported","854.5","155.30000000000001","2012"
"City of Grand Rapids","Wealthy-Eastern-Franklin",,"Wealthy Street Historic Development, LLC 6","650000","842500","None","0","0","0","0","N/A","435.1","509.8","2010"
"Muskegon/Muskegon Heights","Muskegon Mall/Rook Project","City of Muskegon","Parkland Muskegon, LLC 6, 7","4000000","1022892","12","1","0","0","1","Not Reported","-39","9.1999999999999993","2008"
"City of Detroit","Southwest/Delray",,"Boasso America Corporation","1515000","1609410","36","25","0","24","1","948","0","0","2011"
"City of Detroit","Southwest/Delray",,"Renaissance Global Logistics, LLC 6","2000000","6856417","108","120","0","119","1","360","-3.3","-6","2011"
"City of Detroit","Southwest/Delray",,"James Group International, Inc. 6","2000000","6856417","108","120","0","119","1","360","-3.3","-6","2012"
"Manistee County","Eastlake/ Filer/Manistee and Eastlake/Filer/ Manistee II","City of Manistee","American Materials (Reith 
Riley) 6, 7","19400000","11162541","8(ret)
8(cre)","10","0","8","2","1000","988.8","859.6","2009"
"City of Grand Rapids","Grandville",,"Via Design, Inc. ","272000","277000","1","2","0","0","2","882","24.6","30.1","2010"
"City of Detroit","Southwest/Delray",,"Peerless Metal Powders & Abrasive","1200000","1305769","11","35","0","32","3","520","9.9","9.6999999999999993","2012"
