"fiscal_year_approved","company_name","msf_approval_date","municipality","county","project_type","incentive_type","approved_amount","cumulative_amount_disbursed","total_projected_investment","actual_private_investment","new_jobs_committed","actual_new_jobs_created","new_jobs_created_that_are_not_temporary","average_annual_salary_of_new_jobs","other_economic_assistance","status","duration_of_economic_assistance_years"
"2012","Teijin Advanced Composites America Inc. 7","2012-03-15T00:00:00.000","Auburn Hills","Oakland","New","Grant","375000.00","375000.00","7952000.00","0.00","25","22",,,"0.00","Ended","5.97"
"2012","Computerized Facility Integration, LLC 8","2012-03-26T00:00:00.000","Southfield","Oakland","Expansion","Grant","434500.00","110000.00","908400.00","12207012.00","79","20",,,"0.00","Monitoring","8.03"
"2012","Lacks Enterprises, Inc. 15","2012-03-26T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","350000.00","325000.00","31900000.00","102988780.00","120","124","300","$25,168","0.00","Monitoring","5.76"
"2012","Magna Seating of America Inc.","2012-03-26T00:00:00.000","Highland Park","Wayne","Expansion","Grant","732000.00","732000.00","2248000.00","2248000.00","244","263","371","$36,425","0.00","Ended","3.90"
"2012","Hark Orchids LP","2012-04-30T00:00:00.000","Kalamazoo","Kalamazoo","New","Grant","500000.00","375000.00","5000000.00","16858144.00","80","84","47","$24,000","0.00","Monitoring","6.67"
"2012","Huntington Foam Corporation 15","2012-04-30T00:00:00.000","Greenville","Montcalm","Expansion","Grant","340000.00","340000.00","2564000.00","17239831.00","30","30","21","$25,911","0.00","Ended","4.26"
"2012","HCL America Inc. 12","2012-04-30T00:00:00.000","Jackson","Jackson","New","Grant","875000.00","700000.00","3350000.00","960425.00","200","184","247","$50,000","0.00","Monitoring","4.92"
"2012","Muskegon Castings Corp","2012-05-02T00:00:00.000","Muskegon","Muskegon","Expansion","Grant","540000.00","540000.00","10362200.00","25450000.00","55","56","135","$26,000","0.00","Monitoring","4.99"
"2012","MedDirect, Inc.","2012-05-21T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","250000.00","250000.00","2109524.00","2292465.00","100","100","195","$31,200","0.00","Monitoring","5.06"
"2012","Credit Acceptance Corporation","2012-05-23T00:00:00.000","Southfield","Oakland","Expansion","Grant","1750000.00","1750000.00","10218177.00","2600000.00","274","310","325","$50,000","0.00","Monitoring","5.75"
"2012","Sakthi Auto Group USA","2012-05-23T00:00:00.000","Detroit","Wayne","New","Grant","1500000.00","1500000.00","18600000.00","40000000.00","170","172","183","$30,000","0.00","Monitoring","4.86"
"2012","Hyundai-Kia America Technical Center, Inc.","2012-05-23T00:00:00.000","Superior Township","Washtenaw","Expansion","Other","2500000.00","2500000.00","15000000.00","0.00","50","60","66","$70,045","2500000.00","Monitoring","6.00"
"2012","AG Simpson Automotive Systems","2012-05-30T00:00:00.000","Sterling Heights","Macomb","Expansion","Grant","900000.00","900000.00","21200000.00","22383996.00","90","90","307","$34,298","0.00","Ended","5.00"
"2012","FIAMM Technologies, Incorporated","2012-06-13T00:00:00.000","Cadillac","Wexford","Expansion","Grant","500000.00","500000.00","4427875.00","5010408.00","31","35","67","$30,501","0.00","Ended","3.97"
"2012","Quality Edge, Inc.","2012-06-25T00:00:00.000","Walker","Kent","Expansion","Grant","240000.00","240000.00","10478300.00","502110.00","50","53",,,"0.00","Ended","5.11"
"2012","Brose New Boston, Inc.","2012-06-27T00:00:00.000","New Boston","Wayne","Expansion","Grant","3500000.00","3500000.00","61773500.00","36696213.00","350","350","351","$27,118","0.00","Ended","4.69"
"2012","ArcticAx US Ltd 7","2012-06-28T00:00:00.000","Grand Rapids","Kent","New","Grant","220000.00","120000.00","1859500.00","1836342.00","28","9",,,"0.00","Monitoring","5.25"
"2012","Cooper Standard Automotive","2012-07-23T00:00:00.000","Leonard","Oakland","Expansion","Grant","235730.00","128580.00","3546940.00","0.00","55","30","262","$60,000","0.00","Monitoring","4.69"
"2012","Cherry Growers, Incorporated 10","2012-07-25T00:00:00.000","Grawn","Grand Traverse","Expansion","Other","2500000.00","2500000.00","12499760.00","5929456.00","72","0",,,"2500000.00","Monitoring","4.70"
"2012","Materne North America Gogo Squeeze","2012-07-25T00:00:00.000","Grawn","Grand Traverse","Expansion","Other","3000000.00","3000000.00","23472500.00","22521824.00","65","65","163","$41,914","3000000.00","Monitoring","15.70"
"2012","Thai Summit America Corporation","2012-08-09T00:00:00.000","Howell","Livingston","Expansion","Grant","300000.00","300000.00","34987000.00","201180355.00","78","78","498","$36,192","0.00","Monitoring","4.90"
"2012","Pinnacle Foods Corporation/Vlasic Brands","2012-08-15T00:00:00.000","Imlay City","Lapeer","Expansion","Grant","800000.00","800000.00","14331125.00","51680000.00","29","46","71","$40,900","0.00","Ended","3.38"
"2012","Jason Incorporated (dba Janesville Acoustics)","2012-08-22T00:00:00.000","Battle Creek","Calhoun","New","Grant","1500000.00","1500000.00","15050000.00","12700000.00","225","253","251","$27,830","0.00","Monitoring","5.40"
"2012","Mayser Polymer USA Inc.","2012-08-29T00:00:00.000","Canton","Wayne","Expansion","Grant","200000.00","200000.00","3921600.00","4677000.00","50","50","113","$28,261","0.00","Monitoring","5.34"
"2012","Magna Closures - Engineered Glass","2012-09-27T00:00:00.000","Holland","Ottawa","Expansion","Grant","1200000.00","1200000.00","10148304.00","2200000.00","177","207","378","$33,348","0.00","Monitoring","6.26"
"2012","mophie, LLC","2012-09-28T00:00:00.000","Kalamazoo","Kalamazoo","Relocation","Grant","240000.00","240000.00","4010000.00","9457112.00","50","52","51","$36,849","0.00","Monitoring","5.26"
"2012","The Martin-Brower Company LLC","2012-09-28T00:00:00.000","St. Johns","Clinton","Expansion","Grant","500000.00","350000.00","16250000.00","18953782.00","150","126",,,"0.00","Ended","3.51"
"2012","Dieomatic, Inc. 14","2012-09-28T00:00:00.000","Auburn Hills","Oakland","Expansion","Grant","690000.00","360000.00","25861000.00","59045000.00","230","128","201","$40,981","0.00","Monitoring","5.26"
"2013","Continental Automotive Systems","2012-10-22T00:00:00.000","Auburn Hills","Oakland","Expansion","Grant","900000.00","450000.00","1650000.00","0.00","250","100","305","$85,000","0.00","Monitoring","7.36"
"2013","RNFL Acquisition LLC-Biogenic Reagents 8","2012-10-24T00:00:00.000","Gwinn","Marquette","New","Other","2000000.00","2000000.00","16985000.00","7100000.00","27","27",,,"2000000.00","Monitoring","4.34"
"2013","The Armored Group, LLC 11","2012-10-31T00:00:00.000","Dearborn Heights","Wayne","Expansion","Grant","1000000.00","400000.00","1455000.00","5481970.00","240","0","51","$44,054","0.00","Monitoring","5.17"
"2013","Undercar Products Group 14","2012-11-01T00:00:00.000","Wyoming","Kent","Expansion","Grant","475000.00","475000.00","26047023.00","85000.00","150","151","126","$50,000","0.00","Monitoring","4.42"
"2013","Henrob Corporation","2012-11-02T00:00:00.000","New Hudson","Oakland","Expansion","Grant","300000.00","300000.00","68491000.00","0.00","152","154","201","$44,408","0.00","Monitoring","5.16"
"2013","Summit Polymers, Inc.","2012-11-08T00:00:00.000","Portage","Kalamazoo","Expansion","Grant","370000.00","370000.00","9300000.00","22492843.00","70","77","352","$27,318","0.00","Monitoring","4.90"
"2013","Dart Container Corporation","2012-11-28T00:00:00.000","Mason","Ingham","Expansion","Grant","3000000.00","3000000.00","47000000.00","194273752.00","325","551","800","$50,042","0.00","Monitoring","5.65"
"2013","OPS Solutions","2012-12-06T00:00:00.000","Novi","Oakland","Expansion","Grant","400000.00","300000.00","268000.00","1950000.00","25","12","18","$51,000","0.00","Monitoring","7.22"
"2013","Founders Brewing Company","2012-12-19T00:00:00.000","Grand Rapids SW","Kent","Expansion","Other","2000000.00","2000000.00","26000000.00","44700031.00","52","87","145","$45,421","2000000.00","Monitoring","5.23"
"2013","La-Z-Boy, Inc.","2012-12-19T00:00:00.000","Monroe","Monroe","Expansion","Grant","3000000.00","3000000.00","51500000.00","184456021.00","50","72","56","$53,720","0.00","Monitoring","6.03"
"2013","Two Men and A Truck International","2013-01-09T00:00:00.000","Lansing Township","Ingham","Expansion","Grant","350000.00","350000.00","3951900.00","8538676.00","70","76","135","$39,408","0.00","Monitoring","5.08"
"2013","Whirlpool Corporation","2013-01-23T00:00:00.000","Benton Harbor","Berrien","Relocation","Grant","2400000.00","2400000.00","18945000.00","28249848.00","180","180","194","$93,656","0.00","Monitoring","4.44"
"2013","Denso Manufacturing Michigan, Inc.","2013-01-23T00:00:00.000","Battle Creek","Calhoun","Expansion","Grant","1460000.00","1460000.00","105440764.00","476642191.00","266","266","266","$37,964","0.00","Monitoring","5.44"
"2013","Rigaku Innovative Technologies, Inc. 7","2013-01-23T00:00:00.000","Auburn Hills","Oakland","Expansion","Other","2000000.00","2000000.00","55700000.00","0.00","25","0",,,"2000000.00","Monitoring","6.94"
"2013","Denso International America, Inc.","2013-01-23T00:00:00.000","Southfield","Oakland","Expansion","Grant","1540000.00","1540000.00","45700000.00","110598000.00","176","176","222","$85,500","0.00","Monitoring","5.03"
"2013","Moran Iron Works, Incorporated 7","2013-01-23T00:00:00.000","Onaway","Cheboygan","Expansion","Grant","2000000.00","1000000.00","16224911.00","4929942.00","75","35","0","0","0.00","Monitoring","6.03"
"2013","KIRCHHOFF Van-Rob Tecumseh 14","2013-01-23T00:00:00.000","Tecumseh","Lenawee","Expansion","Grant","5300000.00","4300000.00","30682381.00","106673379.00","450","322","337","$30,000","0.00","Monitoring","5.94"
"2013","Dieomatic, Inc.","2013-01-23T00:00:00.000","Battle Creek","Calhoun","Expansion","Grant","1600000.00","664000.00","162072542.00","162072542.00","500","201","274","$43,785","0.00","Monitoring","5.94"
"2013","Norplas Industries, Inc. - Magna 15","2013-01-23T00:00:00.000","Brownstown","Wayne","Expansion","Grant","1250000.00","630000.00","81750485.00","163500970.00","400","393","590","$31,568","0.00","Monitoring","4.44"
"2013","Black & Veatch Corporation","2013-01-25T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","435000.00","265000.00","13488723.00","8947481.00","75","51","56","$80,852","0.00","Monitoring","4.93"
"2013","Baker Industries, Inc. 7","2013-01-29T00:00:00.000","Macomb","Macomb","Expansion","Grant","800000.00","500000.00","9856650.00","18900000.00",,"92",,,"0.00","Ended","4.96"
"2013","Herbruck Poultry Ranch Inc.","2013-02-14T00:00:00.000","Saranac","Ionia","Expansion","Grant","500000.00","500000.00","17150000.00","40756390.00","50","53","205","$28,777","0.00","Monitoring","5.35"
"2013","Lyons Consulting Group","2013-03-01T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","300000.00","300000.00","1142833.00","6072332.00","30","30","30","$100,000","0.00","Monitoring","5.08"
"2013","Challenge Manufacturing Company","2013-03-11T00:00:00.000","Holland","Allegan","Expansion","Grant","1000000.00","1000000.00","10290000.00","2978244.00","180","300",,,"0.00","Ended","4.30"
