"fy_approved","company_name","msf_approval_date","municipality","county","project_type","incentive_type","approved_amount","actual_amount_disbursed","proposed_qualified_investment_attracted","actual_qualified_investment_attracted","committed_number_of_new_jobs","total_projected_jobs","actual_net_new_jobs","new_hires_relocated_to_mi","actual_new_hires_for_period","educational_attainment_less_than_a_high_schooldiploma","educational_attainment_high_school_diploma_or_equivalent","educational_attainment_advanced_training_certificate","educational_attainment_some_colleg","educational_attainment_associate_degree","educational_attainment_bachelor_s_degree","educational_attainment_master_s_degree","educational_attainment_doctorate_degree"
"FY12","Teijin Advanced Composites America Inc.","2012-03-15T00:00:00.000","Auburn Hills","Oaldand","New","Grant","375000.00","150000.00","7952000.00","0.00","25","25","24","2","5","0","1","0","0","0","3","1","0"
"FY12","Magna Seating of America Inc.'","2012-03-26T00:00:00.000","Highland Park","Wayne","Expansion","Grant","732000.00","732000.00","2248000.00","2248000.00","244","244","264","0","264","2","207","0","42","7","5","1","0"
"FY12","Computerized Facility Integration LLC","2012-03-26T00:00:00.000","Southfield","Oakland","Expansion","Grant","434500.00","0.00","908400.00","9075708.00","79","79","17","1","3","0","0","0","1","2","0","0","0"
"FY12","Lacks Enterprises Inc.","2012-03-26T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","350000.00","175000.00","31900000.00","54713963.00","120","148","503","0","104","0","57","6","22","5","14","0","0"
"FY12","HCL America Inc.","2012-04-30T00:00:00.000","Jackson","Jackson","New","Grant","875000.00","300000.00","3350000.00","960425.00","200","300","95","0","95","0","0","0","0","0","93","2","0"
"FY12","Hark Orchids LP","2012-04-30T00:00:00.000","Comstock Charter Township","Kalamazoo","New","Grant","500000.00","250000.00","5000000.00","7771509.00","80","80","50","3","28","0","14","4","7","2","0","1","0"
"FY12","Huntington Foam LLC","2012-04-30T00:00:00.000","Greenville","Montcalm","Expansion","Grant","340000.00","340000.00","2564000.00","7254981.00","30","31","32","1","2","0","2","0","0","0","0",,
"FY12","Muskegon Castings Corp.","2012-05-02T00:00:00.000","Muskegon","Muskegon","Expansion","Grant","540000.00","405000.00","10362200.00","14945000.00","55","65","193","3","223","1","199","0","1","12","7","2","1"
"FY12","MedDirect Inc.","2012-05-21T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","750000.00","250000.00","2109524.00","945600.00","300","319","114","1","52","0","18","7","14","8","4","1","0"
"FY12","Hyundai-Kia America Technical Center Inc.","2012-05-23T00:00:00.000","Superior Township","Washtenaw","Expansion","Grant","2500000.00","2500000.00","15000000.00","0.00","50","50","38","0","38","0","1","0","0","1","22","10","4"
"FY12","Sakthi Auto Group USA Inc.","2012-05-23T00:00:00.000","Detroit","Wayne","New","Grant","1500000.00","1100000.00","18600000.00","15000000.00","170","180","103","21","101","15","20","5","5","20","28","8","0"
"FY12","Credit Acceptance Corporation","2012-05-23T00:00:00.000","Southfield","Oaldand","Expansion","Grant","1750000.00","574830.00","10218177.00","600000.00","274","274","92","0","2","0","2","0","0","0","0","0","0"
"FY12","Access Business Group LLC ""","2012-05-23T00:00:00.000","Ada","Kent","Expansion","Grant","1600000.00","0.00","80950000.00","21000000.00","180","200","64","2","64","0","36","0","20","0","5","3","0"
"FY12","A.G. Simpson (USA) Inc.","2012-05-30T00:00:00.000","Sterling Heights","Macomb","Expansion","Grant","900000.00","750000.00","21200000.00","17737500.00","90","90","75","0","61","0","40","2","10","1","5","3","0"
"FY12","FIAMM Technologies Inc.","2012-06-13T00:00:00.000","Cadillac","Wexford","Expansion","Grant","500000.00","500000.00","4427875.00","5010408.00","31","31","36","0","21","0","18","0","1","0","2","0","0"
"FY12","Quality Edge Inc.","2012-06-25T00:00:00.000","Walker","Kent","Expansion","Grant","310000.00","240000.00","10478300.00","502110.00","70","78","53","0","26","3","7","0","13","1","2","0","0"
"FY12","Brose New Boston Inc.","2012-06-27T00:00:00.000","New Boston","Wayne","Expansion","Grant","3500000.00","2000000.00","61773500.00","31832242.00","350","450","364","8","199","0","199","0","0","0","0","0","0"
"FY12","ArcticAx US Ltd.","2012-06-28T00:00:00.000","Grand Rapids","Kent","New","Grant","220000.00","120000.00","1859500.00","1836342.00","28","28","2","0","2","0","0","0","2","0","0","0","0"
"FY12","Cooper Standard Automotive FHS Inc.","2012-07-23T00:00:00.000","Leonard","Oakland","Expansion","Grant","235730.00","128580.00","3546940.00","0.00","55","55","99","0","22","0","10","1","5","0","5","1","0"
"FY12","Cherry Growers Inc.","2012-07-25T00:00:00.000","Grawn","Grand Traverse","Expansion","Other","2500000.00","2500000.00","12499760.00","5929456.00","72","72","98","0","46","12","21","1","6","1","4","1","0"
