PROJ NUM,PROJ NAME,PROJ CITY,FUND RD CATEGORY,LIHTC AMT REQ,LIHTC AMT AWARD,SELF SCORE,FINAL SCORE,TOTAL UNITS,LIHTC UNITS,PROJ SET ASIDE,OWN CONTACT,PRIOR APP PROJ NUM,GP DEVELOPER,NONPROFIT,MANAGE AGENT,RELATED PARTY 1,RELATED PARTY 2,RELATED PARTY 3,SYNDICATOR,EQUITY RATE,EXTENDED LI USE PERIOD,CONST TYPE,0 BDRM,1 BDRM,2 BDRM,3P BDRM,15 PCT,20 PCT,25 PCT,30 PCT,35 PCT,40 PCT,45 PCT,50 PCT,55 PCT,60 PCT,MKT,PSH UNITS,ELDERLY,FAMILY,TOTAL DEV COST,APP DATE,PROJ DESIGNATION,APP CYCLE,PROJ MIMIMUM SET ASIDE,TYPE OF DEVE,NO BLDGS,ALLOC YEAR,COMMON AREA UNITS,COMMON SQ FT,MKT SQ FT,LIHTC SQ FT,PROJ ADDRESS 1,PROJ ADDRESS 2,PROJ COUNTY,PROJ STATE,PROJ ZIP CODE,OWN NAME,OWN PHONE,OWN CITY,OWN ZIP CODE,PROJ SET ASIDE 1,PROJ SET ASIDE 2,EMAIL,Project Location,Owner Location
G16006,Mather Court,Munising,Special Needs,1083100.00,,149,,40,40,PSH,Amy Lerlie,,"G.A. Haan Development, LLC",Alger Marquette COMM Action Board (AMCAB),"KMG Prestige, INC",Mather Court MM LLC,Cinnaire,,Cinnaire,0.9799,45,Adaptive Reuse,,10,16,14,,,,5,,2,0,0,0,33,0,10,,40,11016466.00,03/31/2016 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,1,46253,,30890,,,Alger,MI,49862,Mather Court Apartments LDHA LLC,,1125 Commerce Drive,,Marquette,,49855,Nonprofit,Distressed,,
A10096,Windjammer Greene,Munising,General,234438.00,0.00,338,,24,24,Rural,David Cooper Jr,,The Woda Group,,Woda Management & Real Estate,Woda Investor Member LLC,Valhalla Michigan Portfolio I Partner LLC,,RBC Capital,0.73,45,Acquisition/Rehab,,12,12,,,,,,,,,,,24,,,,24,2911245.00,12/01/2010 12:00:00 AM,Family,1st Funding Round of Credit Year,40 @ 60,Apartment,2,"3,956",,17568,,,Alger,MI,49862,Windjammer Greene LDHA LP,,"229 Huber Village BLVD, Suite 100",,Westerville,,43081,,,,
Y08088,Allegan Senior Apartment Homes,Allegan,General,229065.00,0.00,139,,24,24,Rural,Gerald Haan,,GA Haan Development LLC,,"KMG Prestige, INC",Gerald A. Haan,Thomas L. Lapka,,Great Lakes Capital Fund,0.76,45,New Construction,,13,11,,,,,2,,,3,9,,10,,,24,,0.00,08/01/2008 12:00:00 AM,Elderly,2nd Funding Round of Credit Year,40 @ 60,Apartment,1,800,,23900,,,Allegan,MI,49010,Allegan Community Senior LDHA LLC,,"380 Franklin Street, Suite 104",PO Box 556,Harbor Springs,,49740,Elderly,Distressed,,
Z09006,Allegan Senior Apartment Homes,Allegan,General,272094.00,0.00,152,,18,18,Elderly,Gerald Haan,Y08088,GA Haan Development LLC,,"KMG Prestige, INC",Gerald A. Haan,,,Great Lakes Capital Fund,0.65,45,New Construction,,10,8,,,,,2,,,3,4,,9,,,18,,0.00,05/01/2009 12:00:00 AM,Elderly,1st Funding Round of Credit Year,40 @ 60,Apartment,1,"3,200",,13416,,,Allegan,MI,49010,Allegan Community Senior LDHA LLC,,"380 Franklin Street, Suite 104",PO Box 556,Harbor Springs,,49740,Rural,Distressed,,
A10090,Allegan Senior Residence,Allegan,General,478817.00,0.00,179,,20,20,Elderly,Peter Jobson,,Excel REalty INvestors 100 LLC,,KMG Prestige INC,Excel-Allegan LLC,Peter Jobson,,RBC Capital Markets,0.73,45,New Construction,,1,19,,,,,2,,5,,2,,11,,,20,,4696375.00,12/01/2010 12:00:00 AM,Elderly,1st Funding Round of Credit Year,40 @ 60,Apartment,1,"7,500",,18000,,,Allegan,MI,49010,Excel-Allegan LDHA LP,,23549 Shaker BLVD,,Shaker Heights,,44122,Rural,,,
C12060,Bridgeport Apartments,Allegan,General,432442.00,0.00,165,,49,49,Preservation,Robert Beale,,Allegan Property Development LLC,,Premier Property Management LLC,Robert Beale,,,The Richman Group Affordable Housing Corp,0.83,45,Acquisition/Rehab,,16,33,,,,,,,,,,,49,,,16,33,5145890.00,08/15/2012 12:00:00 AM,Family & Elderly,1st Funding Round of Credit Year,40 @ 60,Townhome,7,"1,076",,40908,,,Allegan,MI,49010,Bridgeport Community LDHA LLC,,"2325 W. Shiawassee, Suite 205",,Fenton,,48430,Distressed,Rural,,
D13036,Bridgeport Apartments,Allegan,General,447746.00,0.00,153,,49,49,Preservation,Robert Beale,C12060,New Hope Property Development LLC,,Premier Property Management,Premier Property Mgmt & DEV LLC,The Slavik Company,,The Richman Group Affordable Housing Corp,0.81,45,Acquisition/Rehab,,16,27,6,,,,,,,,,,49,,,16,33,5228710.00,02/15/2013 12:00:00 AM,Family & Elderly,2nd Funding Round of Credit Year,40 @ 60,Townhome,7,"1,533",,40995,,,Allegan,MI,49010,Bridgeport Community LDHA LLC,,2325 W. Shiawassee Suite 202,,Fenton,,48430,Distressed,Rural,,
B11059,Bridgeport Square,Allegan,General,672178.00,0.00,186,,50,49,Preservation,Nancy Amstadt,,Shelborne Development,,Premier Property Management,Bridgeport Square GP LLC,Kathy Makino-Leipsitz/Mark Leipsitz,Robert Beale,RBC TAX Credit Equity Group,0.8,45,Acquisition/Rehab,,16,27,6,,,,21,,,,,,27,,5,,49,6923103.00,08/15/2011 12:00:00 AM,Family,1st Funding Round of Credit Year,40 @ 60,Apartment,7,"1,072",,38697,,,Allegan,MI,49010,Bridgeport Square LDHA LP,,8445 East Jefferson Avenue,,Detroit,,48214,Distressed,,,
C12011,Bridgeport Square,Allegan,General,667165.00,0.00,162,,49,48,Preservation,Nancy Amstadt,B11059,Shelborne Development,,Premier Property Management LLC,Bridgeport Square GP LLC,Kathy Makino-Leipsitz,Mark Leipsitz,Great Lakes Capital Fund,0.835,45,Acquisition/Rehab,,16,26,6,,,,21,,,,,,27,,,,48,7009087.00,02/15/2012 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,7,"1,072",,38697,,,Allegan,MI,49010,Bridgeport Square LDHA LP,,8445 East Jefferson Avenue,,Detroit,,48214,Distressed,,,
Y08111,Harbor Village Apartments,Holland,General,11035.00,0.00,,,120,120,Distressed,Gerald A. Krueger,V05056,American Community Developers INC,,Independent Management Services,Harbor Village Partners LLC,Great Lakes Capital Fund for Housing LP XIV,,Great Lakes Capital Fund,0.99,45,Acquisition/Rehab,,40,60,20,,,,,,,,,,,,,,120,0.00,08/01/2008 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,5,"28,720",,104320,,,Allegan,MI,49423,Harbor Village 2005 LLC,,20250 Harper Ave,,Detroit,,48225,,,,
