"subzone","community","company","required_investment","reported_actual_investment","projected_job_creation","projected_job_retention","reported_current_jobs_2","reported_jobs_transferredto_zone_3","reported_baseline_jobs_at_designation_4","reported_actual_job_creation_5","reported_avg_weekly_wage_of_jobs_created","change_in_taxable_value_tv","change_in_sev","first_year_benefits_received"
"Elisha Gray Enterprise Park","Benton Charter Twp.","Whirlpool Corp. ","21538996.00","100243482.00","0","0","413","47","0","366","$750","-8.17","-7.14","2011-01-01T00:00:00.000"
"Miller's Pond","City of Benton Harbor","Whirlpool Corp. ","65325843.00","91564728.00","0","0","1027","713","0","314","$1,710","12.44","96.69","2011-01-01T00:00:00.000"
"Edgewater Redevelopment Area","City of St. Joseph","Whirlpool Corp. ","175000.00","80617931.00","0","0","810","158","0","652","$1,802","-40.1","-39.54","2011-01-01T00:00:00.000"
"Lufkin Rule/Hess Avenue/Fairgrounds","City of Saginaw","Gateway Financial Services, Inc.","1800000.00","2976033.00","30","0","118","0","59","59","$870","-71.4","-68.6","2011-01-01T00:00:00.000"
"Central Business District","City of Saginaw","Hamilton Street Development, LLC (fka SSP & Associates, Inc.)(Amended)","6148000.00","2704754.00","12","0","0","0","0","0","$0","0.0","0.0","2012-01-01T00:00:00.000"
"Central Business District","City of Saginaw","Hausbeck Pickle Company ","1500000.00","4441652.00","0","0","83","0","38","45","$0","762.5","762.5","2011-01-01T00:00:00.000"
"Central Business District","City of Saginaw","Midwest Manufacturing","5700000.00","16110137.00","25","0","43","0","0","43","$588","160.1","30.0","2011-01-01T00:00:00.000"
"Northeast Saginaw Subzone","City of Saginaw","Saginaw Cooperative Hospitals, Inc. ","1500000.00","2255786.00","10","0","37","0","27","10","$2,398","1,220.2","1,294.3","2011-01-01T00:00:00.000"
"Production Engineering Subzone","City of Jackson","Anderton Machining, LLC","0.00","452638.00","30","112","49","0","49","0","$867","Not Reported","Not Reported","2016-01-01T00:00:00.000"
"Production Engineering Subzone","City of Jackson","Alro Steel Corporation - Plastics","1800000.00","4018122.00","10","0","56","0","31","25","$725","1,990.7","1,989.8","2013-01-01T00:00:00.000"
"Southwest/Delray","City of Detroit, Wayne County","Bridgewater Interiors","2700000.00","12355519.00","17","282","166","4","142","20","$823","-75.3","-77.4","2011-01-01T00:00:00.000"
"Livernois/Intervale","City of Detroit","DCI Aerotech","5000000.00","9219763.00","20","44","80","36","44","0","$720","226.0","219.6","2010-01-01T00:00:00.000"
"Lynch Rd. Subzone","City of Detroit, Wayne County","Detroit Chassis, LLC","2000000.00","3581972.00","80","80","235","0","80","155","$650","-26.3","-26.3","2010-01-01T00:00:00.000"
"Southwest/Delray","City of Detroit","James Group International","2000000.00","10390499.00","108","106","95","0","119","-24","$480","-38.1","-16.7","2011-01-01T00:00:00.000"
"Southwest/Delray","City of Detroit, Wayne County","PTDC Properties, LLC f/k/a Peerless Metal Powders & Abrasives","1200000.00","1444267.00","11","0","33","0","32","1","$520","-22.8","-23.0","2012-01-01T00:00:00.000"
"Southwest/Delray","City of Detroit, Wayne County","Waterfront Petroleum Terminal Company","2668500.00","2850905.00","5","0","17","2","7","8","$1,410","-14.4","-14.4","2012-01-01T00:00:00.000"
"Downtown-Office-Retail","City of Flint","500 Block, LLC ","20000000.00","22828936.00","0","0","11","0","0","11","$600","374.3","374.3","2009-01-01T00:00:00.000"
"Downtown-Office-Retail","City of Flint","Baker Uptown, LLC ","5200000.00","5300000.00","42","35",,"0","0",,"$885","60.0","60.0","2009-01-01T00:00:00.000"
"Downtown-Office-Retail","City of Flint","Community First, LLC ","3000000.00","3176000.00","0","0","34","0","0","34","Not Reported","108.9","108.9","2009-01-01T00:00:00.000"
"Historic-Industrial-Housing","City of Flint","River City Developments, LLC and Rogers Foam Corporation","100000.00","3059000.00","15","0","12","0","0","12","$794","236.3","245.7","2009-01-01T00:00:00.000"
"Historic-Industrial-Housing","City of Flint","General Motors ","5000000.00","35471309.00","0","267","410","212","267","-69","$1,437","-84.2","-81.7","2009-01-01T00:00:00.000"
"Great Lakes Medical Complex","City of Flint","IINN, Inc.","18000000.00","9207486.00","100","20","215","0","20","195","$742","Not Reported","Not Reported","2011-01-01T00:00:00.000"
"Great Lakes Medical Complex","City of Flint","Diplomat Specialty Pharmacy, LLC ","9900000.00","16110384.00","1039","269","1293","27","269","997","$761","-21.1","-21.1","2011-01-01T00:00:00.000"
"Furniture Center ","City of Grand Rapids","607 Dewey, LLC (True North) ","1900000.00","1987898.00","0","0","40","2","0","38","$1,150","721.6","532.9","2010-01-01T00:00:00.000"
"Furniture Center","City of Grand Rapids","American Seating ","0.00","2605339.00","0","0","138","23","78","37",,"-55.7","-57.4","2009-01-01T00:00:00.000"
"Furniture Center","City of Grand Rapids","Hotel Holdings Monroe ","0.00","3658160.00","0","0","0","0","0","0","$0","152.2","153.4","2009-01-01T00:00:00.000"
"Furniture Center","City of Grand Rapids","Seventh Street Properties, LLC ","0.00",,,,,,,,,,,"2009-01-01T00:00:00.000"
"Grandville","City of Grand Rapids","Via Design, Inc. ","272000.00","277000.00","1","0","2","0","0","2","$890","25.3","25.8","2010-01-01T00:00:00.000"
"Wealthy-Eastern-Franklin","City of Grand Rapids","Wealthy Street Historic Development, LLC ","650000.00","842500.00","0","0","0","0","0","0","$400","454.0","711.0","2010-01-01T00:00:00.000"
"Ottawa Station","City of Lansing","Phoenix Development Partners, LLC & Accident Fund ","94000000.00","156171184.00","0","0","666","155","490","21","$1,320","1,218.3","1,602.6","2010-01-01T00:00:00.000"
"Knapp's Centre","City of Lansing","Eyde Knapp Development, LLC ","22000000.00","29459544.00","0","0","229","25","0","204","$1,829","489.8","599.3","2012-01-01T00:00:00.000"
"Midlink Bus. Pk.","Township of Comstock","Kaiser Aluminum Fabricated Products, LLC ","50000000.00","185137882.00","150","0","180","12","14","154","$952","1,948.0","1,969.9","2010-01-01T00:00:00.000"
"BC Tower","City of Battle Creek","The Hinman Company","1050000.00","2246000.00","0","0","305","0","305","0","$0","10.9","22.3","2010-01-01T00:00:00.000"
"Eastlake/ Filer/Manistee and Eastlake/Filer/ Manistee II","City of Manistee","American Materials (Reith 
Riley) ","0.00","11843332.00","0","0","13","3","8","2","$1,000","895.3","777.22","2009-01-01T00:00:00.000"
"Amptech Inc.","City of Manistee","Amptech, Inc. ","1380000.00","2010356.00","40","0","51","0","48","3","Not Reported","-0.75","-0.75","2010-01-01T00:00:00.000"
"Township of LeRoy","Township of LeRoy","Acme Pallet, Inc. ","3150000.00","5355648.00","10","0","21","0","0","21","$400","9,888.6","6,836.9","2011-01-01T00:00:00.000"
"City of Carson City","Carson City","DTE Electric Company","10000000.00","19030123.00","0","0","8","1","8","-1","$0","41.6","25.7","2012-01-01T00:00:00.000"
"Howard City/Pierson Twp./Reynolds Twp.","Pierson Township","Northern Cable and Automation, LLC DBA Flex-Cable","222000.00","1568203.00","26","0","45","0","31","14","$450","-20.0","-29.2","2011-01-01T00:00:00.000"
"Village of Edmore","Village of Edmore","Specialty Lifting Equipment, Inc.","302000.00","723915.00","6","0","25","0","15","10","$800","3.0","3.0","2009-01-01T00:00:00.000"
"Muskegon Mall/Rook Project","City of Muskegon","Parkland Muskegon, LLC ","0.00","1492773.00",,,,,,,"Did Not Report","-88.4","-71.6","2008-01-01T00:00:00.000"
"Former Muskegon Mall","City of Muskegon","Heritage Square Development, LLC ","0.00","3172236.00","0","0","7","2","0","5","$820","963.4","728.7","2009-01-01T00:00:00.000"
"Midtown Hospital Campus","Wayne County","VHS of Michigan, Inc. (Vanguard/DMC)","400000000.00","401032095.00","0","12000","6418","705","6758","-1045","$2,352","Not Reported","Not Reported","2011-01-01T00:00:00.000"
"Woodward Avenue (Old Hudson's Bldg.)","Wayne County","1208 Woodward, LLC ","75000000.00","12517986.00","0","0","0","0","0","0","$0","0","0","2012-01-01T00:00:00.000"
