"fy","company_name","municipality","county","project_type","incentive_type","msfapprovaldate","award_amount","actual_am0untdi5bur5ed","proposedt0tal_pr0jectinve5tment","proposed_private_investment_amount","actual_privateinve5tmentattracted","commercial_5q_footage_revitalized_added","residential_5q_footage_revitalized_added","retail_5q_f00tage_revitalized_added","number_0f_re5idential_unit5_revitalized_added","pr0jectedreturn_0ninve5tment","actualreturn_0ninve5tment","msf_board_action_taken"
"2012","Sherbrooke Land Company LLC","Detroit","Wayne","New","Grant","2012-09-26T00:00:00.000","599412","599412","3509615","2910203","$3,126,220","0","19,260","0","14","10%","9%","Agreement Executed"
"2012","Ellington WF LLC
(GP Woodward Millennium)*","Detroit","Wayne","New","Grant","2012-06-04T00:00:00.000","1000000","1000000","14847904","13847904","$12,286,508","0","0","21,506","0","11%","5%","Agreement Executed"
"2012","Ionia Ventures LLC","Grand Rapids","Kent","New","Grant","2012-06-11T00:00:00.000","361500","361500","6499500","6138000","$6,576,914","12,500","24,000","5,000","25","12%","9%","Agreement Executed"
"2012","Arcadia Brewing Company","Kalamazoo","Kalamazoo","New","Grant","2012-06-25T00:00:00.000","575000","0","2300000","1725000","$4,020,000","25,500","0","4,500","0",,,"Agreement Executed"
"2012","Woodward Theater LLC*","Detroit","Wayne","New","Loan participation","2012-04-17T00:00:00.000","750000","750000","12389857","11639857","$11,880,713","32,000","0","0","0","34%","0%","Agreement Executed"
"2012","Enmar LLC","Kalamazoo","Kalamazoo","New","Grant","2012-06-25T00:00:00.000","425000","0","3165000","2740000","$4,020,000","25,500","0","4,500","0",,,"Agreement Executed"
"2012","313 East Grand River LLC (Michigan Historic Preservation Network)","Lansing","Ingham","New","Grant","2012-09-24T00:00:00.000","68187","68187","682284","614097","$639,324","1,859","0","450","0","1%","6%","Agreement Executed"
"2012","Uptown RDA LLC","Flint","Genesee","New","Grant","2012-09-24T00:00:00.000","625000","0","3724778","3099778","$3,431,048","22,116","0","0","0",,,"Agreement Executed"
"2013","Heart of Howell","Howell","Livingston","New","Grant","2013-01-30T00:00:00.000","375868","0","2498242","2122374","$2,372,932","17,282","0","3,088","0",,,"Agreement Executed"
"2013","1205 West Fulton LLC*","Grand Rapids","Kent","New","Grant","2013-02-20T00:00:00.000","207190","207190","1230040","1022850","$1,022,850","0","0","10,000","0","6%","16%","Agreement Executed"
