"zone","subzone","community","company","projected_investment","reported_actual_investment","projected_job_creation_retention","reported_current_jobs","reported_jobs_transferredto_zone","reported_baseline_jobs_at_designation","reported_actual_job_creation_retention","reported_avg_weekly_wage_of_jobs_created","change_in_taxable_value_tv","change_in_sev","first_year_benefits_received"
"Berrien County/City of Benton Harbor/Benton Twp. ","Miller's Pond","City of Benton Harbor","Whirlpool Corp. ","$65,325,843","$65,216,662","868","762","630","0","132","$1,697","12.3","75.599999999999994","2011"
"Berrien County/City of Benton Harbor/Benton Twp. ","Elisha Gray","Charter Township of Benton","Whirlpool Corp. ","$21,538,996","$32,300,000","None","412","49","0","363","$729","-3.6","-3.6","2011"
"Berrien County/City of Benton Harbor/Benton Twp. ","Edgewater Redevelopment","Charter Township of Benton","Whirlpool Corp. ","$175,000","$79,682,116","None","797","186","0","611","$1,764","-3.8","-3.7","2011"
"Border ","Village of Middleville ","Village of Middleville","ChemQuest, Inc. ","$250,000","$1,410,658","22","13","0","9","4","$1,527","6.3","19.9","2012"
"City of Saginaw","Lufkin Rule/Hess Avenue/Fairgrounds",,"Hausbeck Pickle Company ","$1,500,000","$3,942,213","None","105","37","38","30","$600","4,806.7","4,806.7","2011"
"City of Saginaw","Northeast Saginaw",,"Midwest Manufacturing","$5,700,000","$7,711,675","25","36","0","0","36","$546","180.5","40.299999999999997","2011"
"City of Saginaw","Central Business District",,"Gateway Financial Services, Inc.","$1,800,000","$2,748,398","30","114","0","59","55","$952","-65.8","-63.8","2011"
"City of Saginaw","Central Business District",,"Saginaw Cooperative Hospitals, Inc. ","$1,500,000","$2,255,786","10","37","0","27","10","$493","1,216.3","1,217.7","2011"
"City of Saginaw","Central Business District",,"Hamilton Street Development, LLC (fka SSP & Associates, Inc.)(Amended)","$6,148,000","$430,997","12","0","0","0","0","N/A","0","0","2012"
"City/County of Jackson","Production Engineering Subzone","City of Jackson","Alro Steel Corporation","$1,800,000","$4,018,122","10","51","0","31","20","$711","1,988.9","1,994.6","2013"
"City/County of Jackson","Production Engineering Subzone","City of Jackson","Production Engineering, Inc./ Anderton Machining, LLC ","$11,200,000","Not Reported","68",,,,,"Not Reported","Not Reported","Not Reported","2009"
"City of Detroit","Lynch Road",,"Detroit Chassis, LLC ","$2,000,000","$3,454,633","80","201","0","80","121","$593","-25.4","-25.4","2010"
"City of Detroit","Livernois/Intervale",,"Detroit Chrome, Inc. (dba DCI Aerotech)","$5,000,000","$7,714,640","20","72","0","44","28","$720","624.9","610.5","2010"
"City of Detroit","Southwest/Delray",,"Boasso America Corporation ","$1,515,000","$1,613,110","36","27","0","24","3","$961","-7.1","43","2011"
"City of Detroit","Southwest/Delray",,"Bridgewater Interiors, LLC","$2,700,000","$10,529,854","17","110","4","282","-176","$764","-70.099999999999994","-73.2","2011"
"City of Detroit","Southwest/Delray",,"The John Johnson Company","$173,000","$805,795","Did Not Report",,,,,,,,"2011"
"City of Detroit","Southwest/Delray",,"Waterfront Petroleum Terminal Co.","$2,668,500","$2,660,216","5","19","2","7","10","$1,675","-7.3","-7.3","2012"
"City of Detroit","Southwest/Delray",,"James Group International, Inc. ","$2,000,000","$7,174,980","108","87","0","119","-32","$440","-38.200000000000003","-36.299999999999997","2012"
"City of Detroit","Southwest/Delray",,"Peerless Metal Powders & Abrasive","$1,200,000","$1,392,579","11","35","0","32","3","$520","6.8","6.6","2012"
"City of Flint","Downtown-Office-Retail",,"500 Block, LLC ","$20,000,000","$22,828,936","None","11","11","0","0","$832","374.3","374.3","2009"
"City of Flint","Downtown-Office-Retail",,"Baker Uptown, LLC ","$5,200,000","$5,300,000","None","0","0","0","0","$885","60","60","2009"
"City of Flint","Downtown-Office-Retail",,"Community First, LLC ","$3,000,000","$3,176,000","None","34","30","0","4","$885","108.9","108.9","2009"
"City of Flint","Historic-Industrial-Housing",,"River City Developments, LLC and Rogers Foam Corporation","$350,000","$3,059,000","15","8","0","0","8","$798","305.4","305.4","2009"
"City of Flint","Historic-Industrial-Housing",,"General Motors ","$5,000,000","$34,590,832","50","438","238","192","8","$1,441","-51.3","-49.8","2009"
"City of Flint","University Park",,"Genesee Packaging, Inc. ","$600,000","$480,230","40","60","0","18","42","$380","-6.9","-24.8","2011"
"City of Flint","Great Lakes Medical Complex",,"IINN, Inc.","$18,000,000","$8,627,486","100","143","0","20","123","$742","Not Reported","Not Reported","2011"
"City of Flint","Great Lakes Medical Complex",,"Diplomat Specialty Pharmacy, LLC ","$9,900,000","$14,507,218","1,039","1204","27","269","908","$759","-21.1","-21.1","2011"
"City of Grand Rapids","Furniture Center ",,"American Seating ","$0","$1,913,115","0","154","23","78","53","$724","-39.6","-41.9","2009"
"City of Grand Rapids","Furniture Center",,"Hotel Holdings Monroe ","$37,200,000","$3,658,160","150","9","0","0","9","Not Reported","152.19999999999999","153.30000000000001","2009"
"City of Grand Rapids","Furniture Center",,"Seventh Street Properties, LLC ","Did Not Report - No Reporting Requirements","Did Not Report - No Reporting Requirements","Did Not Report - No Reporting Requirements",,,,,"Did Not Report - No Reporting Requirements","Did Not Report - No Reporting Requirements","Did Not Report - No Reporting Requirements","2009"
"City of Grand Rapids","Furniture Center",,"607 Dewey, LLC (True North) ","$1,900,000","$1,987,898","None","43","1","0","42","$1,150","719.2","528.5","2010"
"City of Grand Rapids","Grandville",,"Via Design, Inc. ","$272,000","$277,000","1","2","0","0","2","$890","28.0","38.6","2010"
"City of Grand Rapids","Wealthy-Eastern-Franklin",,"Wealthy Street Historic Development, LLC ","$650,000","$842,500","None","0","0","0","0","N/A","452.31","547.92999999999995","2010"
"City of Lansing","Ottawa Station",,"Phoenix Development Partners, LLC & Accident Fund ","$94,000,000","$151,313,399","None","598","16","490","92","$1,214","1,215.0","1,500.0","2010"
"City of Lansing","Knapp's Centre",,"Eyde Knapp Development, LLC ","$22,000,000","$29,459,544","None","0","0","0","0","N/A","488","550.4","2012"
"Kalamazoo/Battle Creek","Midlink Bus. Pk.","Township of Comstock","Kaiser Aluminum Fabricated Products, LLC ","$50,000,000","$182,074,120","150","194","12","14","168","$979","2,246.0","2,252.3","2010"
"Kalamazoo/Battle Creek","BC Tower","City of Battle Creek","The Hinman Company","$1,050,000","$2,246,000","None","305","0","305","0","N/A","0.71","14.1","2010"
"Manistee County","Eastlake/ Filer/Manistee and Eastlake/Filer/ Manistee II","City of Manistee","American Materials (Reith 
Riley) ","$19,400,000","$11,622,475","8","11","3","8","0","$1,000","988.8","859.6","2009"
"Manistee County","Amptech Inc.","City of Manistee","Amptech, Inc. ","$1,380,000","$1,853,708","40","43","0","48","-5","Not Reported","2.1","2.1","2010"
"Mid-Michigan Economic Growth Corridor","Township of LeRoy","Township of LeRoy","Acme Pallet, Inc. ","$3,150,000","$4,940,809","10","23","0","0","23","$400","11,704.0","8,097.7","2011"
"Montcalm/Gratiot Counties","Village of Edmore","Village of Edmore","Specialty Lifting Equipment, Inc. (formerly Apiaries & Orchard, Inc.)","$302,000","$723,915","6","28","0","15","13","$800","3.0","3.0","2009"
"Montcalm/Gratiot Counties","City of Howard/Township of Pierson/Township of Reynolds","Township of Pierson","Flex-Cable","$222,000","$1,568,203","26","64","0","31","33","$450","64.9","48.3","2011"
"Montcalm/Gratiot Counties","City of Carson City/Township of Bloomer/ Township of North Shade","City of Carson City","DTE Electric Company (fka Renaissance Power, LLC) (Amended)","$10,000,000","$19,030,123","None","9","0","8","1","Not Reported","2.6","33.4","2012"
"Muskegon/Muskegon Heights","Muskegon Mall/Rook Project","City of Muskegon","Parkland Muskegon, LLC ","$4,000,000","$1,307,794","12","0","0","0","0","$0","-46.0","71.2","2008"
"Muskegon/Muskegon Heights","Former Muskegon Mall","City of Muskegon","Heritage Square Development, LLC ","$5,000,000","$2,591,304","12","6","1","0","5","$640","524.4","641.4","2009"
"Wayne County ","Midtown Hospital Campus","City of Detroit","VHS of Michigan, Inc. (Vanguard/DMC)","$400,000,000","$327,965,339","None","5894","774","6758","-1638","$1,104","100.0","100.0","2011"
"Wayne County ","Woodward Avenue (Old Hudson's Bldg.)","City of Detroit","1208 Woodward, LLC (Amended)","$75,000,000","$11,000,000","None","0","0","0","0","N/A","0","0","2012"
"Military","K.I. Sawyer","Township of Forsyth","Frontier Medical Devices, Inc. ","$2,400,000","$1,500,000","12","11","0","0","11","$669","Not Reported","Not Reported","2011"
"Military","K.I. Sawyer","Township of Forsyth","RNFL Acquisitions (d.b.a. Michigan Renewable Carbon) ","$16,000,000","$27,152,289","27","33","0","14","19","$673","38.5","56.8","2009"
