"fiscal_year_approved","company_name","msf_approval_date","municipality","county","project_type","incentive_type","approved_amount","cumulative_amount_disbursed","total_projected_investment_1","actual_private_investment_2","new_jobs_committed_3","actual_new_jobs_created_4","new_jobs_created_that_are_not_temporary_5","average_annual_salary_of_new_jobs","other_economic_assistance","status_of_loans_stage","duration_of_economic_assistance_years"
"2012","Magna Seating of America Inc.","2012-03-26T00:00:00.000","Highland Park","Wayne","Expansion","Grant","732000","732000","2248000","2248000","244","263","284","36025","0","Monitoring","3.90"
"2015","3Con Corporation","2015-02-26T00:00:00.000","Wixom","Oakland","New","Grant","550000","0","6417500","0","136","0","6","45000","0","Monitoring","5.02"
"2012","Lacks Enterprises, Inc.","2012-03-26T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","350000","325000","31900000","70988780","120","124","397","25168","0","Monitoring","5.77"
"2012","Computerized Facility Integration, LLC","2012-03-26T00:00:00.000","Southfield","Oakland","Expansion","Grant","434500","110000","908400","12207012","79","20","30","60682","0","Monitoring","8.03"
"2012","Huntington Foam Corporation","2012-04-30T00:00:00.000","Greenville","Montcalm","Expansion","Grant","340000","340000","2564000","12047998","30","30","31","24660","0","Monitoring","4.26"
"2012","Hark Orchids LP","2012-04-30T00:00:00.000","Kalamazoo","Kalamazoo","New","Grant","500000","250000","5000000","9158144","80","50","42","26000","0","Monitoring","6.67"
"2012","HCL America Inc. ","2012-04-30T00:00:00.000","Jackson","Jackson","New","Grant","875000","700000","3350000","960425","200","100","95","75000","0","Monitoring","4.92"
"2012","Muskegon Castings Corp.","2012-05-02T00:00:00.000","Muskegon","Muskegon","Expansion","Grant","540000","540000","10362200","18410000","55","56","160","25116","0","Monitoring","5.00"
"2012","MedDirect, Inc.","2012-05-21T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","250000","250000","2109524","1462465","100","100","138","27040","0","Monitoring","5.06"
"2012","Hyundai-Kia America Technical Center, Inc.","2012-05-23T00:00:00.000","Superior Township","Washtenaw","Expansion","Other","2500000","2500000","15000000","0","50","5","39","74247","2500000","Monitoring","6.01"
