"fiscal_year_approved","company_name","municipality","county","project_type","incentive_type","msf_approval_date","award_amount","actual_amount_disbursed","proposed_private_investment_amount","minimum_eligible_investment","verified_eligible_investment","actual_private_investment_attracted_as_reported_to_the_msf","commercial_square_footage_revitalized_added","residential_square_footage_revitalized_added","retail_square_footage_revitalized_added","number_of_residential_units_revitalized_added","status","duration_of_economic_assistance_years"
"FY 2012","Woodward Theater, LLC ","Detroit","Wayne","New","Other","2012-04-17T00:00:00.000","750000.00","750000.00","11639857.00","$3,250,000","$3,250,000","$11,880,713","32,000","0","0","0","Monitoring","10"
"FY 2012","Ellington WF, LLC (GP Woodward Millennium) ","Detroit","Wayne","New","Grant","2012-06-04T00:00:00.000","1000000.00","1000000.00","13847904.00","$6,433,369","$9,224,378","$12,286,508","0","0","21,506","0","Monitoring","5"
"FY 2012","Ionia Ventures, LLC","Grand Rapids","Kent","New","Grant","2012-06-11T00:00:00.000","361500.00","361500.00","6138000.00","$2,000,000","$6,538,609","$6,576,914","12,500","24,000","5,000","25","Monitoring","4"
"FY 2012","Arcadia Brewing Company","Kalamazoo","Kalamazoo","New","Grant","2012-06-25T00:00:00.000","575000.00","575000.00","1725000.00","$2,000,000","$2,445,492","$4,229,000","25,500","0","4,500","0","Monitoring","4"
"FY 2012","Enmar, LLC","Kalamazoo","Kalamazoo","New","Grant","2012-06-25T00:00:00.000","425000.00","425000.00","2740000.00","$2,200,000","$3,432,517","$4,020,000","25,500","0","4,500","0","Monitoring","4"
"FY 2012","313 East Grand River, LLC (Michigan Historic Preservation Network)","Lansing","Ingham","New","Grant","2012-09-24T00:00:00.000","68187.00","68187.00","614097.00","$248,841","$365,723","$639,324","1,859","0","450","0","Monitoring","4"
"FY 2012","Uptown RDA, LLC","Flint","Genesee","New","Grant","2012-09-24T00:00:00.000","625000.00","625000.00","3099778.00","$2,668,794","$3,011,974","$3,431,048","22,116","0","0","0","Monitoring","4"
"FY 2012","Sherbrooke Land Company, LLC","Detroit","Wayne","New","Grant","2012-09-26T00:00:00.000","599412.00","599412.00","2910203.00","$1,918,119","$2,397,649","$3,126,220","0","19,260","0","14","Monitoring","5"
"FY 2013","Shiawassee Center (Owosso Community Players) ","Owosso","Shiawassee","New","Grant","2012-10-23T00:00:00.000","446000.00","446000.00","6939496.00","$3,498,838","$5,533,545","$6,729,000","16,830","0","0","0","Monitoring","14"
"FY 2013","Detroit Mutt, LLC ","Detroit","Wayne","New","Grant","2012-10-23T00:00:00.000","38000.00","0.00","448414.00","$125,161","$0","$0","0","0","0","0","Monitoring","0"
"FY 2013","614 First Street Partners, LLC ","Grand Rapids","Kent","Relocation","Grant","2012-11-14T00:00:00.000","1000000.00","1000000.00","6935000.00","$4,631,805","$7,573,672","$8,120,346","68,283","0","0","0","Monitoring","4"
"FY 2013","Veridea Group ","Marquette","Marquette","New","Other","2012-11-28T00:00:00.000","1857151.00","1857151.00","7882281.00","$7,428,604","$7,467,100","$738,207","28,406","0","0","0","Monitoring","6"
"FY 2013","Lofts on Monroe, LLC","Grand Rapids","Kent","New","Grant","2012-12-14T00:00:00.000","475000.00","475000.00","2985723.00","$1,777,600","$2,047,246","$3,025,000","3,100","7,100","3,120","12","Monitoring","5"
"FY 2013","833 Michigan Street, LLC ","Grand Rapids","Kent","New","Grant","2012-12-27T00:00:00.000","922552.00","922552.00","4956868.00","$2,952,165","$3,715,234","$5,847,000","11,000","7,500","7,500","8","Monitoring","4"
"FY 2013","Whitney Partners, LLC ","Detroit","Wayne","New","Loan; Grant","2013-01-23T00:00:00.000","8500000.00","1000000.00","74037141.00","$34,000,000","$69,984,631","$93,455,412","0","0","7,000","0","Ended","10"
"FY 2013","Heart of Howell","Howell","Livingston","New","Grant","2013-01-30T00:00:00.000","375868.00","375868.00","2122374.00","$1,503,473","$1,882,343","$1,967,000","17,282","0","3,088","0","Monitoring","6"
"FY 2013","1205 West Fulton, LLC ","Grand Rapids","Kent","New","Grant","2013-02-20T00:00:00.000","207190.00","207190.00","1022850.00","$828,762","$1,065,528","$1,022,850","0","0","10,000","0","Monitoring","4"
"FY 2013","521, LLC","Spring Lake","Ottawa","New","Grant","2013-02-21T00:00:00.000","70535.00","70535.00","369627.00","$282,138","$352,672","$580,616","3,289","1,894","0","1","Monitoring","5"
