"ubicacion","departamentopais","municipio","direccion","codigo_postal","telefono","email","horario","latitud","longitud"
"PV. VEINTE DE JULIO","BOGOTA","BOGOTA","CL 25 SUR 6 38","110421","(1)3745805",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.570348282162264","-74.09403833401662"
"PV. CALLE 104","BOGOTA","BOGOTA","KR 15 104 21","110111","(1)2137920",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.688986754371426","-74.04689242322287"
"PV. CALLE 90","BOGOTA","BOGOTA","CL 90 14 53 LC 6","110221","(1)6917292",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.674195293991506","-74.05273332880576"
"PV. CENTRO INTERNACIONAL","BOGOTA","BOGOTA","KR 10 26 17 LC 20","110311","(1)2848645",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.612392772560139","-74.07063561168424"
"PV. CHICO","BOGOTA","BOGOTA","KR 15 85 61","110221","(1)5308697",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.6706309362226825","-74.05499370721856"
"PV. GALERIAS","BOGOTA","BOGOTA","CL 53 21 72","111311","(1)3462645",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.641646730721236","-74.0729743711981"
"PV. KENNEDY","BOGOTA","BOGOTA","KR 78K 35A 85 SUR LC 6","110851","(1)2739642",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.6252280383317705","-74.15233422442056"
"PV. MURILLO TORO","BOGOTA","BOGOTA","KR 8 12A 03","111711","(1)2830533",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.600083950366706","-74.0754956233207"
"PV. PRINCIPAL","BOGOTA","BOGOTA","DG 25G 95A 55","110911","(1)4722005 Ext. 1901",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.682441701914069","-74.12313910511142"
"PV. QUIRIGUA","BOGOTA","BOGOTA","TV 94 80A 70 2 PISO","111021","(1)4405734",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.706995960793785","-74.10667613660732"
