"no","nombre_o_razon_social","direccion","sector_economico","vigencia_registro_actividad","codigo_de_la_actividad","descripcion_actividad"
"1","MUNDILLAVES","CL 8 9 50 LC 108","SECTOR COMERCIAL","2014","52","Almacenamiento y actividades complementarias al transporte"
"2","OPTICA VISION LENS FUSAGASUGA","CR 8 10 64 LC 2","SECTOR COMERCIAL","2017","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"3","FARMACIA NATURISTA CIUDAD JARDIN","CR 6 8 27","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"4","MISCELANEA PAPELERIA EL CENTRO FUSA","CR 6 5 42","SECTOR COMERCIAL","2015","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"5","AGUILAR RIVAS OLIVO ANDRES","CR 1 A  18 A 48 B. MIRADOR","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"6","EL POTRO SALVAJE","CL 17 7 16","SECTOR SERVICIOS","2017","9529","Mantenimiento y reparación de otros efectos personales y enseres domésticos"
"7","ROJAS GALEANO EDINSON","CR 6 10 41","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"8","GONZALEZ RODRIGUEZ JONATHAN EMMANUEL","CR 6 9 24 LC 2","SECTOR COMERCIAL","2017","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"9","FRUTERIA  Y CAFETERIA  EL RINCONCITO D E FUSA","CR 4 6 48","SECTOR SERVICIOS","2016","5613","Expendio de comidas preparadas en cafeterías."
"10","LICEO MIGUEL DE CERVANTES SAAVEDRA","CL 16 13 08","SECTOR SERVICIOS","2019","8512","Educación preescolar."
"11","PIÑEROS MORENO JUAN SEBASTIAN","CL 25 56 65","SECTOR COMERCIAL","2020","5221","Actividades de estaciones, vías y servicios complementarios para el transporte terrestre"
"12","BUTTERFLY COLCHONES","CR 8  10 20","SECTOR COMERCIAL","2020","4755","Comercio al por menor de artículos y utensilios de uso doméstico."
"13","AGROPECUARIA FUSAGRO S.A.S","AV LAS PALMAS 13 24","SECTOR COMERCIAL","2020","4620","Comercio al por mayor de materias primas agropecuarias; animales vivos."
"14","FRAILE CASTRO WILSON","CL 10 A 7 22 LOC 1","SECTOR COMERCIAL","2019","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"15","MUEBLES ANYI","CL 21 46-14 APTO 302","SECTOR COMERCIAL","2016","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"16","FORMALETAS EL CRUCE","CL 22  59 96","SECTOR INDUSTRIAL","2017","1630","Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción"
"17","ELCORRAL DE LA GALLINA  ASADA","CRA 50 24A 97","SECTOR SERVICIOS","2016","5611","Expendio a la mesa de comidas preparadas."
"18","NENAS PINK","CR 9 10 53","SECTOR COMERCIAL","2016","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"19","MADIDECOR SAS","CL 25 66 A 63","SECTOR INDUSTRIAL","2015","16","Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles¡ fabricación de artículos de cestería y espartería"
"20","TIENDA Y PELUQUERIA STILOSS","CR 64 MZ B CASA 43","SECTOR COMERCIAL","2020","9602","Peluquería y otros tratamientos de belleza."
"21","DROSERVICIO LTDA","BATALLON DE INFANTERIA N 39 SUMAPAZ - FGGA","SECTOR COMERCIAL","2016","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"22","MEJIA QUICENO JEISSON ANDRES","CHINAUTA KM 64 VIA MELGAR","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"23","ULU CONSULTORES INTERNACIONALES SAS","CR 7 5 20","SECTOR SERVICIOS","2017","7020","Actividades de consultaría de gestión."
"24","COOPERATIVA MULTIACTIVA DE MILITARES EN RETIRO LTDA COOMILITAR","KM 2 FGGA -BOGOTA VDA RESGUARDO","SECTOR SERVICIOS","2020","9329","Otras actividades recreativas y de esparcimiento n.c.p."
"25","GAS ZIPA SA ESP","CL 98 22 64 OF 417 BOGOTA","SECTOR COMERCIAL","2017","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"26","ALDERETE ARANGUREN JUAN SEBASTIAN","CL 8 LOC 3 PLAZA DE MERCADO","SECTOR COMERCIAL","2017","4722","Comercio al por menor de leche, productos lácteos y huevos, en establecimientos especializados."
"27","REINA GARZON MARTHA INDIRA","CL 11 8 02","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"28","NISSI TOURS","LT 14 FCA VILLA POLIN","SECTOR SERVICIOS","2017","5513","Alojamiento en centros vacacionales."
"29","PEREZ BARON YULLY GISSLENA","CL 22 B 75 15","SECTOR SERVICIOS","2015","4921","Transporte de pasajeros."
"30","RIVEROS BAQUERO JAIRO YESID","CR 93 21 15  INT. 67","SECTOR SERVICIOS","2015","4921","Transporte de pasajeros."
"31","CI AGRITEC COLOMBIA SAS","FINCA SANTO TOMAS  VDA BETHEL","SECTOR SERVICIOS","2017","7210","Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería"
"32","RODRIGUEZ PULGARIN CLAUDIA PATRICIA","CL 10 3 50","SECTOR INDUSTRIAL","2017","4329","Otras instalaciones especializadas."
"33","PELUQUERIA VIZCAINO","CALLE 3 No. 8-63","SECTOR SERVICIOS","2017","9602","Peluquería y otros tratamientos de belleza."
"34","TRUJILLO TURRIAGO CAMPO ELIAS","CRA 6 4 55","SECTOR SERVICIOS","2020","7110","Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica"
"35","MANRIQUE MORA RAFAEL AUGUSTO","CR 4 8 46","SECTOR SERVICIOS","2019","4921","Transporte de pasajeros."
"36","MEDELLIN SANDOVAL RUPERTO","CR 24 2 A 11","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"37","ALMACEN YONIDIA","CARRERA 10 # 7A 22","SECTOR COMERCIAL","2016","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"38","BARBA ROJA TIENDA LAGUNITA","VEREDA PALACIOS","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"39","TRANSPORTE URBANO DE PASAJEROS",,"SECTOR SERVICIOS","2013","60","TRANSPORTE POR VIA TERRESTRE; TRANSPORTE POR TUBERIAS"
"40","MORENO CLAVIJO ENRIQUE","CL 3 11 32","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"41","RESTAURANTE  DONDE  ORLANDS","AV  LAS PALMA S 7-54","SECTOR SERVICIOS","2012","305","SERVICIOS"
"42","TIENDA EL RESGUARDO","KILOMETRO 53 SILVANIA","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"43","BOLIVAR ZABALETA JOSE ARTURO","PLAZA DE MERCADO LOCAL 44-45-47","SECTOR COMERCIAL","2017","4721","Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados"
"44","VALENCIA GARCIA LUZ MERIDA","CL 19 A ESTE 05","SECTOR SERVICIOS","2016","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"45","CAMACHO CASTRO SEGUNDO EDUARDO","CL 25  64A 04","SECTOR COMERCIAL","2020","4511","Comercio de vehículos automotores nuevos."
"46","GRANOS Y GRANOS EMANUEL","CL26  1 A 10","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"47","CONGREGACION DE LOS HERMANOS DE LAS ESCUELAS CRISTIANAS","CASA DE ENCUENTROS DE LA SALLE","SECTOR SERVICIOS","2020","8530","Establecimientos que combinan diferentes niveles de educación."
"48","TIENDA LA ESMERALDA MERK","CL 25 2 D03","SECTOR COMERCIAL","2015","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"49","VARIEDADES BETHEL","CL 9 1A 14","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"50","MURILLO HERNANDEZ ORLANDO ANTONIO","CL 22  5 32","SECTOR COMERCIAL","2017","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"51","DURCOL INMOBILIARIA S.A.S","CL 23   46 63","SECTOR SERVICIOS","2015","68","Actividades inmobiliarias"
"52","HOTEL TERRAZA BAR","CRA 12  21 13  - 2DO PISO","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"53","THE CHEESE","CL 25 3  28","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"54","INTEGRAL DE SERVICIOS","CR 1 B  22 26","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"55","PESCADERIA Y RESTAURANTE BAR VAMOS AL MAR","CL 18 11 83","SECTOR SERVICIOS","2017","5611","Expendio a la mesa de comidas preparadas."
"56","MINIMERCADO ISABEL","CL 25  3  21","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"57","BUITRAGO REINA ELSA ESPERANZA","CALLE 5 NO. 2E 09","SECTOR COMERCIAL","2020","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"58","RUBIANO PINILLA BLANCA AURA MARIA","CL 2 2 00","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"59","MUEBLES GOFERES","CL 18 5 37","SECTOR SERVICIOS","2020","9524","Reparación de muebles y accesorios para el hogar."
"60","CAMELO CLAVIJO YACKELINE","K.M. 2 VIA ARBELAEZ LA  ISAL","SECTOR SERVICIOS","2020","5619","Otros tipos de expendio de comidas preparadas n.c.p."
"61","FLORISTERIA OMEGA FLOWER","CARRERA 6 # 11 50","SECTOR COMERCIAL","2020","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"62","FLORISTERIA OSIRIS","CARRERA 6 N0. 10 49","SECTOR COMERCIAL","2012","201","COMERCIAL"
"63","CIGARRERIA Y LICORES SAN ROQUE","CR 6 9 44","SECTOR COMERCIAL","2013","52","COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS REPARACION DE EFECTOS"
"64","MONTOYA VDA DE SIERRA ROSA","CR 49 20 54","SECTOR COMERCIAL","2020","4721","Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados"
"65","RESTAURANTE Y PISTA DE BAILE J.R.","CALLE 22 # 70 31","SECTOR SERVICIOS","2016","5611","Expendio a la mesa de comidas preparadas."
"66","GONZALEZ MAYORGA ANA RUTH ELVIRA","CALLE 5 NO  11 06","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"67","FORERO GARCIA MARIA EUGENIA","MZ C CS  88  BRR EBEN EZER","SECTOR COMERCIAL","2020","4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
"68",,,"SECTOR SERVICIOS","2013","60","TRANSPORTE POR VIA TERRESTRE; TRANSPORTE POR TUBERIAS"
"69","MENDIVELSO CUEVAS TEODULO","CR 11 9 07","SECTOR COMERCIAL","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"70","LA TIENDA DE EFRA EL PASO","LT 1 SAN PEDRO APTO 1 CHINAUTA","SECTOR COMERCIAL","2015","47","Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores, motocicletas y lo indicado en el código CIIU 472"
"71","LA TIENDA DE  EFRA EL PSO","LT 1 SNA PEDRO APCHINAUTA","SECTOR COMERCIAL","2012","201","COMERCIAL"
"72","DARIO FERNANDEZ","VEREDA PALACIOS","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"73","DROGUERIA LA CAMPIÑA DE FUSA","CR 9 7 34","SECTOR COMERCIAL","2017","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"74","supermercado LA ESPAÑOLA","KILOMETRO 66 CHINAUTA","SECTOR COMERCIAL","2016","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"75","CHIQUILLO CASTAÑEDA JOSE CONSTANTINO","VEREDA USATAMA BAJA","SECTOR COMERCIAL","2020","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"76","ROCHA ROZO LUIS FABIO JAIME","CR 11 B 20 A 10","SECTOR SERVICIOS","2019","4921","Transporte de pasajeros."
"77","FORERO VIVAS JOSE HERMENEGILDO","CL 22 39 82","SECTOR COMERCIAL","2017","4520","Mantenimiento y reparación de vehículos automotores."
"78","TRANSPORTE","CL 21 39 46 VILLA PATRICIA","SECTOR SERVICIOS","2016","4921","Transporte de pasajeros."
"79","OPTICA CENTRO VISION FUSAGASUGA","CR 8 5 67","SECTOR COMERCIAL","2016","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"80","TIENDA JALISCO","CARRERA 2 No. 24 27","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"81","ASADERO BROASTHER EL ABUELO PACHANGUERO","CR 6 18 73","SECTOR SERVICIOS","2017","5611","Expendio a la mesa de comidas preparadas."
"82","MATERIALES ELECTRICOS Y T.V.","CL 10 8 27","SECTOR COMERCIAL","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"83","TRANSPORTE","CR 1 3 61","SECTOR SERVICIOS","2019","4921","Transporte de pasajeros."
"84","CALVERA PUBLICIDAD","CL 6 4 62","SECTOR SERVICIOS","2016","7310","Publicidad."
"85","LOZANO DEVIA RAUL","DG 3 A 1 75 NORTE","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"86","FINCA RAIZ LA ESPERANZA","CR 6 2 49","SECTOR SERVICIOS","2020","6820","Actividades inmobiliarias realizadas a cambio de una retribución o por contrata."
"87","ESTACIONARIO","CARRERA 6 PARADERO TAXIS","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"88","EL DANDYS","CARRERA 8 No. 8 09","SECTOR SERVICIOS","2017","5613","Expendio de comidas preparadas en cafeterías."
"89","RORIGUEZ CRUZ LUIS ALBERTO","CR 11 20 A 13","SECTOR SERVICIOS","2019","4921","Transporte de pasajeros."
"90","QUICAZAN VELASQUEZ JAIME","CL. 24 39 A 52 COOVIPROF","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"91","PAPELERIA LUZAM","CR 9 9 59","SECTOR COMERCIAL","2020","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"92","LINARES MOLINA EDILBERTO","CL 10 1 A 25","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"93","ROMERO EDGAR","CR  10 6 50","SECTOR INDUSTRIAL","2020","3110","Fabricación de muebles."
"94","NINGUNO REPORTADO","CL 9 1 66 ESTE BRR PEKIN","SECTOR COMERCIAL","2012","201","COMERCIAL"
"95","AUDIO COLOR","CR 6 3-97","SECTOR SERVICIOS","2017","9601","Lavado y limpieza, incluso la limpieza en seco, de productos textiles y de piel."
"96","TRANSPORTE ASOTAXIS TAXI SMB548","DG 16 D  2 D 29","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"97","MORENO PAEZ JOSE VICENTE","CL 2 5 52 NORTE  B. EL PROGRESO","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"98","DISTRIBUIDORA SAN MARTIN DE LOBA/DISTRIBUIDORA SAN MARTIN DE  LOBA  EL  ENCANTO","TV 12 25 95 URB.  CAPRI/ CL 22 49*32","SECTOR COMERCIAL","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"99","TALLER EL CAPITAN DE FUSAGASUGA","CALLE 22 NO  39 25","SECTOR SERVICIOS","2016","9609","Otras actividades de servicios personales n.c.p."
"100","RAMOS NARANJO MIGUEL ANTONIO","CR 2 B 26 30","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"101","GODOY HERRERA CARLOS OCTAVIO","TV 12 17 12","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
